,CUI,Drug,Indication,Contraindication
770,['632'],mitomycin,"['treatment of gastric cancer', 'pancreatic cancer', 'use as an adjunct to ab externo ocular surgery for glaucoma', 'colorectal cancer�', 'liver metastases from colorectal cancer�', 'peritoneal carcinomatosis of colorectal cancer�', 'anal cancer� in combination with fluorouracil and radiation', 'advanced head and neck cancer� in combination with 5-fluorouracil and radiation therapy', 'the adjuvant treatment of superficial bladder cancer� in patients at high risk for recurrence', 'cervical cancer� in combination with cisplatin', 'malignant mesothelioma�', 'malignant pleural mesothelioma administered locally in the pleural cavity in combination with cisplatin�', 'malignant peritoneal mesothelioma in combination with cisplatin�', 'biliary tract cancer�', 'unresectable intrahepatic cholangiocarcinoma in combination with cisplatin and doxorubicin�', 'unresectable intrahepatic cholangiocarcinoma�', 'formoterol; mometasone']","['bleeding', 'bone marrow suppression', 'coagulopathy', 'herpes infection', 'infection', 'leukopenia', 'neutropenia', 'radiation therapy', 'requires a specialized care setting', 'requires an experienced clinician', 'thrombocytopenia', 'varicella', 'viral infection', 'dental disease', 'dental work', 'intramuscular injections', 'extravasation', 'intramuscular administration', 'subcutaneous administration', 'anemia', 'hemolytic-uremic syndrome', 'renal failure', 'renal impairment', 'acute bronchospasm', 'pulmonary disease', 'pulmonary fibrosis', 'respiratory insufficiency', 'surgery', 'infertility', 'male-mediated teratogenicity', 'pregnancy', 'breast-feeding', 'children', 'infants', 'accidental exposure', 'ocular exposure', 'vaccination']"
771,,naphazoline hydrochloride/pheniramine maleate,"['the temporary relief of ocular pruritus and conjunctival hyperemia caused by pollen, ragweed, grass, and animal hair and dander']","['closed-angle glaucoma', 'cardiac disease', 'hypertension', 'prostatic hypertrophy', 'pregnancy', 'breast-feeding', 'children', 'infants', 'contact lenses']"
772,,alglucosidase alfa,"['acid alpha-glucosidase deficiency (pompe disease)', 'infantile-onset acid alpha-glucosidase deficiency (pompe disease)', 'late-onset (non-infantile) acid alpha-glucosidase deficiency (pompe disease)']","['alglucosidase alfa hypersensitivity', 'infusion-related reactions', 'serious hypersensitivity reactions or anaphylaxis', 'cardiac disease', 'cardiomyopathy', 'heart failure', 'respiratory insufficiency', 'sepsis', 'surgery', 'pregnancy', 'breast-feeding', 'geriatric', 'children', 'infants', 'neonates']"
773,['2396'],chlorothiazide,"['hypertension', 'use as an adjunctive agent to treat peripheral edema associated with congestive heart failure, hepatic cirrhosis (ascites), corticosteroid therapy, or estrogen therapy; or to treat edema associated with renal dysfunction including nephrotic syndrome, acute glomerulonephritis, and chronic renal failure', 'idiopathic hypercalciuria� in children', 'formoterol***formoterol; mometasone']","['sulfonamide hypersensitivity', 'thiazide diuretic hypersensitivity', 'anuria', 'renal disease', 'renal failure', 'renal impairment', 'hepatic disease', 'acid/base imbalance', 'electrolyte imbalance', 'hypercalcemia', 'hyperkalemia', 'hypokalemia', 'hypomagnesemia', 'hyponatremia', 'hypotension', 'hypovolemia', 'orthostatic hypotension', 'sympathectomy', 'syncope', 'diabetes mellitus', 'hyperglycemia', 'gout', 'hyperuricemia', 'systemic lupus erythematosus (sle)', 'extravasation', 'intramuscular administration', 'subcutaneous administration', 'sunlight (uv) exposure', 'preeclampsia', 'pregnancy', 'breast-feeding', 'children', 'neonates', 'geriatric']"
774,,remifentanil hydrochloride,"['general anesthesia induction (through intubation)', 'general anesthesia maintenance', 'total intravenous anesthesia (tiva)', 'the management of moderate pain and severe pain', 'sedation and analgesia prior to non-emergent endotracheal intubation� or rapid-sequence intubation (rsi)�', 'procedural sedation�']","['opiate agonist hypersensitivity', 'abrupt discontinuation', 'acute abdomen', 'constipation', 'diarrhea', 'gi disease', 'gi obstruction', 'ileus', 'inflammatory bowel disease', 'ulcerative colitis', 'obesity', 'chronic obstructive pulmonary disease (copd)', 'coadministration with other cns depressants', 'cor pulmonale', 'ethanol ingestion', 'ethanol intoxication', 'pulmonary disease', 'requires a specialized care setting', 'requires an experienced clinician', 'respiratory depression', 'respiratory insufficiency', 'angina', 'bradycardia', 'cardiac disease', 'heart failure', 'hypotension', 'hypovolemia', 'bladder obstruction', 'oliguria', 'prostatic hypertrophy', 'renal disease', 'urethral stricture', 'urinary retention', 'epidural administration', 'intrathecal administration', 'head trauma', 'increased intracranial pressure', 'seizure disorder', 'seizures', 'geriatric', 'biliary tract disease', 'alcoholism', 'depression', 'substance abuse', 'driving or operating machinery', 'females', 'neonates', 'labor', 'neonatal opioid withdrawal syndrome', 'obstetric delivery', 'pregnancy', 'breast-feeding', 'accidental exposure', 'potential for overdose or poisoning', 'adrenal insufficiency', 'hypothyroidism', 'myxedema']"
775,['1292'],baclofen,"['spasticity, muscle spasm (not due to rheumatic conditions), myoclonus, and muscle rigidity in multiple sclerosis and spinal cord injury or diseases', 'severe spasticity due to multiple sclerosis, cerebral palsy, spinal cord injury, or traumatic brain injury; or in patients unresponsive to oral baclofen therapy or those who experience intolerable side effects at effective oral doses', 'persistent singultus (hiccups)�', 'trigeminal neuralgia�', 'central vestibular nystagmus�', 'prevention of stuttering priapism� (i', 'the adjunct treatment of symptomatic gastroesophageal reflux disease (gerd)� in refractory patients']","['abrupt discontinuation', 'intrathecal administration', 'cerebral palsy', 'head trauma', 'intracranial bleeding', 'stroke', 'geriatric', 'bipolar disorder', 'depression', 'psychosis', 'schizophrenia', 'diabetes mellitus', 'seizure disorder', 'seizures', 'dialysis', 'renal failure', 'renal impairment', 'coadministration with other cns depressants', 'driving or operating machinery', 'ethanol ingestion', 'children', 'infants', 'epidural administration', 'intramuscular administration', 'intravenous administration', 'subcutaneous administration', 'anticoagulant therapy', 'coagulopathy', 'infection', 'thrombocytopenia', 'dental disease', 'pregnancy', 'breast-feeding', 'phenylketonuria', 'ovarian cyst']"
776,,colistin sulfate/hydrocortisone acetate/neomycin sulfate/thonzonium bromide,['superficial bacterial infections of the external auditory canal (i'],"['aminoglycoside hypersensitivity', 'neomycin hypersensitivity', 'herpes infection', 'varicella', 'viral infection', 'hearing impairment', 'renal disease', 'tympanic membrane perforation', 'ocular exposure', 'colitis', 'diarrhea', 'pseudomembranous colitis', 'pregnancy', 'breast-feeding', 'infants', 'neonates']"
777,,mepivacaine hydrochloride,"['use as local anesthesia or regional anesthesia', 'cervical nerve block, brachial plexus block, intercostal nerve block, or pudendal nerve block', 'epidural anesthesia or caudal anesthesia', 'dental anesthesia via infiltration anesthesia', 'infiltration anesthesia', 'paracervical block', 'peripheral nerve block for the management of severe pain']","['intraarterial administration', 'intrathecal administration', 'intravenous administration', 'head and neck anesthesia', 'ocular surgery', 'anticoagulant therapy', 'coagulopathy', 'infection', 'neurological disease', 'sepsis', 'thrombocytopenia', 'av block', 'cardiac disease', 'dehydration', 'hypotension', 'hypovolemia', 'myasthenia gravis', 'qt prolongation', 'shock', 'amide local anesthetic hypersensitivity', 'paraben hypersensitivity', 'geriatric', 'hepatic disease', 'eclampsia', 'fetal distress', 'fetal prematurity', 'labor', 'obstetric delivery', 'paracervical nerve block', 'pregnancy', 'pudendal nerve block', 'breast-feeding', 'continuous intraarticular infusion administration']"
778,['42331'],misoprostol,"['nsaid-induced ulcer prophylaxis in patients receiving nsaids and at high risk for gastric ulceration (e', 'the short-term treatment of active duodenal ulcer� or gastric ulcer� unrelated to nsaid use', 'kidney transplant rejection prophylaxis� in patients who are currently receiving cyclosporine and prednisone', 'pregnancy termination�', 'pregnancy termination in combination with mifepristone, at 49 days (7 weeks) or less of gestation dated from the first day of the last menstrual period', 'pregnancy termination� prior to the 63rd day of pregnancy in combination with intramuscular methotrexate', 'pregnancy termination� during the second trimester of pregnancy', 'cervical ripening induction� and labor induction� for obstetric delivery of a term pregnancy, or for labor induction following intrauterine fetal death�', 'the prevention and/or treatment of postpartum bleeding�', 'the prevention of postpartum bleeding� when other uterotonic agents are not available', 'postpartum bleeding� due to uterine atony when unresponsive to massage and other uterotonic agents are not available, or when unresponsive to massage and other uterotonic agents', 'the medical management of early pregnancy failure�']","['abnormal fetal position', 'caesarean section', 'contraception requirements', 'ectopic pregnancy', 'fetal distress', 'herpes infection', 'incomplete abortion', 'labor', 'multiparity', 'obstetric delivery', 'placenta previa', 'pregnancy', 'pregnancy testing', 'reproductive risk', 'vaginal administration', 'vaginal bleeding', 'vasa previa', 'infertility', 'breast-feeding', 'diarrhea', 'children', 'dehydration', 'inflammatory bowel disease', 'ulcerative colitis', 'renal disease', 'cardiac disease', 'fever', 'infection', 'sepsis']"
779,['6038']['8987'],isoniazid/pyrazinamide/rifampin,"['the initial phase of short-course pulmonary tuberculosis infection treatment in patients already on a fixed dose regimen', 'formoterol; mometasone']","['alcoholism', 'black patients', 'females', 'geriatric', 'hepatic disease', 'hepatitis', 'hepatotoxicity', 'hispanic patients', 'jaundice', 'rifamycin hypersensitivity', 'risk of serious hypersensitivity reactions or anaphylaxis', 'colitis', 'diarrhea', 'gi disease', 'inflammatory bowel disease', 'pseudomembranous colitis', 'ulcerative colitis', 'acquired immunodeficiency syndrome (aids)', 'human immunodeficiency virus (hiv) infection', 'contact lenses', 'peripheral neuropathy', 'renal failure', 'renal impairment', 'diabetes mellitus', 'maoi therapy', 'visual disturbance', 'gout', 'hyperuricemia', 'pregnancy', 'breast-feeding', 'children', 'infants', 'neonates']"
780,,somatropin (rDNA origin),"['growth hormone deficiency, growth failure, or short stature', 'replacement therapy in adults with growth hormone deficiency (ghd) for either childhood onset (secondary to congenital, genetic, acquired, or idiopathic causes) or adult onset (endogenous or associated with multiple hormone deficiencies, i', 'the long-term treatment of growth failure in children who have growth hormone deficiency due to inadequate growth hormone secretion', 'growth failure due to prader-willi syndrome', 'the long-term treatment of growth failure in children born small for gestational age (sga) who fail to manifest catch-up growth by age 2 to 4', 'growth failure associated with chronic renal failure up to the time of transplantation', ""short stature associated with turner's syndrome"", 'short stature in children with shox (short stature homeobox-containing gene) deficiency', 'short stature in children with noonan syndrome', 'idiopathic short stature', 'hiv-associated failure to thrive in children, aids-associated wasting syndrome, or cachexia', 'hiv-associated adipose redistribution syndrome (hars)�', 'short bowel syndrome in patients receiving specialized nutrition support as directed by a health care professional', 'formoterol; mometasone']","['cresol hypersensitivity', 'glycerin hypersensitivity', 'history of angioedema', 'risk of serious hypersensitivity reactions or anaphylaxis', 'epiphyseal closure', 'children', 'renal impairment', 'renal osteodystrophy', 'benzyl alcohol hypersensitivity', 'neonates', 'chemotherapy', 'neoplastic disease', 'new primary malignancy', 'radiation therapy', 'respiratory insufficiency', 'surgery', 'trauma', 'obesity', 'respiratory infection', 'sleep apnea', 'diabetes mellitus', 'diabetic retinopathy', 'scoliosis', 'adrenal insufficiency', 'hypothyroidism', 'increased intracranial pressure', 'pregnancy', 'breast-feeding', 'otitis media', 'geriatric', 'females', 'pancreatitis']"
781,,prochlorperazine maleate,"['treatment of nausea/vomiting', 'preoperative nausea control', 'the management of the manifestations of psychotic disorders such as schizophrenia', 'the short-term treatment of non-psychotic anxiety', 'intractable, severe migraine� unresponsive to other therapies, or prior to administration of intravenous dihydroergotamine (dhe) to offset dhe-induced nausea']","['phenothiazine hypersensitivity', 'agranulocytosis', 'neutropenia', 'tardive dyskinesia', 'neurological disease', ""parkinson's disease"", 'cns depression', 'coadministration with other cns depressants', 'coma', 'driving or operating machinery', 'ethanol ingestion', 'hypotension', 'orthostatic hypotension', 'alcoholism', 'angina', 'bradycardia', 'cardiac arrhythmias', 'cardiac disease', 'coronary artery disease', 'diabetes mellitus', 'females', 'heart failure', 'hypertension', 'hypocalcemia', 'hypokalemia', 'hypomagnesemia', 'hypovolemia', 'long qt syndrome', 'malnutrition', 'myocardial infarction', 'pulmonary disease', 'qt prolongation', 'thyroid disease', 'hepatic disease', 'jaundice', 'radiographic contrast administration', 'seizure disorder', 'glaucoma', 'prostatic hypertrophy', 'urinary retention', 'gi obstruction', 'ileus', 'ambient temperature increase', 'dehydration', 'hyperthermia', 'hypothermia', 'strenuous exercise', 'breast cancer', 'hyperprolactinemia', 'infertility', 'labor', 'neonates', 'obstetric delivery', 'pregnancy', 'breast-feeding', 'children', 'infants', ""reye's syndrome"", 'surgery', 'dementia', 'geriatric', 'stroke']"
782,['28889'],loratadine,"['symptoms associated with seasonal or perennial allergic rhinitis, and for management of chronic idiopathic urticaria or other histamine-mediated allergic symptoms (e', 'adjunctive exercise-induced bronchospasm prophylaxis� in patients with allergies']","['asthma', 'phenylketonuria', 'driving or operating machinery', 'hepatic disease', 'renal failure', 'renal impairment', 'pregnancy', 'breast-feeding', 'children', 'infants', 'neonates', 'geriatric']"
783,,disopyramide phosphate,"['documented, life-threatening arrhythmias such as sustained ventricular tachycardia', 'maintenance of sinus rhythm in patients with atrial fibrillation� or atrial flutter�']","['hyperkalemia', 'hypokalemia', 'cardiogenic shock', 'cardiomyopathy', 'heart failure', 'myasthenia gravis', 'alcoholism', 'av block', 'bradycardia', 'bundle-branch block', 'cardiac arrhythmias', 'cardiac disease', 'coronary artery disease', 'females', 'hypertension', 'hypocalcemia', 'hypomagnesemia', 'long qt syndrome', 'malnutrition', 'mortality', 'myocardial infarction', 'qt prolongation', 'sick sinus syndrome', 'thyroid disease', 'ventricular arrhythmias', 'wolff-parkinson-white syndrome', 'bladder obstruction', 'glaucoma', 'prostatic hypertrophy', 'urinary retention', 'diabetes mellitus', 'renal disease', 'renal failure', 'renal impairment', 'pregnancy', 'breast-feeding', 'hepatic disease', 'contact lenses', 'anticholinergic medications', 'geriatric']"
784,['40575'],zileuton,"['the prophylaxis and chronic treatment of patients with asthma', 'inflammation associated with rheumatoid arthritis�', 'ulcerative colitis�', 'aspirin-induced asthma�', 'exercise-induced bronchospasm prophylaxis�', 'formoterol; mometasone']","['alcoholism', 'hepatic disease', 'children', 'infants', 'neonates', 'acute bronchospasm', 'status asthmaticus', 'fever', 'infection', 'pregnancy', 'breast-feeding', 'suicidal ideation']"
785,,immune globulin subcutaneous (human),"['hepatitis a prophylaxis', 'postexposure prophylaxis', 'patients traveling to regions that have high or intermediate hepatitis a endemicity', 'measles prophylaxis to prevent or modify measles in an unvaccinated patient who has not previously had measles and who was exposed within the past 6 days', 'varicella (chickenpox) infection prophylaxis', 'rubella prophylaxis in exposed, susceptible pregnant women who will not consider a therapeutic abortion', 'immunoglobulin deficiency']","['intravenous administration', 'pregnancy', 'breast-feeding', 'agammaglobulinemia', 'hypogammaglobulinemia', 'iga deficiency', 'viral infection', 'anticoagulant therapy', 'bleeding', 'coagulopathy', 'hemophilia', 'thrombocytopenia', 'vaccination', 'children', 'coronary artery disease', 'geriatric', 'heart failure', 'hypertriglyceridemia', 'hyponatremia', 'obesity', 'thromboembolism']"
786,,divalproex sodium,"['the monotherapy or adjunct treatment of simple absence seizures, complex absence seizures, or complex partial seizures, and adjunctively for other seizure types that include absence or partial complex seizures (e', 'acute mania associated with bipolar disorder, with or without psychotic features', 'migraine prophylaxis', 'refractory status epilepticus�', 'persistent singultus (hiccups)�', 'severe behavioral disturbances, such as agitation�', 'severe behavioral disturbances� (e', 'the symptomatic treatment of acquired pendular nystagmus�', 'painful diabetic neuropathy�']","['encephalopathy', 'serious rash', 'mitochondrial disease', 'carnitine deficiency', 'hepatic disease', 'hepatotoxicity', 'hypoalbuminemia', 'organic brain syndrome', 'pancreatitis', 'children', 'infants', 'neonates', 'depression', 'suicidal ideation', 'bleeding', 'coagulopathy', 'surgery', 'thrombocytopenia', 'renal failure', 'renal impairment', 'human immunodeficiency virus (hiv) infection', 'driving or operating machinery', 'ethanol ingestion', 'colostomy', 'diarrhea', 'ileostomy', 'head trauma', 'abrupt discontinuation', 'contraception requirements', 'pregnancy', 'reproductive risk', 'breast-feeding', 'geriatric']"
787,,estradiol cypionate,"['treatment of moderate to severe vasomotor symptoms (hot flashes) of menopause and/or related genitourinary symptoms including atrophic vaginitis, vulvar atrophy (kraurosis vulvae), whether menopause is natural or surgical (e', 'systemic treatment of the vasomotor symptoms (hot flashes) and genitourinary symptoms of menopause', 'isolated vaginal and/or urogenital symptoms of menopause', 'osteoporosis prophylaxis in women due to menopause (either natural or surgical)', 'estrogen replacement for premenopausal women with primary ovarian failure or female hypogonadism', 'the palliative treatment of advanced inoperable prostate cancer', 'the palliative treatment of breast cancer that is inoperable and progressive in selected men and postmenopausal women', 'formoterol; mometasone']","['angioedema', 'hereditary angioedema', 'breast cancer', 'hypercalcemia', 'new primary malignancy', 'ovarian cancer', 'endometrial cancer', 'endometrial hyperplasia', 'vaginal bleeding', 'cervical cancer', 'endometriosis', 'uterine cancer', 'uterine leiomyomata', 'vaginal cancer', 'cardiac disease', 'cerebrovascular disease', 'coronary artery disease', 'hypercholesterolemia', 'hypertension', 'myocardial infarction', 'obesity', 'protein c deficiency', 'protein s deficiency', 'stroke', 'thromboembolic disease', 'thromboembolism', 'thrombophlebitis', 'tobacco smoking', 'surgery', 'pregnancy', 'breast-feeding', 'gallbladder disease', 'hepatic disease', 'hepatocellular cancer', 'jaundice', 'porphyria', 'systemic lupus erythematosus (sle)', 'hypertriglyceridemia', 'pancreatitis', 'contact lenses', 'migraine', 'visual disturbance', 'diabetes mellitus', 'hypothyroidism', 'thyroid disease', 'asthma', 'renal disease', 'seizure disorder', 'depression', 'hypocalcemia', 'hypoparathyroidism', 'dementia', 'geriatric', 'children', 'infants', 'neonates', 'intravenous administration', 'accidental exposure']"
788,,torsemide,"['edema', 'edema associated with congestive heart failure', 'edema associated with chronic renal failure', 'ascites (e', 'hypertension', 'formoterol; mometasone']","['sulfonamide hypersensitivity', 'sulfonylurea hypersensitivity', 'thiazide diuretic hypersensitivity', 'hepatic disease', 'anuria', 'hypovolemia', 'sympathectomy', 'syncope', 'electrolyte imbalance', 'hypochloremia', 'hypokalemia', 'hypomagnesemia', 'hyponatremia', 'ventricular arrhythmias', 'acute myocardial infarction', 'renal disease', 'renal failure', 'renal impairment', 'hearing impairment', 'gout', 'hyperuricemia', 'diabetes mellitus', 'hyperglycemia', 'pregnancy', 'breast-feeding', 'children', 'geriatric']"
789,,ulipristal acetate,"['postcoital contraception after unprotected intercourse or a known or suspected contraceptive failure', 'uterine leiomyomata� (uterine fibroids�)']","['ectopic pregnancy', 'pregnancy', 'pregnancy testing', 'contraception requirements', 'menstrual irregularity', 'breast-feeding', 'hepatic disease', 'acquired immunodeficiency syndrome (aids)', 'human immunodeficiency virus (hiv) infection', 'sexually transmitted disease', 'children']"
790,,benazepril hydrochloride,"['hypertension', 'persistent albuminuria� in patients with diabetic nephropathy� or in at-risk hypertensive patients�', 'heart failure�']","['ace-inhibitor induced angioedema', 'angioedema', 'angiotensin-converting enzyme inhibitors (ace inhibitors) hypersensitivity', 'black patients', 'hereditary angioedema', 'hyperkalemia', 'renal artery stenosis', 'renal failure', 'renal impairment', 'agranulocytosis', 'bone marrow suppression', 'immunosuppression', 'neutropenia', 'scleroderma', 'systemic lupus erythematosus (sle)', 'aortic stenosis', 'cardiomyopathy', 'cerebrovascular disease', 'coronary artery disease', 'heart failure', 'hyponatremia', 'hypotension', 'hypovolemia', 'dialysis', 'hymenoptera venom (insect sting) allergy desensitization', 'low-density lipoprotein apheresis', 'hepatic disease', 'jaundice', 'surgery', 'neonates', 'pregnancy', 'breast-feeding', 'children', 'infants', 'geriatric']"
791,"['3264']['10627', '220333']",dexamethasone/tobramycin,"['corticosteroid-responsive inflammatory ocular conditions for which a corticosteroid is indicated and where superficial bacterial ophthalmic infection or a risk of bacterial infection exists, including bacterial conjunctivitis, chronic anterior uveitis, and corneal injury (corneal abrasion) from chemical, radiation or thermal burns, or penetration of foreign bodies']","['aminoglycoside hypersensitivity', 'corticosteroid hypersensitivity', 'contact lenses', 'fungal infection', 'mycobacterial infection', 'ocular infection', 'varicella', 'viral infection', 'diabetes mellitus', 'increased intraocular pressure', 'myopia', 'open-angle glaucoma', 'pregnancy', 'breast-feeding', 'children']"
792,['10865'],ketorolac tromethamine,"['the reduction of postoperative ocular inflammation and ocular pain following cataract ocular surgery or corneal refractive surgery', 'the reduction of postoperative ocular inflammation and ocular pain following cataract surgery', 'the reduction of ocular pain and burning/stinging following corneal refractive surgery', 'ocular pruritus due seasonal allergic conjunctivitis', 'the short-term treatment of moderate pain or moderately severe pain that requires analgesia at the opioid level, including bone pain�, dental pain�, arthralgia�, and myalgia�', 'the short-term treatment of moderately severe pain', 'the short-term treatment of moderate pain', 'acute, severe headache�, including migraine�', 'formoterol; mometasone']","['limit duration of use', 'acute bronchospasm', 'asthma', 'nasal polyps', 'nsaid hypersensitivity', 'salicylate hypersensitivity', 'serious hypersensitivity reactions or anaphylaxis', 'urticaria', 'bleeding', 'surgery', 'alcoholism', 'chemotherapy', ""crohn's disease"", 'gi bleeding', 'gi disease', 'gi perforation', 'inflammatory bowel disease', 'peptic ulcer disease', 'tobacco smoking', 'ulcerative colitis', 'hepatic disease', 'hypoalbuminemia', 'jaundice', 'dehydration', 'diabetes mellitus', 'edema', 'hypovolemia', 'renal disease', 'renal failure', 'renal impairment', 'rheumatoid arthritis', 'systemic lupus erythematosus (sle)', 'acute myocardial infarction', 'angina', 'cardiac arrhythmias', 'cardiac disease', 'cardiomyopathy', 'cerebrovascular disease', 'coronary artery bypass graft surgery (cabg)', 'coronary artery disease', 'heart failure', 'hypertension', 'myocardial infarction', 'peripheral vascular disease', 'stroke', 'tachycardia', 'thromboembolism', 'anemia', 'bone marrow suppression', 'hematological disease', 'immunosuppression', 'intracranial bleeding', 'neutropenia', 'thrombocytopenia', 'keratitis', 'ocular disease', 'ocular surgery', 'contact lenses', 'epidural administration', 'intrathecal administration', 'children', 'infants', 'neonates', 'caesarean section', 'labor', 'obstetric delivery', 'pregnancy', 'breast-feeding', 'ocular exposure', 'geriatric', 'lactase deficiency']"
793,,goserelin acetate,"['breast cancer in selected females', 'the palliative treatment of advanced breast cancer in pre- or perimenopausal women with estrogen-receptor positive disease', 'early (stage ii), estrogen-receptor positive breast cancer� in pre- or perimenopausal women', 'endometriosis', 'use as an endometrial thinning agent prior to endometrial ablation for dysfunctional uterine bleeding', 'the palliative treatment of advanced prostate cancer, particularly when orchiectomy or estrogen therapy are not indicated or are unacceptable', 'locally confined stage t2b-t4 (stage b2-c) prostate cancer in combination with flutamide and radiation therapy', 'medical management of uterine leiomyomata� (fibroids)', 'benign prostatic hyperplasia (bph)�', 'formoterol***formoterol; mometasone']","['gonadotropin-releasing hormone (gnrh) analogs hypersensitivity', 'dysfunctional uterine bleeding', 'females', 'vaginal bleeding', 'menstruation', 'pregnancy', 'breast-feeding', 'spinal cord compression', 'urinary tract obstruction', 'osteoporosis', 'pituitary insufficiency', 'children', 'infants', 'neonates', 'alcoholism', 'cardiac arrhythmias', 'cardiac disease', 'coronary artery disease', 'heart failure', 'hepatic disease', 'hypercholesterolemia', 'hypertension', 'hypocalcemia', 'hypokalemia', 'hypomagnesemia', 'long qt syndrome', 'malnutrition', 'myocardial infarction', 'obesity', 'qt prolongation', 'stroke', 'thyroid disease', 'tobacco smoking', 'diabetes mellitus', 'hyperglycemia', 'anticoagulant therapy', 'body weight less than 60 kg']"
794,['27781'],iopromide,"['use as contrast in angiography', 'use as a contrast in cerebral arteriography', 'use as a contrast in angiocardiography including left ventriculography and coronary arteriography', 'use as contrast in aortography', 'use as a contrast in visceral angiography', 'use as a contrast in peripheral arteriography', 'use as a contrast in peripheral venography', 'use as a contrast in excretory urography', 'use as contrast during computed tomography (ct) imaging of the head and body to evaluate for neoplastic and non-neoplastic lesions', 'computed tomography (ct) imaging of the head', 'computed tomography (ct) imaging of the body']","['intrathecal administration', 'asthma', 'atopy', 'iodine hypersensitivity', 'radiopaque contrast media hypersensitivity', 'dehydration', 'diabetes mellitus', 'females', 'hepatic disease', 'renal disease', 'renal failure', 'renal impairment', 'cardiac disease', 'pulmonary hypertension', 'qt prolongation', 'valvular heart disease', 'heart failure', 'coagulopathy', 'thromboembolic disease', 'serious rash', 'sickle cell disease', 'multiple myeloma', 'hyperthyroidism', 'hypothyroidism', 'thyroid disease', 'thyrotoxicosis', 'myasthenia gravis', 'pheochromocytoma', 'extravasation', 'emphysema', 'pulmonary disease', 'radiation exposure', 'children', 'infants', 'neonates', 'premature neonates', 'pregnancy', 'breast-feeding']"
795,"['25120', '1546428']",flunisolide,"['the maintenance treatment of asthma as bronchospasm prophylaxis', 'relief of the nasal symptoms of seasonal or perennial allergic rhinitis']","['acute bronchospasm', 'status asthmaticus', 'adrenal insufficiency', ""cushing's syndrome"", 'hypothalamic-pituitary-adrenal (hpa) suppression', 'surgery', 'children', 'growth inhibition', 'increased intracranial pressure', 'infants', 'neonates', 'fungal infection', 'herpes infection', 'infection', 'trauma', 'tuberculosis', 'cataracts', 'glaucoma', 'increased intraocular pressure', 'osteoporosis', 'pregnancy', 'breast-feeding', 'geriatric', 'corticosteroid hypersensitivity']"
796,,rifampin,"['all forms of active tuberculosis infection in combination with other antitubercular agents', 'asymptomatic carriers of <em>neisseria meningitidis</em> to eliminate meningococci from the nasopharynx (meningococcal infection prophylaxis)', 'use as an alternative to isoniazid regimens for tuberculosis prophylaxis� or latent tuberculosis infection (ltbi)', 'haemophilus influenzae type b prophylaxis� in carriers who are at high risk of transmitting the disease to children ages 4 years and less', ""leprosy (hansen's disease)� in combination with dapsone"", 'multibacillary leprosy�', 'paucibacillary leprosy�', 'endocarditis�', 'endocarditis� due to <em>staphylococcus aureus</em> in patients with prosthetic valves', 'right-sided endocarditis� secondary to <em>staphylococcus aureus</em> in intravenous drug abusers', 'the management of methicillin-resistant <em>staphylococcus aureus</em> (mrsa)-associated bone and joint infections�, including osteomyelitis�, or an orthopedic device-related infection�', 'the management of methicillin-resistant <em>staphylococcus aureus</em> (mrsa)-associated osteomyelitis', 'the management of methicillin-resistant <em>staphylococcus aureus</em> (mrsa)-associated prosthetic joint infections', 'the management of methicillin-resistant <em>staphylococcus aureus</em> (mrsa)-associated spinal implant infections', 'bartonellosis� (<em>bartonella bacilliformis</em>) and other <em>bartonella sp', 'pruritus� secondary to cholestasis', 'central nervous system infections�, including meningitis�, ventriculitis�, cerebrospinal fluid (csf) shunt infections, brain abscess�, subdural empyema�, spinal epidural abscess�, or septic thrombosis of the cavernous or dural venous sinus�', 'persistent <em>staphylococcus aureus</em> (mrsa) bacteremia� and vancomycin failure�']","['rifamycin hypersensitivity', 'risk of serious hypersensitivity reactions or anaphylaxis', 'antimicrobial resistance', 'colitis', 'diarrhea', 'gi disease', 'inflammatory bowel disease', 'pseudomembranous colitis', 'ulcerative colitis', 'alcoholism', 'hepatic disease', 'hepatitis', 'jaundice', 'contact lenses', 'pregnancy', 'breast-feeding', 'porphyria', 'acquired immunodeficiency syndrome (aids)', 'human immunodeficiency virus (hiv) infection', 'diabetes mellitus', 'extravasation', 'intramuscular administration', 'subcutaneous administration', 'geriatric']"
