,CUI,Drug,Indication
1415,['10473'],Thiotepa," is a as conditioning prior allogeneic or aulogous haemapoietic progenir cell transplantation (hpct) in haemalogical diseases in adult and paediatric patients. also, when high dose chemotherapy with hpct support it is appropriate the solid tumours in adult and paediatric patients."
1416,['4094'],Estriol, as a test determine the general health an unborn fetus.
1417,['9066'],Quinestrol," in hormone replacement therapy, treating sympms menopause such as hot flashes. also treat breast and prostate cancer."
1418,['42322'],Fleroxacin, is a broad-spectrum antimicrobial fluoroquinolone.
1419,['5936'],Iodipamide, is as a contrast agent cholecysgraphy and intravenous cholangiography.
1420,['53694'],Nimesulide," the acute pain, the sympmatic osteoarthritis and primary dysmenorrhoea in adolescents and adults above 12 years old."
1421,['10256'],Suramin," human sleeping sickness, onchocerciasis and other diseases ca by trypanosomes and worms."
1422,['19295'],Bifonazole," the various pical fungal infections, including athlete's foot (tinea pedis)."
1423,['5942'],Clioquinol, as a pical antifungal .
1424,['3523'],Metamizole, in the past as a powerful painkiller and fever reducer.
1425,['5981'],Iproniazid, the depression (originally intended treat tuberculosis).
1426,"['155122', '314784']",Phenolphthalein, over a century as a laxative.
1427,['39994'],Zomepirac, was the mild severe pain.
1428,['6823'],Methaqualone," the insomnia, and as a sedative and muscle relaxant."
1429,['262100'],Rapacuronium," in anaesthesia, aid and enable endotracheal intubation."
1430,['620216'],Maraviroc," -experienced adult patients infected with only ccr5-tropic hiv-1 detectable, who have evidence viral replication and hiv-1 strains resistant multiple antiretroviral agents."
1431,['17698'],Amineptine, the depression.
1432,['21254'],Clofedanol, in the dry cough.
1433,['2970'],Cyclandelate," in the various blood vessel diseases (e.g., claudication, arteriosclerosis and raynaud's disease) and nighttime leg cramps."
1434,['22054'],Cyproterone acetate, the palliative patients with advanced prostatic carcinoma.
1435,['3118'],Debrisoquin," the moderate and severe hypertension, either alone or as an adjunct, and the renal hypertension."
1436,['4459'],Flunarizine," in the prophylaxis migraine, occlusive peripheral vascular disease, vertigo central and peripheral origin, and as an adjuvant in the therapy epilepsy."
1437,['4507'],Fluspirilene, the schizophrenia.
1438,['107770'],Mepenzolate," use as adjunctive therapy in the peptic ulcer. it has not been shown be effective in contributing the healing peptic ulcer, decreasing the rate recurrence, or preventing complications."
1439,['10390'],Tetrabenazine," hyperkinetic movement disorders like chorea in huntingn's disease, hemiballismus, senile chorea, urette syndrome and other tic disorders, and tardive dyskinesia"
1440,['337523'],Ixabepilone,"investigated use/ in breast cancer, head and neck cancer, melanoma, lung cancer, lymphoma (non-hodgkin's), prostate cancer, renal cell carcinoma, and cancer/tumors (unspecified)."
1441,['20498'],Celiprolol, is the mild moderate hypertension and eft-induced angina pecris.
1442,['73689'],Febuxostat, the hyperuricemia in patients with gout.
1443,['233698'],Dronedarone, paroxysmal or persistent atrial fibrillation via resration normal sinus rhythm.
1444,['31555'],Nebivolol, the essential hypertension.
1445,['27100'],Omacetaxine mepesuccinate, in patients who are inlerant and/or resistant two or more tyrosine kinase inhibirs treat accelerated or chronic phase cml.
1446,['662281'],Nilotinib," the potential various leukemias, including chronic myeloid leukemia (cml)."
1447,['1300701'],Lorcaserin," the obesity, as an adjunct a reduced-calorie diet and increased physical activity."
1448,['596554'],Vildagliptin, reduce hyperglycemia in type 2 diabetes mellitus.
1449,['49626'],Enoximone, the congestive heart failure.
1450,['863035'],Bepotastine, the sympmatic itchy eyes (ca by ige-induced mast cell degranulation) due allergic conjunctivitis.
1451,"['498509', '594119']",Pegaptanib, the neovascular (wet) age-related macular degeneration.
1452,['588250'],Milnacipran, is treat moderate severe clinical depression but this indication is not yet fda-approved in the usa. is labelled the fibromyalgia pain.
1453,['1293254'],Lucinactant,intended the prevention respirary distress syndrome (rds) in premature infants at high risk rds.
1454,['19666'],Nesiritide, the intravenous patients with acutely decompensated congestive heart failure who have dyspnea at rest or with minimal activity.
1455,['38221'],Thymalfasin, as an adjuvant influenza vaccine in elderly patients and as an adjuvant both influenza and hepatitis b vaccines in chronic hemodialysis patients who failed achieve adequate antibody titers from previous immunization.
1456,['1665509'],Flibanserin, the hypoactive sexual desire disorder (hsdd) in premenopausal women.
1457,['1009342'],Oxibendazole,investigated use/ in infectious and parasitic disease (unspecified) and pediatric indications.
1458,['1547611'],Oritavancin,investigated use/ in bacterial infection and skin infections/disorders.
1459,"['233603', '977863']",Clevidipine, the hypertension.
1460,['33199'],Permethrin, the infestation with <i>sarcoptes scabiei</i> (scabies).
1461,['1311089'],Defibrotide," is treat or prevent a failure normal blood flow (occlusive venous disease, ovd) in the liver patients who have had bone marrow transplants or received certain drugs such as oral estrogens, mercappurine, and many others."
1462,['1370971'],Ospemifene," is the moderate dyspareunia, a sympm vulvar and vaginal atrophy, due menopause."
1463,['1364449'],Crofelemer, the sympmatic non-infectious diarrhea in adult patients with hiv/aids who are taking antiretroviral therapy.
1464,"['73178', '848723']",Iloperidone, acute schizophrenia.
1465,['28863'],Lofexidine,investigated use/ in addictions and substance abuse.
1466,['1592254'],Pirfenidone, the idiopathic pulmonary fibrosis (ipf).
1467,['1112990'],Ezogabine,adjuvant partial-onset seizures.
1468,['1733681'],Satraplatin,"investigated use/ in lung cancer, prostate cancer, and solid tumors."
1469,['1242806'],Ingenol Mebutate, the pical actinic kerasis.
1470,['1543543'],Belinostat, is the patients with relapsed or refracry peripheral t-cell lymphoma (ptcl) with manageable safety prile. it is a potential alternative therapy patients who did not experience adequate response first-line drugs ptcl. it can be in patients with baseline thrombocypenia [a19161].
1471,['1440270'],Amonafide,"investigated use/ in breast cancer, ovarian cancer, and prostate cancer."
1472,['1114326'],Indacaterol," the long term, once-daily-dosing maintenance airflow obstruction in patients with chronic obstructive pulmonary disease (copd), including chronic bronchitis and/or emphysema."
1473,['59161'],RP101,"investigated use/ in adverse effects (chemotherapy), chemotherapy, and pancreatic cancer."
1474,['24305'],Erdosteine,fro the chronic bronchitis in adults.
1475,['1921069'],Abaloparatide,investigated use/ in postmenopausal osteoporosis reduce vertebral and/or non-vertebral fractures.
1476,['1441651'],Leptin,investigated use/ in lipodystrophy and obesity.
1477,['772'],Ancrod, the established deep vein thrombosis; central retinal and branch vein thrombosis; priapism; pulmonary hypertension embolic origin; embolism after insertion prosthetic cardiac valves; rethrombosis after thrombolytic therapy and rethrombosis after vascular surgery. it is also the prevention deep venous thrombosis after repair the fractured neck a femur.
1478,['1716278'],Trabectedin," advanced st tissue sarcoma in patients refracry or unsuitable receive anthracycline or ifosfamide chemotherapy in europe, russia and south korea. approved orphan drug status by the u.s. fda st tissue sarcomas and ovarian cancer. investigated use/ in cancer/tumors (unspecified), gastric cancer, ovarian cancer, pediatric indications, sarcoma, and solid tumors."
1479,['6464'],Lobeline,investigated use/ in addictions.
1480,['1865953'],Crisaborole,intended the pical mild moderate apic dermatitis in patients 2 years age and older.
1481,['1722365'],Cobimetinib," the patients with unresectable or metastatic melanoma with a braf v600e or v600k mutation. is in combination with vemurafenib, a braf inhibir."
1482,['9793'],Silver sulfadiazine, as an adjunct the prevention and wound sepsis in patients with second- and third-degree burns.
1483,['47858'],Methsuximide, the control absence (petit mal) seizures that are refracry other drugs.
1484,['4388'],Fibrinolysin," assists with the healing minor burns, superficial wounds, ulcers, surgical wounds, and superficial hemamas."
1485,['84375'],Glatiramer Acetate, reduction the frequency relapses in patients with relapsing-remitting multiple sclerosis.
1486,['25544'],Gallium nitrate, the hypercalcemia. also intended the non-hodgkin's lymphoma.
1487,['616739'],Rotigotine, use/ in neurologic disorders and parkinson's disease as well as moderate--severe primary restless legs syndrome.
1488,['177906'],Samarium (153Sm) lexidronam,"investigated use/ in bone metastases, multiple myeloma, prostate cancer, and rheumaid arthritis."
1489,['26744'],Hepatitis B Immune Globulin,"investigated use/ in hepatitis (viral, b), liver transplant surgery, and pediatric indications."
1490,['1098413'],Vandetanib," is currently approved as an alternative local therapies both unresectable and disseminated disease. because can prolong the q-t interval, it is contra use in patients with serious cardiac complications such as congenital long qt syndrome and uncompensated heart failure."
1491,['658708'],Ecallantide, the angioedema.
1492,['1791685'],Pimavanserin,"investigated use/ in neurologic disorders, parkinson's disease, psychosis, schizophrenia and schizoaffective disorders, and sleep disorders."
1493,['1011650'],PEG-uricase,investigated use/ in hyperuricemia.
1494,['805452'],Romiplostim, chronic immune thrombocypenic purpura.
1495,['1746906'],Obiltoxaximab,"investigated use/ in anthrax exposure, bacterial infection, crohn's disease, and graft versus host disease."
1496,['1599832'],C1-INH,investigated use/ in angioedema.
1497,['816346'],Dexlansoprazole," healing all grades erosive esophagitis (ee), maintaining and healing ee and relief heartburn, and treating heartburn associated with sympmatic non-erosive gastroesophageal reflux disease (gerd)."
1498,['5333'],Histamine, phosphate is as a diagnostic aid evaluation gastric acid secrery function.
1499,['5933'],Iodine,investigated use/ in breast disorders (unspecified) and pain (acute or chronic).
1500,['1311670'],Pimagedine,investigated use/ in diabetic kidney disease.
1501,['1363568'],Carbopol 974P,investigated use/ in contraception and hiv prevention.
1502,['70161'],recombinant human GM-CSF,investigated use/ in adverse effects (chemotherapy) and bone marrow transplant.
1503,['1927940'],Corticorelin,investigated use/ in brain cancer and neurologic disorders.
1504,['1425932'],talactoferrin alpha,"investigated use/ in adverse effects (chemotherapy), cancer/tumors (unspecified), diabetic foot ulcers, lung cancer, solid tumors, and ulcers."
1505,['1102261'],Telaprevir,", when in combination with [db00811], [db00008], and [db00022] is use in the chronic hcv genotype 1 infection in adults [fda label]."
1506,['1367839'],Mipomersen, in patients with homozygous familial hypercholesterolemia as an adjunct diet and other lipid-lowering medications.
1507,['1739745'],Brivaracetam, as adjunctive therapy partial-onset seizures in patients 16 years age or older.
1508,['1535922'],Ramucirumab, use in advanced gastric or gastro-esophageal junction adenocarcinoma as a single agent or in combination with paclitaxel after prior fluoropyrimidine- or platinum-containing chemotherapy.
1509,['8010'],Sodium stibogluconate," the various types a prozoal infection called leishmaniasis, which may result from sandfly bites in tropical and temperate parts the world. also investigated use/ in cancer/tumors (unspecified) and solid tumors."
1510,['1492727'],Apremilast,investigated use/ in psoriasis and psoriatic disorders.
1511,['847083'],Ustekinumab, is moderate severe plaque psoriasis in adults who are candidates systemic therapy or photherapy; or is alone or in conjunction with methotrexate the active psoriatic arthritis in adults. the fda approved the use in september 2016 the moderate severe crohn's disease. the use may improve short term clinical response but not clinical remission in moderate severe crohn's disease.
1512,['1371041'],Trastuzumab emtansine," in her2-positive, metastatic breast cancer patients who have already taxane and/or trastuzumab metastatic disease or had their cancer recur within 6 months adjuvant ."
1513,['1100072'],Abiraterone," in combination with prednisone the metastatic, castration-resistant prostate cancer."
1514,['1427222'],Parathyroid hormone, use/ in osteoporosis.
1515,['1539968'],Ethyl pyruvate,"investigated use/ in burns and burn infections, cardiac surgery, inflammary disorders (unspecified), ischemic reperfusion injury, and sepsis and septicemia."
1516,['1942950'],Inotuzumab ozogamicin, as monotherapy the adults with relapsed or refracry cd22-positive b cell precursor acute lymphoblastic leukaemia (all).
1517,['1798288'],Obeticholic acid,"investigated use/ in liver disease. was approved as an orphan drug based on its reduction in the level the biomarker alkaline phosphatase as a surrogate endpoint clinical benefit. it is the primary biliary cholangitis in combination with ursodeoxycholic acid (udca) in adults with an inadequate response udca, or as monotherapy in adults unable lerate udca. additional studies are being required prove its clinical benefit."
1518,['1810569'],Eteplirsen," is certain individuals with duchenne muscular dystrophy (dmd). its use is limited those with a confirmed mutation the dmd gene which would benefit from exon 51 skipping. based on clinical studies showing increased dystrophin production in skeletal muscle in some patients given this drug, the above indication was approved under accelerated approval. further confirmary trials are required demonstrate clinical benefit ."
1519,['1667655'],Cariprazine, is an atypical antipsychotic the schizophrenia and the acute manic or mixed episodes associated with bipolar i disorder.
1520,['1855735'],Olaratumab," is , in combination with doxorubicin, the adult patients with advanced or mestastatic st tissue sarcoma (sts) with a hislogic subtype which an anthracycline-containing regimen is appropriate and which is not amenable curative with radiotherapy or surgery."
1521,['41996'],Sertindole, in the schizophrenia.
1522,['9991'],Spiramycin,macrolide antibiotic various infections.
1523,['10193'],Sulfathiazole," is effective against a wide range gram positive and gram negative pathogenic microorganisms. although no longer in humans, it is in cattle."
1524,['6929'],Mianserin, the depression.
1525,['57021'],Teicoplanin, the bacterial infections ca by susceptible microorganisms.
1526,['10172'],Sulfadimethoxine, use in the infections.
1527,['197'],Acetylcysteine, is mainly as a mucolytic and in the paracetamol (acetaminophen) overdose.
1528,['853491'],Canakinumab," in patients 4 years age and older treat familial cold auinflammary syndrome (fcas) and muckle-wells syndrome (mws), which are both part the cryopyrin-associated periodic syndromes (caps) as well as patients 2 years age and older treat systemic juvenile idiopathic arthritis (sjia)."
1529,['877510'],Romidepsin, the cutaneous t-cell lymphoma (ctcl) or/and peripheral t-cell lymphoma (ptcl) in patients who have received at least one prior systemic therapy. these indications are based on response rate. clinical benefit such as improvement in overall survival has not been demonstrated.
1530,['1094833'],Ipilimumab, is the unresectable or metastatic melanoma in adults. it is also reduce the risk the deadly skin cancer returning after surgery.
1531,['1148138'],Icatibant,"approved use in acute attacks hereditary angioedema (hae). investigated use/ in angioedema, liver disease, and burns and burn infections."
1532,['69036'],Rufinamide,adjunct therapy seizures associated with lennox-gastaut syndrome.
1533,['1368001'],Alogliptin, as an adjunct diet and exercise improve glycemic control in adults with type 2 diabetes mellitus.
1534,['787390'],Tapentadol,"the immediate-release mulation is the relief moderate severe acute pain. the long-acting mulation serves as a continuous, around-the-clock analgesic that is the relief moderate severe chronic pain or neuropathic pain associated with diabetic peripheral neuropathy."
1535,['1300478'],Hyaluronidase (Human Recombinant), as an adjuvant increase the absorption and dispersion other injected drugs; hypodermoclysis; and as an adjunct in subcutaneous urography improving resorption radiopaque agents.
1536,['1726988'],Sugammadex, is the reversal neuromuscular blockade induced by rocuronium bromide and vecuronium bromide in adults undergoing surgery.
1537,['720825'],Silodosin, sympmatic relief benign prostatic hyperplasia
1538,['613391'],Prasugrel," in combination with acetylsalicylic acid (asa) prevent atherothrombotic events in patients with acute coronary syndrome (acs) who are be managed with percutaneous coronary intervention (pci). may be in patients with unstable angina (ua), non-st elevation myocardial infarction (nstemi), st-elevation myocardial infarction (stemi) who are be managed with pci. is not recommended in patients 75 years age or greater, those that weigh<60kg, and patients with a hisry stroke or transient ischemic attack due increased risk fatal and intracranial bleeding."
1539,['711942'],Eltrombopag,"thrombopoietin recepr agonists are pharmaceutical agents that stimulate platelet production in the bone marrow. in this, they differ from the previously discussed agents that act by attempting curtail platelet destruction."
1540,['119771'],Doripenem," is in the complicated intra-abdominal infections and complicated urinary tract infections, including pyelonephritis, ca by designated susceptible bacteria."
1541,['358257'],Tolvaptan," sympmatic and resistant fluid restriction euvolemic or hypervolemic hyponatremia associated with congestive heart failure, siadh, and cirrhosis."
1542,"['640062', '1546015']",Regadenoson,diagnostic agent radionuclide myocardial perfusion imaging (mpi)
1543,['473387'],Ferumoxytol,"investigated use/ in anemia, kidney disease, and cardiovascular disorders."
1544,['784649'],Asenapine," in psychosis, schizophrenia and schizoaffective disorders, manic disorders, and bipolar disorders as monotherapy or in combination."
1545,['623400'],Lacosamide, is adjunctive therapy partial onset seizures in patients with epilepsy over 17 years old. injection is short term use when oral therapy is not feasible.
1546,['1539239'],Dalbavancin," is the acute bacterial skin and skin structure infections (absssi) ca by the following gram-positive microorganisms: staphylococcus aureus (including methicillin-susceptible and methicillin-resistant strains), s. pyogenes, s. agalactiae, and s. anginosus group (including s. anginosus, s. intermedius, and s. constellatus). it is administered as a 30 minute iv infusion in a two-dose regimen 1000 mg followed by 500 mg one week later."
1547,['1114195'],Rivaroxaban," is the prevention venous thromboembolic events (vte) in patients who have undergone tal hips replacements and tal knee replacement surgery; prevention stroke and systemic embolism in patients with nonvalvular atrial fibrillation; deep vein thrombosis (dvt) and pulmonary embolism (pe); reduce risk recurrent dvt and/or pe. due a lack safety studies, it is not recommended use in those under 18 years old. its use is also not recommended in those with severe renal impairment (<30ml/min)."
1548,['31479'],Nalmefene," the reduction alcohol consumption in adult patients with alcohol dependence who have a high drinking risk level (drl), without physical withdrawal sympms and who do not require immediate dexification [l1024]. the complete or partial reversal opioid drug effects, including respirary depression - induced by either natural or synthetic opioids - or in the known or suspected opioid overdose [fda label]."
1549,['1291301'],Avanafil, erectile dysfunction in males.
1550,['569'],Eflornithine, is in the facial hirsutism (excessive hair growth).
1551,['1426872'],Hexaminolevulinate, is use in the cysscopic non-muscle invasive papillary cancer the bladder among patients suspected or known have lesion(s) on the basis a prior cysscopy.
1552,['1489913'],Droxidopa," neurogenic orthostatic hypotension (noh) associated with various disorders including multiple system atrophy, familial amyloid polyneuropathy, hemodialysis induced hypotension and parkinson's disease. also investigated use/ in neurologic disorders, nephropathy, blood (blood ming organ disorders, unspecified), and dizzy/fainting spells."
1553,['10639'],Tolperisone,"investigated use/ in neurologic disorders, spinal cord injuries, muscle spasm, back pain, and multiple sclerosis."
1554,['612865'],Tocilizumab, the adult patients with moderately severely active rheumaid arthritis (ra) who have had an inadequate response one or more disease-modifying anti-rheumatic drugs (dmards). it is also the active polyarticular juvenile idiopathic arthritis (pjia) and active systemic juvenile idiopathic arthritis (sjia) in patients 2 years age and older.
1555,"['480639', '1516803']",Alvimopan, accelerate the time upper and lower gastrointestinal recovery following partial large or small bowel resection surgery with primary anasmosis. also investigated use in the pain (acute or chronic).
1556,['356887'],Levocetirizine, is the relief sympms associated with allergic rhinitis (seasonal and perennial) in adults and children 6 years age and older.
1557,['32915'],Teriparatide, the osteoporosis in men and postmenopausal women who are at high risk having a fracture. also increase bone mass in men with primary or hypogonadal osteoporosis who are at high risk fracture.
1558,['657797'],Temsirolimus," the renal cell carcinoma (rcc). also investigated use/ in breast cancer, lymphoma (unspecified), rheumaid arthritis, and multiple myeloma."
1559,['46303'],Amisulpride,"investigated use/ in schizophrenia and schizoaffective disorders, mania in bipolar disorder, and depression."
1560,['1482790'],Simeprevir," the adults with chronic hepatitis c virus (hcv) infection: typically in combination with sosbuvir in patients with hcv genotype 1 without cirrhosis or with compensated cirrhosis and in combination with peginterferon alfa (peg-ifn-alfa) and ribavirin (rbv) in patients with hcv genotype 1 or 4 without cirrhosis or with compensated cirrhosis. resistance: reduced susceptibility was most commonly associated with the viral ns3 q80k polymorphism. amino acid substitutions at ns3 positions s122, r155 and/or d168 are also shown reduce susceptibility in genotype 1a/b patients."
1561,['1488564'],Dapagliflozin," is adjunct glycemic control in patients with type 2 diabetes mellitus, in combination with diet and exercise."
1562,['1726104'],Elotuzumab, in combination with lenalidomide and dexamethasone the patients with multiple myeloma who have received one three prior therapies.
1563,"['857974', '1546030']",Saxagliptin, type 2 diabetes mellitus improve glycemic control in combination with other agents or as monotherapy.
1564,['1298944'],Pertuzumab, is use in combination with trastuzumab and docetaxel the patients with her2-positive metastatic breast cancer who have not received prior anti-her2 therapy or chemotherapy metastatic disease.
1565,['763450'],Rilonacept," is currently in the cryopyrin-associated periodic syndrome. in may 2012, an advisory panel the fda voted 11-0 against the use the gout."
1566,['1441386'],Bazedoxifene,investigated use/ in osteoporosis and menopause.
1567,['473837'],Telavancin," the complicated skin and skin structure infections (csssi) ca by gram-positive bacteria like methicillin-susceptible or -resistant staphylococcus aureus, vancomycin-susceptible enterococcus faecalis, and strepcoccus pyogenes, strepcoccus agalactiae, or strepcoccus anginosus group. also the adult patients with hospital-acquired bacterial pneumonia (hap) and ventilar-associated bacterial pneumonia (vap), known or suspected be ca by susceptible isolates staphylococcus aureus (including methicillin-susceptible and methicillin-resistant s. aureus)."
1568,['358274'],Ambrisentan," is idiopathic (‘primary’) pulmonary arterial hypertension (ipah) and pulmonary arterial hypertension (pah) associated with connective tissue disease in patients with who functional class ii or iii sympms. in the united states america, is also in combination with tadalafil reduce the risks disease progression and hospitalization worsening pah, and improve exercise ability."
1569,['809864'],Human C1-esterase inhibitor, routine prophylaxis against angioedema attacks in adolescent and adult patients with hereditary angioedema (hae).
1570,['11516'],Doxercalciferol," is the secondary hyperparathyroidism in patients with chronic kidney disease on dialysis, as well as the secondary hyperparathyroidism in patients with stage 3 or stage 4 chronic kidney disease."
1571,['7813'],Oxymetholone," in the anemias ca by deficient red cell production. acquired aplastic anemia, congenital aplastic anemia, myelibrosis and the hypoplastic anemias due the administration myeloxic drugs ten respond. should not replace other supportive measures such as transfusion, correction iron, folic acid, vitamin b12 or pyridoxine deficiency, antibacterial therapy and the appropriate use corticosteroids."
1572,['641465'],Armodafinil,"investigated use/ in sleep disorders, obstructive sleep apnea, schizophrenia and schizoaffective disorders, depression, and bipolar disorders."
1573,['475969'],Etravirine, as an adjunct therapy in the adult hiv-1 infections resistant therapy with other nnrtis and antiretroviral agents.
1574,['232539'],Calfactant, is prophylaxis therapy prevent respirary distress syndrome (rds) in premature infants <29 weeks gestational age with low lung surfactant and at high risk rds. therapy is also the respirary distress syndrome in infants 72 hours or less age with rds confirmed by clinical and radiologic findings and requiring endotracheal intubation.
1575,['38998'],Tyloxapol," as a surfactant aid liquefaction and removal mucopurulent (containing mucus and pus) bronchopulmonary secretions, administered by inhalation through a nebulizer or with a stream oxygen. also investigated use/ in cystic fibrosis and pediatric indications."
1576,['1656052'],Cangrelor," use as an adjunct percutaneous coronary intervention (pci) reducing the risk periprocedural myocardial infarction (mi), repeat coronary revascularization, and stent thrombosis (st) in patients in who have not been treated with a p2y12 platelet inhibir and are not being given a glycoprotein iib/iiia inhibir."
1577,['2372'],clomethiazole,investigated use/ in strokes.
1578,['18451'],Astaxanthin,"investigated use/ in eye disorders/infections, cancer/tumors (unspecified), and asthma."
1579,['714438'],Pazopanib, advanced renal cell cancer and advanced st tissue sarcoma (in patients previously treated with chemotherapy)
1580,"['1040004', '1040005']",Ceftaroline fosamil, is the patients with the following infections ca by susceptible isolates the designated microorganisms.
1581,['1919083'],Midostaurin,"investigated use/ in adult patients with high-risk acute myeloid leukemia (aml) who are flt3 mutation-positive, agressive systemic mascysis (asm), systemic mascysis with associated hemalogical neoplasm (sm-ahn), or mast cell leukemia (mcl)."
1582,['1746889'],Reslizumab,investigated use/ in esophageal disorders and pediatric indications.
1583,['1603350'],Panobinostat," is in the multiple myeloma in combination with dexamethasone and bortezomib in patients who have received 2 previous regimens including bortezomib and an immunomodulary agent. this indication is approved by accelerated approval based on progression free survival as february 23, 2015."
1584,['1364430'],Apixaban, is reduce the risk stroke and systemic embolism in patients with nonvalvular atrial fibrillation. it has also been lower the risk developing venous thrombosis post-orthopedic surgical procedures.
1585,['1720597'],Mepolizumab," is add-on maintenance severe eosinophilic asthma, as identified by blood eosinophils greater than or equal 150 cells/μl at initiation or blood eosinophils greater than or equal 300 cells/μl in the past 12 months, in patients aged 12 years and older. has been shown reduce exacerbations asthma in patients with an exacerbation hisry"
1586,['619693'],Peramivir,investigated use/ in influenza.
1587,"['1307619', '1307625', '1314319']",Bosutinib," chronic, accelerated, or blast phase philadelphia chromosome-positive (ph+) chronic myelogenous leukemia (cml) with resistance or inlerance prior therapy in adult patients."
1588,['25193'],Flupirtine,investigated use/ in fibromyalgia.
1589,['1242999'],Axitinib, in kidney cell cancer and investigated use/ in pancreatic and thyroid cancer.
1590,['1608322'],Isavuconazonium, in the invasive aspergillosis and invasive mucormycosis.
1591,['897018'],Dalfampridine, is a neurunctional modifier that helps improve walking speed in patients with multiple sclerosis (ms).
1592,['993449'],Denosumab,"prolia is the postmenopausal women with osteoporosis at high risk fracture. it reduces the incidence vertebral, nonvertebral, and hip fractures. prolia is also as a increase bone mass in women at high risk fracture receiving adjuvant aromatase inhibir therapy breast cancer. it can also be in men with osteoporosis at high risk fracture or in men receiving androgen deprivation therapy nonmetastatic prostate cancer increase bone mass. xgeva is the prevention skeletal-related events in patients with bone metastases from solid tumors."
1593,['712566'],Ofatumumab,atumumab is the patients with chronic lymphocytic leukemia (cll) refracry fludarabine and alemtuzumab.
1594,['1922448'],Safinamide, is as an add-on levodopa with or without other medicines parkinson’s disease
1595,['475968'],Liraglutide, use in/ diabetes mellitus type 2.
1596,['1311600'],Abetimus,investigated use/ in kidney disease and systemic lupus erythemasus.
1597,['1364105'],Pasireotide," the cushing’s disease, specifically those patients whom pituitary surgery has not been curative or is not an option."
1598,['1291609'],prGCD,investigated use/ in metabolic disease and neurologic disorders.
1599,['819300'],Golimumab," in adults (i) as an adjunct methotrexate in patients with moderate severe active rheumaid arthritis (ra), (ii) alone or as an adjunct methotrexate in patients with active psoriatic arthritis (psa), (iii) as a single agent in patients with active ankylosing spondylitis (as), and (iv) as a single agent in patients with moderate severe ulcerative colitis (uc) who require chronic steroids or have experienced inlerance or only a partial response previous medications."
1600,['1112973'],Belatacept," prophylaxis organ rejection. it is also concomitantly with basiliximumab induction therapy, mycophenolate, and corticosteriods in kidney transplant recepients that are seropositive the epstein-barr virus."
1601,['1086769'],Vilazodone," is approved acute episodes major depression. labeling describes an increased risk suicidal thoughts in children, adolescents and young adults. the use in pediatrics is not . its use with monoamine oxidase inhibirs (maoi) is contra due increased risk seronin syndome. once the maoi is discontinued, a 14-day washout period must pass bee starting ."
1602,['997261'],Sipuleucel-T, is an aulogous cellular immunotherapy the asympmatic or minimally sympmatic metastatic castrate resistant (hormone refracry) prostate cancer.
1603,['24460'],Ethanolamine Oleate," the patients with esophageal varices that have recently bled, prevent rebleeding."
1604,['9009'],Mepyramine," is a first generation antihistamine in treating allergies, ympmatic relief hypersensitivity reaction, and in pruritic skin disorders."
1605,"['1056', '353110']",Aprotinin, prophylactic use reduce perioperative blood loss and the need blood transfusion in patients undergoing cardiopulmonary bypass in the course coronary artery bypass graft surgery who are at an increased risk blood loss and blood transfusion.
1606,['39841'],Xylometazoline,it is treating nasal congestion and minor inflammation due allergies or colds.
1607,['1037042'],Dabigatran etexilate,"dabigatran is the prevention venous thromboembolic events in patients who have undergone elective hip or knee replacement surgery (based on re-novate, re-model, and re-mobilize trials). in 2010, it was approved in the us and canada prevention stroke and systemic embolism in patients with atrial fibrillation (approval based on the re-ly trial). contraindications: severe renal impairment (crcl < 30 ml/min); haemorrhagic manifestations, bleeding diathesis or spontaneous or pharmacologic impairment haemostasis; lesions at risk clinically significant bleeding (e.g. extensive cerebral infarction (haemorrhagic or ischemic) in the last 6 months, active peptic ulcer disease); concomitant with p-glycoprotein inhibirs (e.g. oral keconazole, verapamil); and those with known hypersensitivity dabigatran, or any ingredient in the mulation or component the container. as december 2012, dabigatran is contra in patients with mechanical prosthetic heart valves."
1608,['26397'],Arbekacin," is the short term multi-resistant bacterial infections, such as methicillin-resistant <i>staphylococcus aureus</i> (mrsa)."
1609,['18343'],Artemether," and lumefantrine combination therapy is the acute uncomplicated malaria ca by <i>plasmodium falciparum</i>, including malaria acquired in chloroquine-resistant areas. may also be treat uncomplicated malaria when the <i>plasmodium</i> species has not been identified. use in adults and children greater than 5 kg."
1610,['1511'],Betahistine, the reduction episodes vertigo association with ménière's disease.
1611,['475230'],Degarelix,degaralix is the advanced prostate cancer.
1612,['734064'],Desvenlafaxine, is the major depressive disorder in adults.
1613,['352372'],Dexmethylphenidate," is as a adhd, ideally in conjunction with psychological, educational, behavioral or other ms ."
1614,['797195'],Fesoterodine," the overactive bladder (with sympms urinary frequency, urgency, or urge incontinence)."
1615,['84990'],Gadobutrol," diagnostic use only. adults and children age 2 and over contrast enhancement during cranial and spinal mri, and contrast-enhanced magnetic resonance angiography (ce-mra). is particularly suited the very small lesions and the visualization tumors that do not readily take up contrast media. it may be a desired agent when the exclusion or demonstration an additional pathology may influence the choice therapy or patient . it may also be suitable perfusion studies in the diagnosis stroke, focal cerebral ischemia, and in studies tumor perfusion."
1616,['14448'],Iobenguane, primary and metastatic pheochromocyma or neuroblasma
