CUI,Drug,Indication
"['6923', '203002']",metyrapone,used as a diagnostic drug for testing hypothalamicpituitary acth function occasionally used in cushings syndrome
['407990'],cinacalcet,for the treatment of secondary hyperparathyroidism in patients with chronic kidney disease who are on hemodialysis or peritoneal dialysis also for the treatment of hypercalcemia in patients with parathyroid carcinoma
['21245'],clobetasol propionate,for shortterm topical treatment of the inflammatory and pruritic manifestations of moderate to severe corticosteroidresponsive dermatoses of the scalp
['18747'],balsalazide,for the treatment of mildly to moderately active ulcerative colitis
['10180'],sulfamethoxazole,for the treatment bacterial infections causing bronchitis prostatitis and urinary tract infections
['4815'],glyburide,indicated as an adjunct to diet to lower the blood glucose in patients with niddm whose hyperglycemia cannot be satisfactorily controlled by diet alone
['6980'],minocycline,for the treatment of infections caused by susceptible strains of microorganisms such as rocky mountain spotted fever typhus fever and the typhus group q fever rickettsial pox and tick fevers caused by rickettsiae upper respiratory tract infections caused by istreptococcus pneumoniaei and for the treatment of asymptomatic carriers of ineisseria meningitidisi
['40114'],guanfacine,for use alone or in combination with other classes of antihypertensive agents in the management of hypertension has also been used for the treatment of attention deficit hyperactivity disorder adhd in pediatric patients
['19257'],bethanechol,for the treatment of acute postoperative and postpartum nonobstructive functional urinary retention and for neurogenic atony of the urinary bladder with retention
['28004'],isosorbide mononitrate,for the prevention of angina pectoris due to coronary artery disease and the treatment of acute and chronic angina pectoris hypertension and myocardial infarction
['10772'],trichlormethiazide,used in the treatment of oedema including that associated with heart failure and hypertension
"['8308', '11258']",phylloquinone,for the treatment of haemorrhagic conditions in infants antidote for coumarin anticoagulants in hypoprothrombinaemia
['4316'],felodipine,for the treatment of mild to moderate essential hypertension
"['7145', '265323']",mycophenolic acid,for the prophylaxis of organ rejection in patients receiving allogeneic renal transplants administered in combination with cyclosporine and corticosteroids
['46307'],amlexanox,used as a paste in the mouth to treat aphthous ulcers canker sores
['6135'],ketoconazole,for the treatment of the following systemic fungal infections candidiasis chronic mucocutaneous candidiasis oral thrush candiduria blastomycosis coccidioidomycosis histoplasmosis chromomycosis and paracoccidioidomycosis
['6857'],methoxyflurane,for use in the induction and maintenance of general anesthesia
['83818'],irbesartan,for the treatment of hypertension as well as diabetic nephropathy with an elevated serum creatinine and proteinuria gt300 mgday in patients with type 2 diabetes and hypertension irbesartan is also used as a second line agent in the treatment of congestive heart failure
['57308'],topotecan,for the treatment of advanced ovarian cancer in patients with disease that has recurred or progressed following therapy with platinumbased regimens also used as a secondline therapy for treatmentsensitive small cell lung cancer as well as in combination with cisplatin for the treatment of stage ivb recurrent or persistent cervical cancer not amenable to curative treatment with surgery andor radiation therapy
['24474'],ethinamate,used for the shortterm treatment of insomnia however it generally has been replaced by other sedativehypnotic agents
['8698'],probenecid,for the reduction of serum uric acid concentrations in chronic gouty arthritis and tophaceous gout in patients with frequent disabling gout attacks has also been effectively used to promote uric acid excretion in hyperuricemia secondary to the administration of thiazide and related diuretics
"['103', '1546028']",mercaptopurine,for remission induction and maintenance therapy of acute lymphatic leukemia
['8700'],procainamide,for the treatment of lifethreatening ventricular arrhythmias
['119565'],tolterodine,for the treatment of overactive bladder with symptoms of urinary frequency urgency or urge incontinence
['9639'],selegiline,monotherapy for initial treatment of parkinsons disease as well as an adjunct therapy in patients with a decreased response to levodopacarbadopa also used for the palliative treatment of mild to moderate alzheimers disease and at higher doses for the treatment of depression
['8703'],fenofibrate,for use as adjunctive therapy to diet to reduce elevated ldlc totalctriglycerides and apo b and to increase hdlc in adult patients with primary hypercholesterolemia or mixed dyslipidemia fredrickson types iia and iib
['10432'],thalidomide,for the acute treatment of the cutaneous manifestations of moderate to severe erythema nodosum leprosum enl also for use as maintenance therapy for prevention and suppression of the cutaneous manifestations of enl recurrence
['6718'],melphalan,for the palliative treatment of multiple myeloma and for the palliation of nonresectable epithelial carcinoma of the ovary has also been used alone or as part of various chemotherapeutic regimens as an adjunct to surgery in the treatment of breast cancer alone or in combination regimens for palliative treatment of locally recurrent or unresectable intransit metastatic melanoma of the extremities as well as for the treatment of amyloidosis with prednisone
['6719'],memantine,for the treatment of moderate to severe dementia of the alzheimers type
"['228476', '1546025']",gatifloxacin,for the treatment of bronchitis sinusitis communityacquired pneumonia and skin infections abscesses wounds caused by s pneumoniae h influenzae s aureus m pneumoniae c pneumoniae l pneumophila s pyogenes
['9384'],rifampicin,for the treatment of tuberculosis and tuberculosisrelated mycobacterial infections
['623033'],lubiprostone,for the treatment of chronic idiopathic constipation in the adult population also used for the treatment of irritable bowel syndrome with constipation in women who are 18 years of age or older
['4462'],fluocinonide,a topical antiinflammatory product for the relief of the inflammatory and pruritic manifestations of corticosteroidresponsive dermatoses
['190521'],abacavir,for the treatment of hiv1 infection in combination with other antiretroviral agents
['4024'],ergoloid mesylate,for use as an adjunct therapy for patients with dementia
['5640'],ibuprofen,for symptomatic treatment of rheumatoid arthritis juvenile rheumatoid arthritis and osteoarthritis may be used to treat mild to moderate pain and for the management of dysmenorrhea may be used to reduce fever has been used with some success for treating ankylosing spondylitis gout and psoriatic arthritis may reduce pain fever and inflammation of pericarditis may be used iv with opiates to relieve moderate to severe pain ibuprofen lysine may be used iv to treat patent ductus arteriosus pda in premature neonates
['7538'],novobiocin,for the treatment of infections due to staphylococci and other susceptible organisms
['7980'],benzylpenicillin,for use in the treatment of severe infections caused by penicillin gsusceptible microorganisms when rapid and high penicillin levels are required such as in the treatment of septicemia meningitis pericarditis endocarditis and severe pneumonia
['7441'],nitrendipine,for the treatment of mild to moderate hypertension
['42359'],tocainide,for the treatment of documented ventricular arrhythmias such as sustained ventricular tachycardia that in the judgment of the physician are lifethreatening
['89778'],echothiophate,for use in the treatment of subacute or chronic angleclosure glaucoma after iridectomy or where surgery is refused or contraindicated
['8628'],praziquantel,for the treatment of infections due to all species of schistosoma
['7517'],norfloxacin,for the treatment of urinary tract infection
"['723', '1297882']",amoxicillin,for the treatment of infections of the ear nose and throat the genitourinary tract the skin and skin structure and the lower respiratory tract due to susceptible only blactamasenegative strains of istreptococcusi spp a and bhemolytic strains only is pneumoniaei istaphylococcusi spp ih influenzaei ie colii ip mirabilisi or ie faecalisi also for the treatment of acute uncomplicated gonorrhea anogenital and urethral infections due to in gonorrhoeaei males and females
['1266'],azlocillin,for the treatment of infections caused by ipseudomonas aeruginosai iescherichia colii and ihaemophilus influenzaei
['32675'],oxybutynin,for the treatment of overactive bladder
['16735'],acetophenazine,for the treatment of disorganized and psychotic thinking also used to help treat false perceptions eg hallucinations or delusions
['6054'],isoprenaline,for the treatment of mild or transient episodes of heart block that do not require electric shock or pacemaker therapy also used in management of asthma and chronic bronchitis
['6711'],melatonin,used orally for jet lag insomnia shiftwork disorder circadian rhythm disorders in the blind evidence for efficacy and benzodiazepine and nicotine withdrawal evidence indicates that melatonin is likely effective for treating circadian rhythm sleep disorders in blind children and adults it has received fda orphan drug status as an oral medication for this use a number of studies have shown that melatonin may be effective for treating sleepwake cycle disturbances in children and adolescents with mental retardation autism and other central nervous system disorders it appears to decrease the time to fall asleep in children with developmental disabilities such as cerebral palsy autism and mental retardation it may also improve secondary insomnia associated with various sleepwake cycle disturbances other possible uses for which there is some evidence for include benzodiazepine withdrawal cluster headache delayed sleep phase syndrome dsps primary insomnia jet lag nicotine withdrawal preoperative anxiety and sedation prostate cancer solid tumors when combined with il2 therapy in certain cancers sunburn prevention topical use tardive dyskinesia thrombocytopenia associated with cancer chemotherapy and other disorders
['83682'],cefditoren,for the treatment of mild to moderate infections in adults and adolescents 12 years of age or older which are caused by susceptible strains of microorganisms in acute bacterial exacerbation of chronic bronchitis communityacquired pneumonia pharyngitistonsillitis and uncomplicated skin and skinstructure infections
['4821'],glipizide,for use as an adjunct to diet for the control of hyperglycemia and its associated symptomatology in patients with noninsulindependent diabetes mellitus niddm type ii formerly known as maturityonset diabetes after an adequate trial of dietary therapy has proved unsatisfactory
['2598'],clonazepam,clonazepam is used as an anticonvulsant in the treatment of the lennoxgastaut syndrome petit mal variant akinetic and myoclonic seizures it can also be used for the treatment of panic disorders
['8745'],promethazine,for the treatment of allergic disorders and nauseavomiting
['3429'],dihydrotachysterol,used for the prevention and treatment of rickets or osteomalacia and to manage hypocalcemia associated with hypoparathyroidism or pseudohypoparathyroidism also used for the treatment of vitamin d dependent rickets rickets or osteomalacia secondary to longterm high dose anticonvulsant therapy early renal osteodystrophy osteoporosis in conjunction with calcium and hypophosphatemia associated with fanconi syndrome with treatment of acidosis
['29528'],mequitazine,for the treatment of hay fever urticaria hives and allergic rhinitis
['343047'],atazanavir,used in combination with other antiretroviral agents for the treatment of hiv1 infection as well as postexposure prophylaxis of hiv infection in individuals who have had occupational or nonoccupational exposure to potentially infectious body fluids of a person known to be infected with hiv when that exposure represents a substantial risk for hiv transmission
['24698'],fludarabine,for the treatment of adult patients with bcell chronic lymphocytic leukemia cll who have not responded to or whose disease has progressed during treatment with at least one standard alkylatingagent containing regimen
['8050'],perhexiline,for the management of severe angina pectoris
['3498'],diphenhydramine,for the treatment of symptoms associated with vertigomenieres disease nausea and vomiting motion sickness and insect bite
['83367'],atorvastatin,may be used as primary prevention in individuals with multiple risk factors for coronary heart disease chd and as secondary prevention in individuals with chd to reduce the risk of myocardial infarction mi stroke angina and revascularization procedures may be used to reduce the risk of cardiovascular events in patients with acute coronary syndrome acs may be used in the treatment of primary hypercholesterolemia and mixed dyslipidemia homozygous familial hypercholesterolemia primary dysbetalipoproteinemia andor hypertriglyeridemia as an adjunct to dietary therapy to decrease serum total and lowdensity lipoprotein cholesterol ldlc apolipoprotein b apob and triglyceride concentrations while increasing highdensity lipoprotein cholesterol hdlc levels
"['42682', '1356715']",etidronic acid,for the treatment of symptomatic pagets disease of bone and in the prevention and treatment of heterotopic ossification following total hip replacement or due to spinal cord injury
['3248'],deslanoside,for the treatment and management of congestive cardiac insufficiency arrhythmias and heart failure
['139778'],tegaserod,provides relief from the symptoms of irritable bowel syndrome including chronic idiopathic constipation
['14851'],vigabatrin,for use as an adjunct in treatment resistant epilepsy refractory complex partial seizures and secondary generalized seizures it is also used as monotherapy in infantile spasms in west syndrome
['3500'],diphenoxylate,for as adjunctive therapy in the management of diarrhea
['10109'],streptomycin,for the treatment of tuberculosis may also be used in combination with other drugs to treat tularemia francisella tularensis plague yersia pestis severe m avium complex brucellosis and enterococcal endocarditis eg e faecalis e faecium
['37925'],orlistat,for obesity management including weight loss and weight maintenance when used in conjunction with a reducedcalorie diet also used to reduce the risk for weight regain after prior weight loss use of orlistat is pending revision due to reports of liverrelated adverse events
['28144'],emedastine,for the temporary relief of the signs and symptoms of allergic conjunctivitis
['8328'],pilocarpine,for the treatment of radiationinduced dry mouth xerostomia and symptoms of dry mouth in patients with sjoumlgrens syndrome
['1399'],benzocaine,for general use as a lubricant and topical anesthetic on esophagus larynx mouth nasal cavity rectum respiratory tract or trachea urinary tract vagina it is also used to suppress gag reflex
['8687'],primaquine,for the treatment of malaria
['40138'],iloprost,used for the treatment of pulmonary arterial hypertension
['62174'],deserpidine,for the treatment of hypertension
['47461'],butenafine,for the topical treatment of the following dermatologic infections tinea pityriasis versicolor due to im furfuri interdigital tinea pedis athletersquos foot tinea corporis ringworm and tinea cruris jock itch due to ie floccosumi it mentagrophytesi it rubrumi and it tonsuransi
['7762'],ouabain,for the treatment of atrial fibrillation and flutter and heart failure
['3455'],dimethyl sulfoxide,for the symptomatic relief of patients with interstitial cystitis
['1314255'],hesperetin,for lowering cholesterol and possibly otherwise favorably affecting lipids iin vitroi research also suggests the possibility that hesperetin might have some anticancer effects and that it might have some antiaromatase activity as well as activity again
['41127'],fluvastatin,to be used as an adjunct to dietary therapy to prevent cardiovascular events may be used as secondary prevention in patients with coronary heart disease chd to reduce the risk of requiring coronary revascularization procedures for reducing progression of coronary atherosclerosis in hypercholesterolemic patients with chd and for the treatment of primary hypercholesterolemia and mixed dyslidipidemia
['7778'],oxamniquine,for treatment of schistosomiasis caused by ischistosoma mansonii
['27169'],leflunomide,for the management of the signs and symptoms of active rheumatoid arthritis ra to improve physical function and to slow the progression of structural damage associated with the disease has also been used for the prevention of acute and chronic rejection in recipients of solid organ trasnplants and is designated by the fda as an orphan drug for this use
['301542'],rosuvastatin,used as an adjunct to dietary therapy to treat primary hyperlipidemia heterozygous familial and nonfamilial mixed dyslipidemia and hypertriglyceridemia also indicated for homozygous familial hypercholesterolemia as an adjunct to other lipidlowering therapies or when other such therapies are not available furthermore it is used to slow the progression of atherosclerosis and for primary prevention of cardiovascular disease
"['4451', '227633']",flucytosine,for the treatment in combination with amphotericin b of serious infections caused by susceptible strains of candida septicemia endocarditis and urinary system infections andor cryptococcus meningitis and pulmonary infections
['8331'],pimozide,used for the suppression of motor and phonic tics in patients with tourettes disorder who have failed to respond satisfactorily to standard treatment
['194000'],capecitabine,for the treatment of patients with metastatic breast cancer resistant to both paclitaxel and an anthracyclinecontaining chemotherapy regimen may also be used in combination with docetaxel for the treatment of metastatic breast cancer in patients who have failed to respond to or recurred or relasped during or following anthracyclinecontaining chemotherapy capecitabine is used alone as an adjuvant therapy following the complete resection of primary tumor in patients with stage iii colon cancer when monotherapy with fluroprymidine is preferred the use or capecitabine in combination regimens for advanced gastric cancer is currently being investigated
['61609'],arbutamine,used to elicit acute cardiovascular responses cardiac stumulant similar to those produced by exercise in order to aid in diagnosing the presence or absence of coronary artery disease cad in patients who cannot exercise adequately
['9061'],quinacrine,for the treatment of giardiasis and cutaneous leishmaniasis and the management of malignant effusions
['36437'],sertraline,for the management of major depressive disorder posttraumatic stress disorder obsessivecompulsive disorder panic disorder with or without agoraphobia premenstrual dysphoric disorder social phobia premature ejaculation and vascular headaches
['36514'],sibutramine,for the treatment of obesity
['28627'],levocabastine,as an ophthalmic for the temporary relief of the signs and symptoms of seasonal allergic conjunctivitis also used as a nasal spray for allergic rhinitis
['6910'],methyprylon,for the treatment of insomnia
['38668'],trilostane,used in the treatment of cushings syndrome it is normally used in shortterm treatment until permanent therapy is possible
['5224'],heparin,unfractionated heparin is indicated for prophylaxis and treatment of venous thrombosis and its extension prevention of postoperative deep venous thrombosis and pulmonary embolism and prevention of clotting in arterial and cardiac surgery in cardiology it is used to prevent embolisms in patients with atrial fibrillation and as an adjunct antithrombin therapy in patients with unstable angina andor nonq wave myocardial infarctions ie nonst elevated acute coronary artery syndrome who are on platelet glycoprotein iibiiia receptor inhibitors additionally it is used to prevent clotting during dialysis and surgical procedures maintain the patency of intravenous injection devices and prevent in vitro coagulation of blood transfusions and in blood samples drawn for laboratory values
['6932'],miconazole,for topical application in the treatment of tinea pedis athletersquos foot tinea cruris and tinea corporis caused by itrichophyton rubrumi itrichophyton mentagrophytesi and iepidermophyton floccosumi in the treatment of cutaneous candidiasis moniliasis and in the treatment of tinea versicolor
['2708'],colistimethate,for the treatment of acute or chronic infections due to sensitive strains of certain gramnegative bacilli particularly ipseudomonas aeruginosai
"['2194', '11415']",cefuroxime,for the treatment of many different types of bacterial infections such as bronchitis sinusitis tonsillitis ear infections skin infections gonorrhea and urinary tract infections
['7895'],papaverine,for the treatment of impotence and vasospasms
"['2400', '221074']",chlorphenamine,for the treatment of rhinitis urticaria allergy common cold asthma and hay fever
['7417'],nifedipine,for the management of vasospastic angina chronic stable angina hypertension and raynauds phenomenon may be used as a first line agent for left ventricular hypertrophy and isolated systolic hypertension longacting agents
['10828'],trimethaphan,for the controlled reduction of blood pressure during surgery and in the treatment of hypertensive emergencies
['60212'],atovaquone,for the treatment or prevention of ipneumocystis cariniii pneumonia in patients who are intolerant to trimethoprimsulfamethoxazole tmpsmx also indicated for the acute oral treatment of mild to moderate pcp in patients who are intolerant to tmpsmx
['703'],amiodarone,intravenously for initiation of treatment and prophylaxis of frequently recurring ventricular fibrillation and hemodynamically unstable ventricular tachycardia in patients refractory to other therapy orally for the treatment of lifethreatening recurrent ventricular arrhythmias such as recurrent ventricular fibrillation and recurrent hemodynamically unstable ventricular tachycardia
['3327'],diazoxide,used parentally to treat hypertensive emergencies also used to treat hypoglycemia secondary to insulinoma
['4816'],gliclazide,for the treatment of niddm in conjunction with diet and exercise
['33253'],phenacemide,used to control certain seizures in the treatment of epilepsy
['623'],ambenonium,ambenonium is used to treat muscle weakness due to muscle disease myasthenia gravis
['8723'],proflavine,topical antiseptic used mainly in wound dressings
['10635'],tolbutamide,for treatment of niddm noninsulindependent diabetes mellitus in conjunction with diet and exercise
['17941'],anisindione,for the prophylaxis and treatment of venous thrombosis and its extension the treatment of atrial fibrillation with embolization the prophylaxis and treatment of pulmonary embolism and as an adjunct in the treatment of coronary occlusion
['228790'],dutasteride,for the treatment of symptomatic benign prostatic hyperplasia bph in men with an enlarged prostate gland to improve symptoms and reduce the risk of acute urinary retention and the need for surgery
"['3743', '142434']",econazole,for topical application in the treatment of tinea pedis tinea cruris and tinea corporis caused by itrichophyton rubrumi itrichophyton mentagrophytesi itrichophyton tonsuransi imicrosporum canisi imicrosporum audouinii imicrosporum gypseumi and iepidermophyton floccosumi in the treatment of cutaneous candidiasis and in the treatment of tinea versicolor
['83008'],bicalutamide,for treatment together with surgery or lhrh analogue of advanced prostatic cancer
"['114979', '183877']",rabeprazole,for the treatment of acidreflux disorders gerd peptic ulcer disease h pylori eradication and prevention of gastroinetestinal bleeds with nsaid use
['34369'],prednicarbate,for the relief of the inflammatory and pruritic manifestations of corticosteroidresponsive dermatoses
['2382'],proguanil,for the causal prevention and suppression of malaria caused by susceptible strains of ip falciparumi and other species of plasmodium found in some geographical areas of the world
['33738'],pioglitazone,pioglitazone is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus fda label
"['11476', '57230']",tiludronic acid,for treatment of pagets disease of bone osteitis deformans
['49275'],doxacurium chloride,used to provide skeletal muscle relaxation as an adjunct to general anesthesia for endotracheal intubation or to facilitate mechanical ventilation
['20352'],carvedilol,for the treatment of mild or moderate nyha class ii or iii heart failure of ischemic or cardiomyopathic origin
['82122'],levofloxacin,for the treatment of bacterial conjunctivitis caused by susceptible strains of the following organisms icorynebacteriumi species istaphylococus aureusi istaphylococcus epidermidisi istreptococcus pneumoniaei istreptococcusi groups cfg viridans group streptococci iacinetobacter lwoffiii ihaemophilus influenzaei iserratia marcescensi
['10205'],sulfinpyrazone,for the treatment of gout and gouty arthritis
['2238'],cefapirin,for treatment of infections caused by susceptible bacteria
"['2177', '1545975']",cefadroxil,for the treatment of the following infections skin uti ent caused by is pneumoniae h influenzae staphylococci s pyogenesi group a betahemolytic streptococci ie coli p mirabilis klebsiellai sp coagulasenegative staphylococci and istreptococcus pyogenesi
['325887'],micafungin,for use in the treatment of candidemia acute disseminated candidiasis and certain other invasive icandidai infections as well as esophageal candidiasis and prophylaxis of icandidai infections in patients undergoing hematopoietic stem cell transplantation micafungin is also used as an alternative for the treatment of oropharyngeal candidiases and has been used with some success as primary or salvage therapy alone or in combination with other antifungals for the treatment of invasive aspergillosis
['3638'],doxepin,doxepin is used for the treatment of depression andor anxiety it can also be used for chronic urticaria and in the management of pain
"['4126', '1545987']",amifostine,for reduction in the cumulative renal toxicity in patients with ovarian cancer using cisplatin and moderate to severe xerostomia in patients undergoing postoperative radiation treatment for head and neck cancer
['3353'],diclofenamide,for adjunctive treatment of chronic simple openangle glaucoma secondary glaucoma and preoperatively in acute angleclosure glaucoma where delay of surgery is desired in order to lower intraocular pressure
['23386'],diphenylpyraline,for use in the treatment of allergic rhinitis hay fever and allergic skin disorders
['2625'],cloxacillin,used to treat infections caused by penicillinaseproducing staphylococci including pneumococci group a betahemolytic streptococci and penicillin gsensitive and penicillin gresistant staphylococci
"['4440', '142437']",flavoxate,for symptomatic relief of dysuria urgency nocturia suprapubic pain frequency and incontinence as may occur in cystitis prostatitis urethritis urethrocystitisurethrotrigonitis
['31565'],nefazodone,for the treatment of depression
"['19552', '1546020']",cefprozil,for the treatment of the following infections respiratory skin soft tissue uti ent caused by s pneumoniae h influenzae staphylococci s pyogenes group a betahemolytic streptococci e coli p mirabilis klebsiella sp coagulasenegative staph
['3247'],desipramine,for relief of symptoms in various depressive syndromes especially endogenous depression it has also been used to manage chronic peripheral neuropathic pain as a second line agent for the management of anxiety disorders eg panic disorder generalized anxiety disorder and as a second or third line agent in the adhd management
['36435'],sertaconazole,for the topical treatment of interdigital tinea pedis in immunocompetent patients 12 years of age and older caused by itrichophyton rubrumi itrichophyton mentagrophytesi and iepidermophyton floccosumi
['10464'],thiamylal,used for the production of complete anaesthesia of short duration for the induction of general anaesthesia and for inducing a hypnotic state
"['138099', '402429']",gemifloxacin,for the treatment of bacterial infection caused by susceptible strains such as is pneumoniaei ih influenzaei ih parainfluenzaei or im catarrhalisi is pneumoniaei including multidrug resistant strains mdrsp im pneumoniaei ic pneumoniaei or ik pneumoniaei
['42347'],bupropion,for the treatment of depression and as aid to smoking cessation
['42333'],trimetrexate,for use with concurrent leucovorin administration leucovorin protection as an alternative therapy for the treatment of moderatetosevere ipneumocystis cariniii pneumonia pcp in immunocompromised patients including patients with the acquired immunodeficiency syndrome aids also used to treat several types of cancer including colon cancer
['19685'],bretylium,for use in the prophylaxis and therapy of ventricular fibrillation also used in the treatment of lifethreatening ventricular arrhythmias such as ventricular tachycardia that have failed to respond to adequate doses of a firstline antiarrhythmic agent such as lidocaine
['5095'],halothane,for the induction and maintenance of general anesthesia
['23321'],dinoprost tromethamine,used for aborting secondtrimester pregnancy between the twelfth to eighteenth week of gestation and in incomplete abortion or for therapeutic abortion in cases of intrauterine fetal death and congenital abnormalities incompatible with life also used at lowdoses for medically indicated induction of labor at term also injected intraarterially for use as a vasodilator to assist in angiography
['20859'],chloroprocaine,for the production of local anesthesia by infiltration and peripheral nerve block they are not to be used for lumbar or caudal epidural anesthesia
['37798'],terazosin,for the treatment of symptomatic bph and mild to moderate hypertension
['626'],amdinocillin,used in the treatment of urinary tract infections caused by some strains of e coli and klebsiella and enterobacter species used mainly against gram negative organisms
"['1901', '1667640']",calcium chloride,for the treatment of hypocalcemia in those conditions requiring a prompt increase in blood plasma calcium levels for the treatment of magnesium intoxication due to overdosage of magnesium sulfate and used to combat the deleterious effects of hyperkalemia as measured by electrocardiographic ecg pending correction of the increased potassium level in the extracellular fluid
['7623'],ofloxacin,for the treatment of infections respiratory tract kidney skin soft tissue uti urethral and cervical gonorrhoea
['21107'],cilostazol,for the reduction of symptoms of intermittent claudication pain in the legs that occurs with walking and disappears with rest
"['28031', '202826']",itraconazole,for the treatment of the following fungal infections in immunocompromised and nonimmunocompromised patients pulmonary and extrapulmonary blastomycosis histoplasmosis aspergillosis and onychomycosis
['8702'],procarbazine,for use with other anticancer drugs for the treatment of stage iii and stage iv hodgkins disease
['18330'],arsenic trioxide,for induction of remission and consolidation in patients with acute promyelocytic leukemia apl and whose apl is characterized by the presence of the t1517 translocation or pmlraralpha gene expression
['5036'],guanethidine,for the treatment of moderate and severe hypertension either alone or as an adjunct and for the treatment of renal hypertension
['30121'],moclobemide,for the treatment of depression
"['6099', '1727573']",kanamycin,for treatment of infections where one or more of the following are the known or suspected pathogens ie colii iproteusi species both indolepositive and indolenegative ie aerogenes k pneumoniae s marcescensi and iacinetobacteri species
['7715'],orphenadrine,indicated for the treatment of parkinsons disease
['8134'],phenobarbital,for the treatment of all types of seizures except absence seizures
['321988'],escitalopram,labeled indications include major depressive disorder mdd and generalized anxiety disorder gad unlabeled indications include treatment of mild dementiaassociated agitation in nonpsychotic patients
['2977'],cyclizine,for prevention and treatment of nausea vomiting and dizziness associated with motion sickness and vertigo dizziness caused by other medical problems
['5650'],idarubicin,for the treatment of acute myeloid leukemia aml in adults this includes frenchamericanbritish fab classifications m1 through m7
['2373'],chlormezanone,used in the management of anxiety and in the treatment of muscle spasm
['8463'],podofilox,for treatment of external genital warts icondyloma acuminatumi
['9259'],rescinnamine,for the treatment of hypertension
['5657'],ifosfamide,used as a component of various chemotherapeutic regimens as thirdline therapy for recurrent or refractory germ cell testicular cancer also used as a component of various chemotherapeutic regimens for the treatment of cervical cancer as well as in conjunction with surgery andor radiation therapy in the treatment of various soft tissue sarcomas other indications include treatment of osteosarcoma bladder cancer ovarian cancer small cell lung cancer and nonhodgkins lymphoma
['8754'],propafenone,used to prolong the time to recurrence of paroxysmal atrial fibrillationflutter paf associated with disabling symptoms in patients without structural heart disease also used for the treatment of lifethreatening documented ventricular arrhythmias such as sustained ventricular tachycardia
['7242'],naloxone,for the complete or partial reversal of narcotic depression including respiratory depression induced by opioids including natural and synthetic narcotics propoxyphene methadone and the narcoticantagonist analgesics nalbuphine pentazocine and butorphanol it is also indicated for the diagnosis of suspected acute opioid overdose it may also be used as an adjunctive agent to increase blood pressure in the management of septic shock
['3626'],domperidone,for management of dyspepsia heartburn epigastric pain nausea and vomiting
['4494'],fluoxymesterone,in males used as replacement therapy in conditions associated with symptoms of deficiency or absence of endogenous testosterone in females for palliation of androgenresponsive recurrent mammary cancer in women who are more than one year but less than five years postmenopausal
['8047'],pergolide,indicated as adjunctive treatment to levodopacarbidopa in the management of the signs and symptoms of parkinsons disease it was withdrawn from the us and canadian markets in 2007 due to an increased risk of cardiac valvulopathy
['5968'],iophendylate,iophendylate is used as a contrast agent to locate spinal tumors
['21090'],ciclopirox,used as a topical treatment in immunocompetent patients with mild to moderate onychomycosis of fingernails and toenails without lunula involvement due to itrichophyton rubrumi
['27340'],desflurane,for use as an inhalation agent for induction andor maintenance of anesthesia for inpatient and outpatient surgery in adults
"['2582', '202862']",clindamycin,for the treatment of serious infections caused by susceptible anaerobic bacteria including bacteroides spp peptostreptococcus anaerobic streptococci clostridium spp and microaerophilic streptococci may be useful in polymicrobic infections such as intraabdominal or pelvic infections osteomyelitis diabetic foot ulcers aspiration pneumonia and dental infections may also be used to treat mssa and respiratory infections caused by s pneumoniae and s pyogenes in patients who are intolerant to other indicated antibiotics or who are infected with resistant organism may be used vaginally to treat vaginosis caused by gardnerella vaginosa clindamycin reduces the toxin producing effects of s aureus and s pyogenes and as such may be particularly useful for treating necrotizing fasciitis may be used topically to treat acne
['3268'],dexfenfluramine,for the management of obesity including weight loss and maintenance of weight loss in patients on a reduced calorie diet
['7814'],oxymorphone,for the treatment of moderatetosevere pain
['149'],acebutolol,for the management of hypertension and ventricular premature beats in adults
['194881'],brinzolamide,for the treatment of elevated intraocular pressure in patients with ocular hypertension or openangle glaucoma
['4441'],flecainide,flecainide is is a class ic antiarrhythmic agent and as such it is used for the prevention of paroxysmal supraventricular tachycardias psvt including atrioventricular nodal reentrant tachycardia atrioventricular reentrant tachycardia and other supraventricular tachycardias of unspecified mechanism associated with disablin
['4089'],estramustine,for the palliative treatment of patients with metastatic andor progressive carcinoma of the prostate
['1998'],captopril,for the treatment of essential or renovascular hypertension usually administered with other drugs particularly thiazide diuretics may be used to treat congestive heart failure in combination with other drugs eg cardiac glycosides diuretics betaadrenergic blockers may improve survival in patients with left ventricular dysfunction following myocardial infarction may be used to treat nephropathy including diabetic nephropathy
['40001'],zopiclone,for the shortterm treatment of insomnia
['10917'],tubocurarine,used as a diagnosis agent for myasthenia gravis and also to facilitate the intubation after induction of anesthesia in surgical procedure
['1760'],bromocriptine,for the treatment of galactorrhea due to hyperprolactinemia prolactindependent menstrual disorders and infertility prolactinsecreting adenomas prolactindependent male hypogonadism as adjunct therapy to surgery or radiotherapy for acromegaly or as monotherapy is special cases as monotherapy in early parksinsonian syndrome or as an adjunct with levodopa in advanced cases with motor complications bromocriptine has also been used offlabel to treat restless legs syndrome and neuroleptic malignant syndrome
"['35617', '262139']",rifapentine,for the treatment of pulmonary tuberculosis
['114477'],levetiracetam,used as adjunctive therapy in the treatment of partial onset seizures in adults and children 4 years of age and older with epilepsy
['7226'],nadolol,used in cardiovascular disease to treat arrhythmias angina pectoris and hypertension
