index,Class,Drug,generics
4095,narcotic analgesic combinations,Tylox,generic name: acetaminophen/oxycodone
4096,narcotic analgesic combinations,Combunox,generic name: ibuprofen/oxycodone
4097,narcotic analgesic combinations,Xolox,generic name: acetaminophen/oxycodone
4098,narcotic analgesic combinations,Vicodin ES,generic name: acetaminophen/hydrocodone
4099,narcotic analgesic combinations,Vicodin HP,generic name: acetaminophen/hydrocodone
4100,narcotic analgesic combinations,Hycet,generic name: acetaminophen/hydrocodone
4101,narcotic analgesic combinations,Roxicet,generic name: acetaminophen/oxycodone
4102,narcotic analgesic combinations,Talacen,generic name: acetaminophen/pentazocine
4103,narcotic analgesic combinations,Vicoprofen,generic name: hydrocodone/ibuprofen
4104,narcotic analgesic combinations,Lortab,generic name: acetaminophen/hydrocodone
4105,narcotic analgesic combinations,Stagesic,generic name: acetaminophen/hydrocodone
4106,narcotic analgesic combinations,Targiniq ER,generic name: naloxone/oxycodone
4107,narcotic analgesic combinations,Ultracet,generic name: acetaminophen/tramadol
4108,narcotic analgesic combinations,Vicodin,generic name: acetaminophen/hydrocodone
4109,narcotic analgesic combinations,Xodol,generic name: acetaminophen/hydrocodone
4110,narcotic analgesic combinations,Endocet,generic name: acetaminophen/oxycodone
4111,narcotic analgesic combinations,Percocet 7.5 / 325,generic name: acetaminophen/oxycodone
4112,narcotic analgesic combinations,Norco,generic name: acetaminophen/hydrocodone
4113,narcotic analgesic combinations,Panlor SS,generic name: acetaminophen/caffeine/dihydrocodeine
4114,narcotic analgesic combinations,Tylenol with Codeine,generic name: acetaminophen/codeine
4115,narcotic analgesic combinations,Percocet 5 / 325,generic name: acetaminophen/oxycodone
4116,narcotic analgesic combinations,Xartemis XR,generic name: acetaminophen/oxycodone
4117,narcotic analgesic combinations,Anexsia,generic name: acetaminophen/hydrocodone
4118,narcotic analgesic combinations,Talwin Nx,generic name: naloxone/pentazocine
4119,narcotic analgesic combinations,Liquicet,generic name: acetaminophen/hydrocodone
4120,narcotic analgesic combinations,Trezix,generic name: acetaminophen/caffeine/dihydrocodeine
4121,narcotic analgesic combinations,Darvocet-N 50,generic name: acetaminophen/propoxyphene
4122,narcotic analgesic combinations,Percodan,generic name: aspirin/oxycodone
4123,narcotic analgesic combinations,Darvocet A500,generic name: acetaminophen/propoxyphene
4124,narcotic analgesic combinations,Percocet 2.5 / 325,generic name: acetaminophen/oxycodone
4125,narcotic analgesic combinations,Zubsolv,generic name: buprenorphine/naloxone
4126,narcotic analgesic combinations,Balacet,generic name: acetaminophen/propoxyphene
4127,narcotic analgesic combinations,Bunavail,generic name: buprenorphine/naloxone
4128,narcotic analgesic combinations,Zamicet,generic name: acetaminophen/hydrocodone
4129,narcotic analgesic combinations,Tylenol with Codeine #4,generic name: acetaminophen/codeine
4130,narcotic analgesic combinations,Embeda,generic name: morphine/naltrexone
4131,narcotic analgesic combinations,Tylenol with Codeine #3,generic name: acetaminophen/codeine
4132,narcotic analgesic combinations,Narvox,generic name: acetaminophen/oxycodone
4133,narcotic analgesic combinations,Zydone,generic name: acetaminophen/hydrocodone
4134,narcotic analgesic combinations,Apadaz,generic name: acetaminophen/benzhydrocodone
4135,narcotic analgesic combinations,Capital w/ Codeine,generic name: acetaminophen/codeine
4136,narcotic analgesic combinations,Co-Gesic,generic name: acetaminophen/hydrocodone
4137,narcotic analgesic combinations,Cocet Plus,generic name: acetaminophen/codeine
4138,narcotic analgesic combinations,Codrix,generic name: acetaminophen/codeine
4139,narcotic analgesic combinations,Endodan,generic name: aspirin/oxycodone
4140,narcotic analgesic combinations,Nalocet,generic name: acetaminophen/oxycodone
4141,narcotic analgesic combinations,Panlor,generic name: acetaminophen/caffeine/dihydrocodeine
4142,narcotic analgesic combinations,Perloxx,generic name: acetaminophen/oxycodone
4143,narcotic analgesic combinations,Phrenilin with Caffeine and Codeine,generic name: acetaminophen/butalbital/caffeine/codeine
4144,narcotic analgesic combinations,Roxilox,generic name: acetaminophen/oxycodone
4145,narcotic analgesic combinations,Synalgos-DC,generic name: aspirin/caffeine/dihydrocodeine
4146,narcotic analgesic combinations,Theracodophen Low 90,generic name: acetaminophen/hydrocodone
4147,narcotic analgesic combinations,Tramapap,generic name: acetaminophen/tramadol
4148,narcotic analgesic combinations,Troxyca ER,generic name: naltrexone/oxycodone
4149,narcotic analgesic combinations,Verdrocet,generic name: acetaminophen/hydrocodone
4150,narcotic analgesic combinations,Zerlor,generic name: acetaminophen/caffeine/dihydrocodeine
4151,narcotic analgesic combinations,Zolvit,generic name: acetaminophen/hydrocodone
4152,narcotic analgesics,Astramorph PF,generic name: morphine
4153,narcotic analgesics,Dazidox,generic name: oxycodone
4154,narcotic analgesics,Ionsys,generic name: fentanyl
4155,narcotic analgesics,Lazanda,generic name: fentanyl
4156,narcotic analgesics,Numorphan,generic name: oxymorphone
4157,narcotic analgesics,Onsolis,generic name: fentanyl
4158,narcotic analgesics,Oxyfast,generic name: oxycodone
4159,narcotic analgesics,Palladone,generic name: hydromorphone
4160,narcotic analgesics,Probuphine,generic name: buprenorphine
4161,narcotic analgesics,Roxanol,generic name: morphine
4162,narcotic analgesics,Roxanol-T,generic name: morphine
4163,narcotic analgesics,Roxicodone Intensol,generic name: oxycodone
4164,narcotic analgesics,Meperitab,generic name: meperidine
4165,narcotic analgesics,Methadone Diskets,generic name: methadone
4166,narcotic analgesics,Actiq,generic name: fentanyl
4167,narcotic analgesics,Fentora,generic name: fentanyl
4168,narcotic analgesics,Subutex,generic name: buprenorphine
4169,narcotic analgesics,Demerol,generic name: meperidine
4170,narcotic analgesics,Dolophine,generic name: methadone
4171,narcotic analgesics,Infumorph,generic name: morphine
4172,narcotic analgesics,Methadose,generic name: methadone
4173,narcotic analgesics,Opium Deodorized,generic name: opium
4174,narcotic analgesics,Roxicodone,generic name: oxycodone
4175,narcotic analgesics,Paregoric,generic name: opium
4176,narcotic analgesics,OxyContin,generic name: oxycodone
4177,narcotic analgesics,Subsys,generic name: fentanyl
4178,narcotic analgesics,Dilaudid,generic name: hydromorphone
4179,narcotic analgesics,Oxydose,generic name: oxycodone
4180,narcotic analgesics,Zohydro ER,generic name: hydrocodone
4181,narcotic analgesics,Buprenex,generic name: buprenorphine
4182,narcotic analgesics,Duragesic,generic name: fentanyl
4183,narcotic analgesics,Kadian,generic name: morphine
4184,narcotic analgesics,Opana,generic name: oxymorphone
4185,narcotic analgesics,Sublimaze,generic name: fentanyl
4186,narcotic analgesics,MS Contin,generic name: morphine
4187,narcotic analgesics,Avinza,generic name: morphine
4188,narcotic analgesics,Fentanyl Transdermal System,generic name: fentanyl
4189,narcotic analgesics,Exalgo,generic name: hydromorphone
4190,narcotic analgesics,Levo-Dromoran,generic name: levorphanol
4191,narcotic analgesics,OxyIR,generic name: oxycodone
4192,narcotic analgesics,Opana ER,generic name: oxymorphone
4193,narcotic analgesics,Abstral,generic name: fentanyl
4194,narcotic analgesics,Nubain,generic name: nalbuphine
4195,narcotic analgesics,Rybix ODT,generic name: tramadol
4196,narcotic analgesics,Ultram ER,generic name: tramadol
4197,narcotic analgesics,Ultram ODT,generic name: tramadol
4198,narcotic analgesics,Stadol,generic name: butorphanol
4199,narcotic analgesics,Darvon,generic name: propoxyphene
4200,narcotic analgesics,Dilaudid-HP,generic name: hydromorphone
4201,narcotic analgesics,Nucynta ER,generic name: tapentadol
4202,narcotic analgesics,Sublocade,generic name: buprenorphine
4203,narcotic analgesics,Butrans,generic name: buprenorphine
4204,narcotic analgesics,Nucynta,generic name: tapentadol
4205,narcotic analgesics,Ultram,generic name: tramadol
4206,narcotic analgesics,Duramorph,generic name: morphine
4207,narcotic analgesics,Ryzolt,generic name: tramadol
4208,narcotic analgesics,Oramorph SR,generic name: morphine
4209,narcotic analgesics,Talwin,generic name: pentazocine
4210,narcotic analgesics,Alfenta,generic name: alfentanil
4211,narcotic analgesics,ConZip,generic name: tramadol
4212,narcotic analgesics,Xtampza ER,generic name: oxycodone
4213,narcotic analgesics,Hysingla ER,generic name: hydrocodone
4214,narcotic analgesics,Oxaydo,generic name: oxycodone
4215,narcotic analgesics,Belbuca,generic name: buprenorphine
4216,narcotic analgesics,MorphaBond ER,generic name: morphine
4217,narcotic analgesics,Vantrela ER,generic name: hydrocodone
4218,narcotic analgesics,Arymo ER,generic name: morphine
4219,narcotic analgesics,DepoDur,generic name: morphine liposomal
4220,narcotic analgesics,ETH-Oxydose,generic name: oxycodone
4221,narcotic analgesics,Methadose Sugar-Free,generic name: methadone
4222,narcotic analgesics,Oxecta,generic name: oxycodone
4223,narcotic analgesics,RMS,generic name: morphine
4224,narcotic analgesics,RoxyBond,generic name: oxycodone
4225,narcotic analgesics,Sufenta,generic name: sufentanil
4226,narcotic analgesics,Ultiva,generic name: remifentanil
4228,nasal antihistamines and decongestants,4-Way Menthol,generic name: phenylephrine
4229,nasal antihistamines and decongestants,Afrin Severe Congestion,generic name: oxymetazoline
4230,nasal antihistamines and decongestants,Allerest 12 Hour Nasal Spray,generic name: oxymetazoline
4231,nasal antihistamines and decongestants,Atrovent Nasal,generic name: ipratropium
4232,nasal antihistamines and decongestants,Mucinex Sinus-Max Full Force,generic name: oxymetazoline
4233,nasal antihistamines and decongestants,Neo-Synephrine Nasal,generic name: phenylephrine
4234,nasal antihistamines and decongestants,Privine,generic name: naphazoline
4235,nasal antihistamines and decongestants,Todays Health Nasal Relief Extra Moisturizing,generic name: oxymetazoline
4236,nasal antihistamines and decongestants,Zicam Extreme Congestion Relief,generic name: oxymetazoline
4237,nasal antihistamines and decongestants,Zicam Sinus Relief,generic name: oxymetazoline
4238,nasal antihistamines and decongestants,Astelin,generic name: azelastine
4239,nasal antihistamines and decongestants,Vicks Sinex 12-Hour Decongestant Nasal Spray,generic name: oxymetazoline
4240,nasal antihistamines and decongestants,Afrin 4 Hour Extra Moisturizing,generic name: phenylephrine
4241,nasal antihistamines and decongestants,Afrin NoDrip Extra Moisturizing,generic name: oxymetazoline
4242,nasal antihistamines and decongestants,Astepro,generic name: azelastine
4243,nasal antihistamines and decongestants,Afrin Sinus,generic name: oxymetazoline
4244,nasal antihistamines and decongestants,Patanase,generic name: olopatadine
4245,nasal antihistamines and decongestants,Dymista,generic name: azelastine/fluticasone
4246,nasal antihistamines and decongestants,Vicks Sinex Nasal Spray (old formulation),generic name: phenylephrine
4247,nasal antihistamines and decongestants,Nostrilla,generic name: oxymetazoline
4248,nasal antihistamines and decongestants,Afrin NoDrip Sinus,generic name: oxymetazoline
4249,nasal antihistamines and decongestants,Afrin,generic name: oxymetazoline
4250,nasal antihistamines and decongestants,Afrin Original,generic name: oxymetazoline
4251,nasal antihistamines and decongestants,4 Way Fast Acting Nasal Spray,generic name: phenylephrine
4252,nasal antihistamines and decongestants,12 Hour Nasal,generic name: oxymetazoline
4253,nasal antihistamines and decongestants,Afrin NoDrip Original,generic name: oxymetazoline
4254,nasal antihistamines and decongestants,Benzedrex,generic name: propylhexedrine
4255,nasal antihistamines and decongestants,Dristan 12 Hour Nasal Spray,generic name: oxymetazoline
4256,nasal antihistamines and decongestants,Duramist Plus,generic name: oxymetazoline
4257,nasal antihistamines and decongestants,Duration,generic name: oxymetazoline
4258,nasal antihistamines and decongestants,Four-Way Nasal Spray,generic name: oxymetazoline
4259,nasal antihistamines and decongestants,Genasal,generic name: oxymetazoline
4260,nasal antihistamines and decongestants,Little Noses Decongestant,generic name: phenylephrine
4261,nasal antihistamines and decongestants,Mucinex Sinus-Max Moisture Smart,generic name: oxymetazoline
4262,nasal antihistamines and decongestants,NasalCrom,generic name: cromolyn
4263,nasal antihistamines and decongestants,Nasal Four,generic name: phenylephrine
4264,nasal antihistamines and decongestants,Neo-Synephrine 12 Hour,generic name: oxymetazoline
4265,nasal antihistamines and decongestants,NRS Nasal,generic name: oxymetazoline
4266,nasal antihistamines and decongestants,Rhinall,generic name: phenylephrine
4267,nasal antihistamines and decongestants,Sinarest Nasal,generic name: oxymetazoline
4268,nasal antihistamines and decongestants,Sudafed OM Sinus Cold,generic name: oxymetazoline
4269,nasal antihistamines and decongestants,Triaminic Decongestant Spray Nasal & Sinus Congestion,generic name: xylometazoline
4270,nasal antihistamines and decongestants,Tyzine,generic name: tetrahydrozoline
4271,nasal antihistamines and decongestants,Vicks QlearQuil 12 Hour Nasal Decongestant Moisturizing Spray,generic name: oxymetazoline
4272,nasal antihistamines and decongestants,Vicks Sinex Moisturizing 12-Hour Decongestant UltraFine Mist,generic name: oxymetazoline
4273,nasal antihistamines and decongestants,Vicks Sinex Severe Nasal Spray,generic name: oxymetazoline
4274,nasal lubricants and irrigations,Ayr Saline Nasal,generic name: sodium chloride
4275,nasal lubricants and irrigations,4 Way Saline,generic name: sodium chloride
4276,nasal lubricants and irrigations,Afrin Saline,generic name: sodium chloride
4277,nasal lubricants and irrigations,Altamist,generic name: sodium chloride
4278,nasal lubricants and irrigations,Ayr Baby Saline,generic name: sodium chloride
4279,nasal lubricants and irrigations,Ayr Saline Nasal No-Drip Spray,generic name: sodium chloride
4280,nasal lubricants and irrigations,Ayr Sinus Rinse Kit,generic name: sodium chloride
4281,nasal lubricants and irrigations,Deep Sea Nasal Spray,generic name: sodium chloride
4282,nasal lubricants and irrigations,ENTsol,generic name: sodium chloride
4283,nasal lubricants and irrigations,Humist,generic name: sodium chloride
4284,nasal lubricants and irrigations,Little Noses,generic name: sodium chloride
4285,nasal lubricants and irrigations,Nasal Moist,generic name: sodium chloride
4286,nasal lubricants and irrigations,Ocean,generic name: sodium chloride
4287,nasal lubricants and irrigations,Ocean Complete,generic name: sodium chloride
4288,nasal lubricants and irrigations,Ocean Kids,generic name: sodium chloride
4289,nasal lubricants and irrigations,Rhinaris,generic name: sodium chloride
4290,nasal lubricants and irrigations,Saline Nasal Mist,generic name: sodium chloride
4291,nasal lubricants and irrigations,Sea Soft,generic name: sodium chloride
4293,nasal steroids,Rhinocort,generic name: budesonide
4294,nasal steroids,Nasacort AQ,generic name: triamcinolone
4295,nasal steroids,Zetonna,generic name: ciclesonide
4296,nasal steroids,Nasarel,generic name: flunisolide
4297,nasal steroids,QNASL,generic name: beclomethasone
4298,nasal steroids,Veramyst,generic name: fluticasone
4299,nasal steroids,Rhinocort Aqua,generic name: budesonide
4300,nasal steroids,Nasonex,generic name: mometasone
4301,nasal steroids,Beconase AQ,generic name: beclomethasone
4302,nasal steroids,Omnaris,generic name: ciclesonide
4303,nasal steroids,Dymista,generic name: azelastine/fluticasone
4304,nasal steroids,Flonase,generic name: fluticasone
4305,nasal steroids,Nasacort Allergy 24HR,generic name: triamcinolone
4306,nasal steroids,Flonase Sensimist,generic name: fluticasone
4307,nasal steroids,Nasacort,generic name: triamcinolone
4308,nasal steroids,Flonase Allergy Relief,generic name: fluticasone
4309,nasal steroids,Allernaze,generic name: triamcinolone
4310,nasal steroids,Nasacort HFA,generic name: triamcinolone
4311,nasal steroids,Ticanase,generic name: fluticasone
4312,nasal steroids,Vancenase AQ,generic name: beclomethasone
4313,nasal steroids,Xhance,generic name: fluticasone
4314,natural penicillins,Bicillin L-A,generic name: penicillin g benzathine
4315,natural penicillins,Penicillin VK,generic name: penicillin v potassium
4316,natural penicillins,Beepen-VK,generic name: penicillin v potassium
4317,natural penicillins,Bicillin C-R,generic name: penicillin g benzathine/procaine penicillin
4318,natural penicillins,Bicillin C-R 900 / 300,generic name: penicillin g benzathine/procaine penicillin
4319,natural penicillins,Isoject Permapen,generic name: penicillin g benzathine
4320,natural penicillins,PC Pen VK,generic name: penicillin v potassium
4321,natural penicillins,Pfizerpen,generic name: penicillin g potassium
4322,natural penicillins,Veetids,generic name: penicillin v potassium
4323,natural penicillins,Wycillin,generic name: procaine penicillin
4325,neuraminidase inhibitors,Relenza,generic name: zanamivir
4326,neuraminidase inhibitors,Tamiflu,generic name: oseltamivir
4327,neuraminidase inhibitors,Rapivab,generic name: peramivir
4328,neuromuscular blocking agents,Nimbex,generic name: cisatracurium
4329,neuromuscular blocking agents,Anectine,generic name: succinylcholine
4330,neuromuscular blocking agents,Mivacron,generic name: mivacurium
4331,neuromuscular blocking agents,Nuromax,generic name: doxacurium
4332,neuromuscular blocking agents,Quelicin,generic name: succinylcholine
4333,neuromuscular blocking agents,Zemuron,generic name: rocuronium
4334,neuronal potassium channel openers,Potiga,generic name: ezogabine
4335,next generation cephalosporins,Teflaro,generic name: ceftaroline
4336,nicotinic acid derivatives,Trecator,generic name: ethionamide
4337,nicotinic acid derivatives,Trecator-SC,generic name: ethionamide
4338,NK1 receptor antagonists,Varubi,generic name: rolapitant
4339,NK1 receptor antagonists,Emend,generic name: aprepitant
4340,NK1 receptor antagonists,Cinvanti,generic name: aprepitant
4341,NK1 receptor antagonists,Emend for Injection,generic name: fosaprepitant
4342,NNRTIs,Intelence,generic name: etravirine
4343,NNRTIs,Sustiva,generic name: efavirenz
4344,NNRTIs,Viramune,generic name: nevirapine
4345,NNRTIs,Edurant,generic name: rilpivirine
4346,NNRTIs,Rescriptor,generic name: delavirdine
4347,NNRTIs,Viramune XR,generic name: nevirapine
4348,non-cardioselective beta blockers,InnoPran XL,generic name: propranolol
4349,non-cardioselective beta blockers,Corgard,generic name: nadolol
4350,non-cardioselective beta blockers,Coreg,generic name: carvedilol
4351,non-cardioselective beta blockers,Inderal,generic name: propranolol
4352,non-cardioselective beta blockers,Normodyne,generic name: labetalol
4353,non-cardioselective beta blockers,Sotalol Hydrochloride AF,generic name: sotalol
4354,non-cardioselective beta blockers,Coreg CR,generic name: carvedilol
4355,non-cardioselective beta blockers,Inderal LA,generic name: propranolol
4356,non-cardioselective beta blockers,Betapace,generic name: sotalol
4357,non-cardioselective beta blockers,Betapace AF,generic name: sotalol
4358,non-cardioselective beta blockers,Blocadren,generic name: timolol
4359,non-cardioselective beta blockers,Hemangeol,generic name: propranolol
4360,non-cardioselective beta blockers,Levatol,generic name: penbutolol
4361,non-cardioselective beta blockers,Sorine,generic name: sotalol
4362,non-cardioselective beta blockers,Sotylize,generic name: sotalol
4363,non-cardioselective beta blockers,Trandate,generic name: labetalol
4364,non-cardioselective beta blockers,Visken,generic name: pindolol
4365,non-iodinated contrast media,Readi-Cat,generic name: barium sulfate
4366,non-iodinated contrast media,Volumen,generic name: barium sulfate
4367,non-iodinated contrast media,Smoothie Readi-Cat 2,generic name: barium sulfate
4368,non-iodinated contrast media,Readi-Cat 2,generic name: barium sulfate
4369,non-iodinated contrast media,Anatrast,generic name: barium sulfate
4370,non-iodinated contrast media,Bar-Test,generic name: barium sulfate
4371,non-iodinated contrast media,Baricon,generic name: barium sulfate
4372,non-iodinated contrast media,Baro-Cat,generic name: barium sulfate
4373,non-iodinated contrast media,Barobag,generic name: barium sulfate
4374,non-iodinated contrast media,Barosperse,generic name: barium sulfate
4375,non-iodinated contrast media,CheeTah,generic name: barium sulfate
4376,non-iodinated contrast media,Digibar 190,generic name: barium sulfate
4377,non-iodinated contrast media,E-Z-Cat,generic name: barium sulfate
4378,non-iodinated contrast media,E-Z-Cat Dry,generic name: barium sulfate
4379,non-iodinated contrast media,E-Z-HD,generic name: barium sulfate
4380,non-iodinated contrast media,E-Z-Paque,generic name: barium sulfate
4381,non-iodinated contrast media,E-Z Disk,generic name: barium sulfate
4382,non-iodinated contrast media,E-Z Dose Kit with Polibar Plus,generic name: barium sulfate
4383,non-iodinated contrast media,E-Z Paste,generic name: barium sulfate
4384,non-iodinated contrast media,Entero VU,generic name: barium sulfate
4385,non-iodinated contrast media,Entrobar,generic name: barium sulfate
4386,non-iodinated contrast media,Entroease,generic name: barium sulfate
4387,non-iodinated contrast media,Esobar,generic name: barium sulfate
4388,non-iodinated contrast media,Esopho-Cat,generic name: barium sulfate
4389,non-iodinated contrast media,Flo-Coat,generic name: barium sulfate
4390,non-iodinated contrast media,HD 85,generic name: barium sulfate
4391,non-iodinated contrast media,HD 200 Plus,generic name: barium sulfate
4392,non-iodinated contrast media,Intropaste,generic name: barium sulfate
4393,non-iodinated contrast media,Liquid E-Z Paque,generic name: barium sulfate
4394,non-iodinated contrast media,Liquid Polibar,generic name: barium sulfate
4395,non-iodinated contrast media,Liquid Polibar Plus,generic name: barium sulfate
4396,non-iodinated contrast media,Maxibar,generic name: barium sulfate
4397,non-iodinated contrast media,Medebar Plus,generic name: barium sulfate
4398,non-iodinated contrast media,Polibar ACB,generic name: barium sulfate
4399,non-iodinated contrast media,Polibar Plus,generic name: barium sulfate
4400,non-iodinated contrast media,Prepcat,generic name: barium sulfate
4401,non-iodinated contrast media,Scan C,generic name: barium sulfate
4402,non-iodinated contrast media,SilQ Vanilla,generic name: barium sulfate
4403,non-iodinated contrast media,Sitzmarks,generic name: barium sulfate
4404,non-iodinated contrast media,Sol-O-Pake,generic name: barium sulfate
4405,non-iodinated contrast media,Tagitol V,generic name: barium sulfate
4406,non-iodinated contrast media,Tomocat,generic name: barium sulfate
4407,non-iodinated contrast media,Tonopaque,generic name: barium sulfate
4408,non-iodinated contrast media,Ultra R,generic name: barium sulfate
4409,non-iodinated contrast media,Varibar Honey,generic name: barium sulfate
4410,non-iodinated contrast media,Varibar Nectar,generic name: barium sulfate
4411,non-iodinated contrast media,Varibar Pudding,generic name: barium sulfate
4412,non-iodinated contrast media,Varibar Thin,generic name: barium sulfate
4413,non-iodinated contrast media,Varibar Thin Honey,generic name: barium sulfate
4414,non-ionic iodinated contrast media,Visipaque,generic name: iodixanol
4415,non-ionic iodinated contrast media,Isovue-200,generic name: iopamidol
4416,non-ionic iodinated contrast media,Isovue-250,generic name: iopamidol
4417,non-ionic iodinated contrast media,Isovue-300,generic name: iopamidol
4418,non-ionic iodinated contrast media,Isovue-370,generic name: iopamidol
4419,non-ionic iodinated contrast media,Isovue-M-200,generic name: iopamidol
4420,non-ionic iodinated contrast media,Isovue-M-300,generic name: iopamidol
4421,non-ionic iodinated contrast media,Optiray 160,generic name: ioversol
4422,non-ionic iodinated contrast media,Optiray 240,generic name: ioversol
4423,non-ionic iodinated contrast media,Optiray 300,generic name: ioversol
4424,non-ionic iodinated contrast media,Optiray 320,generic name: ioversol
4425,non-ionic iodinated contrast media,Optiray 350,generic name: ioversol
4426,non-ionic iodinated contrast media,Oraltag,generic name: iohexol
4427,non-ionic iodinated contrast media,Oxilan,generic name: ioxilan
4428,non-ionic iodinated contrast media,Ultravist,generic name: iopromide
4429,non-sulfonylureas,Glumetza,generic name: metformin
4430,non-sulfonylureas,Glucophage XR,generic name: metformin
4431,non-sulfonylureas,Fortamet,generic name: metformin
4432,non-sulfonylureas,Glucophage,generic name: metformin
4433,non-sulfonylureas,Riomet,generic name: metformin
4434,Nonsteroidal anti-inflammatory drugs,Advil Children's,generic name: ibuprofen
4435,Nonsteroidal anti-inflammatory drugs,Flanax Pain Reliever,generic name: naproxen
4436,Nonsteroidal anti-inflammatory drugs,Motrin Infant Drops,generic name: ibuprofen
4437,Nonsteroidal anti-inflammatory drugs,Children's Motrin,generic name: ibuprofen
4438,Nonsteroidal anti-inflammatory drugs,Clinoril,generic name: sulindac
4439,Nonsteroidal anti-inflammatory drugs,Orudis,generic name: ketoprofen
4440,Nonsteroidal anti-inflammatory drugs,Orudis KT,generic name: ketoprofen
4441,Nonsteroidal anti-inflammatory drugs,Oruvail,generic name: ketoprofen
4442,Nonsteroidal anti-inflammatory drugs,Tolectin DS,generic name: tolmetin
4443,Nonsteroidal anti-inflammatory drugs,Lodine XL,generic name: etodolac
4444,Nonsteroidal anti-inflammatory drugs,Nalfon,generic name: fenoprofen
4445,Nonsteroidal anti-inflammatory drugs,Cataflam,generic name: diclofenac
4446,Nonsteroidal anti-inflammatory drugs,Motrin IB,generic name: ibuprofen
4447,Nonsteroidal anti-inflammatory drugs,Advil Liqui-Gels,generic name: ibuprofen
4448,Nonsteroidal anti-inflammatory drugs,Ansaid,generic name: flurbiprofen
4449,Nonsteroidal anti-inflammatory drugs,Arthrotec,generic name: diclofenac/misoprostol
4450,Nonsteroidal anti-inflammatory drugs,Cambia,generic name: diclofenac
4451,Nonsteroidal anti-inflammatory drugs,Zorvolex,generic name: diclofenac
4452,Nonsteroidal anti-inflammatory drugs,Feldene,generic name: piroxicam
4453,Nonsteroidal anti-inflammatory drugs,Ibu-8,generic name: ibuprofen
4454,Nonsteroidal anti-inflammatory drugs,Lodine,generic name: etodolac
4455,Nonsteroidal anti-inflammatory drugs,Nuprin,generic name: ibuprofen
4456,Nonsteroidal anti-inflammatory drugs,Vimovo,generic name: esomeprazole/naproxen
4457,Nonsteroidal anti-inflammatory drugs,Naprelan,generic name: naproxen
4458,Nonsteroidal anti-inflammatory drugs,Voltaren,generic name: diclofenac
4459,Nonsteroidal anti-inflammatory drugs,Indocin,generic name: indomethacin
4460,Nonsteroidal anti-inflammatory drugs,Sprix,generic name: ketorolac
4461,Nonsteroidal anti-inflammatory drugs,Indocin SR,generic name: indomethacin
4462,Nonsteroidal anti-inflammatory drugs,Voltaren-XR,generic name: diclofenac
4463,Nonsteroidal anti-inflammatory drugs,Naprosyn,generic name: naproxen
4464,Nonsteroidal anti-inflammatory drugs,Toradol,generic name: ketorolac
4465,Nonsteroidal anti-inflammatory drugs,Zipsor,generic name: diclofenac
4466,Nonsteroidal anti-inflammatory drugs,IBU,generic name: ibuprofen
4467,Nonsteroidal anti-inflammatory drugs,Motrin,generic name: ibuprofen
4468,Nonsteroidal anti-inflammatory drugs,Anaprox-DS,generic name: naproxen
4469,Nonsteroidal anti-inflammatory drugs,EC-Naprosyn,generic name: naproxen
4470,Nonsteroidal anti-inflammatory drugs,Ibu-6,generic name: ibuprofen
4471,Nonsteroidal anti-inflammatory drugs,Mobic,generic name: meloxicam
4472,Nonsteroidal anti-inflammatory drugs,Relafen,generic name: nabumetone
4473,Nonsteroidal anti-inflammatory drugs,Aleve,generic name: naproxen
4474,Nonsteroidal anti-inflammatory drugs,Toradol IV / IM,generic name: ketorolac
4475,Nonsteroidal anti-inflammatory drugs,Anaprox,generic name: naproxen
4476,Nonsteroidal anti-inflammatory drugs,Advil,generic name: ibuprofen
4477,Nonsteroidal anti-inflammatory drugs,Ponstel,generic name: mefenamic acid
4478,Nonsteroidal anti-inflammatory drugs,Midol Extended Relief,generic name: naproxen
4479,Nonsteroidal anti-inflammatory drugs,Daypro,generic name: oxaprozin
4480,Nonsteroidal anti-inflammatory drugs,Duexis,generic name: famotidine/ibuprofen
4481,Nonsteroidal anti-inflammatory drugs,IBU-200,generic name: ibuprofen
4482,Nonsteroidal anti-inflammatory drugs,Dolobid,generic name: diflunisal
4483,Nonsteroidal anti-inflammatory drugs,All Day Pain Relief,generic name: naproxen
4484,Nonsteroidal anti-inflammatory drugs,Advil Migraine,generic name: ibuprofen
4485,Nonsteroidal anti-inflammatory drugs,A-G Profen,generic name: ibuprofen
4486,Nonsteroidal anti-inflammatory drugs,Actiprofen,generic name: ibuprofen
4487,Nonsteroidal anti-inflammatory drugs,Addaprin,generic name: ibuprofen
4488,Nonsteroidal anti-inflammatory drugs,Advil Infant's Concentrated Drops,generic name: ibuprofen
4489,Nonsteroidal anti-inflammatory drugs,Aflaxen,generic name: naproxen
4490,Nonsteroidal anti-inflammatory drugs,All Day Relief,generic name: naproxen
4491,Nonsteroidal anti-inflammatory drugs,Caldolor,generic name: ibuprofen
4492,Nonsteroidal anti-inflammatory drugs,Dyloject,generic name: diclofenac
4493,Nonsteroidal anti-inflammatory drugs,Fenortho,generic name: fenoprofen
4494,Nonsteroidal anti-inflammatory drugs,Genpril,generic name: ibuprofen
4495,Nonsteroidal anti-inflammatory drugs,Haltran,generic name: ibuprofen
4496,Nonsteroidal anti-inflammatory drugs,Ibu-4,generic name: ibuprofen
4497,Nonsteroidal anti-inflammatory drugs,Ibu-Tab,generic name: ibuprofen
