"['4603', '202991']",furosemide,***For the treatment of peripheral edema or edema associated with heart failure or nephrotic syndrome.***For the management of pulmonary edema or prevention of adverse hemodynamic effects associated with blood product transfusions�.***For the adjunctive treatment of acute pulmonary edema.***For the prevention of adverse hemodynamic effects and/or pulmonary edema associated with blood product transfusions�.***For adjunctive treatment of edema in patients with acute or chronic renal failure (renal impairment).***For the treatment of hypertension.***For adjunctive treatment of hypertensive urgency� or hypertensive emergency�.***For the acute treatment of hypercalcemia� associated with neoplastic disease in combination with intravenous saline.***For the treatment of ascites� in combination with spironolactone or amiloride.***Formoterol; Mometasone,"***Sulfonamide hypersensitivity, thiazide diuretic hypersensitivity***Acid/base imbalance, electrolyte imbalance, hypocalcemia, hypochloremia, hypokalemia, hypomagnesemia, hyponatremia, metabolic alkalosis***Diabetes mellitus, hyperglycemia***Diarrhea, heart failure, ventricular arrhythmias***Acute myocardial infarction***Anuria, hypovolemia, renal disease, renal failure, renal impairment***Hypotension, orthostatic hypotension, sympathectomy, syncope***Systemic lupus erythematosus (SLE)***Gout, hyperuricemia***Hearing impairment***Pancreatitis***Preeclampsia, pregnancy***Breast-feeding***Children, infants, neonates, premature neonates***Ascites, hepatic disease, hepatic encephalopathy***Prostatic hypertrophy, urethral stricture, urinary retention***Thyroid disease***Geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,histrelin acetate,"***For the palliative treatment of advanced prostate cancer.***For the treatment of central precocious puberty (CPP) in children. <br />        NOTE: Prior to initiating treatment with histrelin, the diagnosis of CPP should be confirmed by measuring blood concentrations of total sex steroids, luteinizing hormone, and follicle stimulating hormone following stimulation with a GnRH analog; bone age versus chronological age should be assessed. Baseline evaluations should include height and weight measurements, diagnostic imaging of the brain to rule out an intracranial tumor, pelvic/testicular/adrenal ultrasound to rule out steroid secreting tumors, and measurement of human chorionic gonadotropin concentrations (to rule out a chorionic gonadotropin secreting tumor) and adrenal steroids (to exclude congential adrenal hyperplasia).<br />     ","***General Information***Gonadotropin-Releasing Hormone (GnRH) analogs hypersensitivity***Bladder obstruction, renal impairment, spinal cord compression, urinary tract obstruction***Females, pregnancy***Breast-feeding***Pituitary insufficiency***Children, infants, neonates***Osteoporosis***Cardiac disease, hypercholesterolemia, hypertension, myocardial infarction, obesity, stroke, tobacco smoking***Diabetes mellitus, hyperglycemia***Depression, suicidal ideation***Seizure disorder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,quetiapine fumarate,"***For the treatment of major depression.***For the adjunctive treatment of major depression in patients who have had an inadequate response to antidepressants alone.***For the treatment of major depressive disorder as monotherapy�.***For the treatment of bipolar disorder, including mania and bipolar depression.***For the acute treatment of mania and for maintenance therapy following stabilization.***For the treatment of bipolar depression during depressive episodes of bipolar I or bipolar II disorder.***For the treatment of rapid-cycling� bipolar disorder.***For the treatment of schizophrenia.***For the adjunct treatment of refractory obsessive-compulsive disorder (OCD)�.***For the treatment of neurocognitive symptoms (e.g., impulsivity, executive functioning) associated with borderline personality disorder�.***For the treatment of severe behavioral or psychological symptoms of dementia� (BPSD)�.***For the treatment of neuropsychiatric symptoms associated with dementia with Lewy bodies� that are unresponsive to other medications and non-medication treatments.***Formoterol***Formoterol; Mometasone","***General Information***Alcoholism, bradycardia, cardiac arrhythmias, cardiac disease, cerebrovascular disease, coronary artery disease, females, heart failure, hypertension, hypocalcemia, hypokalemia, hypomagnesemia, hypotension, hypovolemia, long QT syndrome, malnutrition, myocardial infarction, orthostatic hypotension, QT prolongation, thyroid disease***Agranulocytosis, hematological disease, leukopenia, neutropenia***Cataracts***Hypothyroidism***Tardive dyskinesia***Dysphagia***Neurological disease, Parkinson's disease***Brain tumor, seizure disorder***Coadministration with other CNS depressants, driving or operating machinery, ethanol ingestion***Hepatic disease***Breast cancer***Diabetes mellitus, hypercholesterolemia, hypertriglyceridemia, obesity***Neonates, pregnancy, pregnancy testing***Breast-feeding***Abrupt discontinuation, children, suicidal ideation***Dementia, geriatric, stroke***Ambient temperature increase, dehydration, hyperthermia, hypothermia, strenuous exercise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,esomeprazole sodium,"***For the treatment of symptomatic, non-erosive gastroesophageal reflux disease (GERD).***For the treatment of pathological hypersecretion associated with Zollinger-Ellison syndrome.***For the treatment of short-term treatment of frequent dyspepsia or pyrosis (heartburn) that occurs >= 2 times per week.***For NSAID-induced ulcer prophylaxis or healing (gastric).***For the treatment of diagnostically confirmed erosive esophagitis due to GERD.***For upper GI rebleeding prophylaxis after therapeutic endoscopy.***For Helicobacter pylori (H. pylori) eradication in combination with antimicrobial agents for the treatment of patients with duodenal ulcer disease (active or a history of duodenal ulcer), gastric ulcer�, dyspepsia�, or gastric mucosa associated lymphoid tissue (MALT) lymphoma�. <br />        NOTE: The American College of Gastroenterology (ACG) recommends 10 to 14 days of a triple-drug regimen containing a proton pump inhibitor (PPI), clarithromycin, and either amoxicillin or metronidazole. Although 10 to 14 days is recommended, ACG also indicates that giving therapy for 2 weeks may be preferred; a meta-analysis of more than 900 patients found that, as compared to a 7-day regimen, the rate of H. pylori eradication was significantly higher in patients taking triple therapy for 14 days (odds ratio 0.62, 95% CI 0.45 to 0.84). Although not significant, there was a trend towards improved eradication rates with 10 days of therapy vs. 7 days of therapy.  The same combination for 14 days continues to be recommended as first line therapy in the 2006 global updates from the Maastricht III Consensus Report.<br />NOTE: If the patient has an active peptic ulcer at the time therapy is initiated, additional weeks of esomeprazole may be needed to achieve ulcer healing (see therapy duration recommended for healing of gastric ulcer or duodenal ulcer).<br />NOTE: In populations where H. pylori infection is common (10% or more), patients presenting with non-ulcer dyspepsia should be tested for H. pylori; those found to be H. pylori positive should be started on combination eradication therapy.  <br />NOTE: A large body of data exist to support the importance of H. pylori eradication as the first line treatment of gastric MALT lymphoma. Following H. pylori eradication, long-term tumor regression is observed in 60% to 90% of patients. <br />***For the treatment of proton-pump inhibitor-responsive esophageal eosinophilia (PPI-REE) in the differential diagnosis of eosinophilic esophagitis (EoE)�.","***General Information***Proton pump inhibitors (PPIs) hypersensitivity***Hepatic disease***Diarrhea, pseudomembranous colitis***Gastric cancer***Vitamin B12 deficiency***Bone fractures, geriatric, osteoporosis***Hypomagnesemia, long QT syndrome***Rebound acid hypersecretion***Pregnancy***Breast-feeding***Children, infants, neonates***Abdominal pain, dysphagia, GI bleeding, vomiting***Systemic lupus erythematosus (SLE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"meningococcal (groups A, C, Y and W-135) polysaccharide diphtheria toxoid conjugate vaccine","***For meningococcal infection prophylaxis due to <em>Neisseria meningitidis</em> serogroups A, C, Y, and W-135. <br />  NOTE: The Advisory Committee on Immunization Practices (ACIP) recommends routine vaccination of all persons 11�18 years of age, preferably with 1 dose at age 11 or 12 years and a booster dose at 16 years.<br /","***General Information***Anticoagulant therapy, coagulopathy, hemophilia, thrombocytopenia, vitamin K deficiency***Fever, infection***Agammaglobulinemia, chemotherapy, human immunodeficiency virus (HIV) infection, hypogammaglobulinemia, immunosuppression, neoplastic disease, radiation therapy, severe combined immunodeficiency (SCID)***Pregnancy***Breast-feeding***Geriatric***Guillain-Barre syndrome***Infants, neonates, premature neonates***Syncope",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,betamethasone dipropionate/clotrimazole,"***For the treatment of tinea corporis, tinea cruris, and tinea pedis infections caused by Epidermophyton floccosum, Trichophyton mentagrophytes, or Trichophyton rubrum). <br />        NOTE: The efficacy for the treatment of infections caused by zoophilic dermatophytes (e.g., Microsporum canis�) has not been established. Several cases of treatment failure have been reported with betamethasone; clotrimazole cream.<br />     ***For the secondary treatment of topical candidiasis� with inflammation due to susceptible strains of <em>Candida sp</em>.� including <em>Candida albicans</em>�.","***General Information***Pregnancy***Breast-feeding***Peripheral vascular disease, skin abrasion***Azole antifungals hypersensitivity***Children, growth inhibition, increased intracranial pressure, infants, neonates***Geriatric, skin atrophy***Ocular exposure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['4053'],erythromycin,"***For the treatment of acne vulgaris.***For mild to moderately severe lower respiratory tract infections (e.g., pneumonia, bronchitis) caused by susceptible organisms.***For the treatment of Legionnaire's disease (caused by <em>Legionella pneumophila</em>).***For the treatment of mild to moderately severe upper respiratory tract infections (e.g., pharyngitis, tonsillitis), including group A beta-hemolytic streptococcal (GAS) pharyngitis (primary rheumatic fever prophylaxis).***For upper respiratory tract infections and GAS pharyngitis (primary rheumatic fever prophylaxis).***For prevention of recurrent attacks of rheumatic fever (i.e., secondary rheumatic fever prophylaxis).***For the treatment of listeriosis.***For the treatment of chlamydia infection and non-gonococcal urethritis.***For the treatment of non-gonococcal urethritis (NGU) or chlamydial infections including urogenital infections (urethritis, cervicitis, proctitis) and infant pneumonia.***For the treatment of chlamydial conjunctivitis or ophthalmia neonatorum caused by <em>Chlamydia trachomatis</em>.***For the treatment of lymphogranuloma venereum� caused by <em>Chlamydia trachomatis</em>.***For the prevention of ophthalmia neonatorum (i.e., ophthalmia neonatorum prophylaxis) due to <em>Neisseria gonorrhoeae</em><em> </em>or<em> Chlamydia trachomatis</em>.***For the treatment of pneumonia caused by <em>Chlamydia trachomatis</em> in neonates and infants.***For the adjunctive treatment of diphtheria to prevent establishment of carrier state and for <em>Corynebacterium diphtheriae</em> bacterial colonization eradication.***For the treatment of close contacts of patients with diphtheria (i.e., diphtheria prophylaxis�).***For the treatment of acute pelvic inflammatory disease (PID).***For acute pelvic inflammatory disease (PID) caused by <em>Neisseria gonorrhoeae</em>.***For the treatment of pertussis (whooping cough) caused by <em>Bordetella pertussis</em> or for postexposure pertussis prophylaxis. <br />  NOTE: For postexposure prophylaxis, administer to close contacts within 3 weeks of exposure, especially in high-risk patients (e.g., women in third trimester, infants &lt; 12 months).<br /***For the treatment of primary syphilis (caused by <em>Treponema pallidum</em>) in penicillin-allergic, nonpregnant patients.***For bowel preparation in combination with neomycin in patients undergoing colorectal surgery.***For the treatment of superficial ophthalmic infection involving the conjunctiva and/or cornea.***For the treatment of chancroid� due to <em>Haemophilus ducreyi</em>.***For the treatment of disseminated gonorrhea�. <br />  NOTE: Erythromycin is not recommended in adults, adolescents, or children 8 years and older or in patients weighing 45 kg or more due to resistance of N. gonorrheae against erythromycin in the United States. Single-dose azithromycin in combination with ceftriaxone is the preferred therapy in these populations. <br /***For the facilitation of gastric emptying in patients with delayed gastrointestinal motility  (e.g., gastroparesis�).***For the treatment of idiopathic or postsurgical gastroparesis� or diabetic gastroparesis�.***For the facilitation of gastric emptying� in patients with feeding intolerance�.***For the treatment of early Lyme disease�.***For the treatment of skin and skin structure infections including impetigo and burn wound infection�.***For the treatment of erythrasma (caused by <em>Corynebacterium minutissimum</em>).***For the treatment of tetanus� (caused by <em>Clostridium tetani</em>) when penicillin or tetracycline is contraindicated or not tolerated.***For the treatment of granuloma inguinale� (Donovanosis) caused by <em>Klebsiella granulomatis</em>.***For the treatment of cholera�.***For the treatment of bartonellosis� (<em>Bartonella bacilliformis)</em> and other <em>Bartonella sp.</em>� infections in HIV-infected patients.***For the treatment of angiomatosis infections�, peliosis hepatis�, bacteremia�, and osteomyelitis� caused by <em>Bartonella sp.</em>�.***For long term suppression� of infections caused by <em>Bartonella sp.</em>� in HIV-infected patients with relapse or reinfections with < 200 CD4 cells/mm3.***For pneumococcal prophylaxis� in penicillin-allergic patients with sickle cell disease�.***For the treatment of infantile acne�.***For the oral treatment of infantile acne.***For the topical treatment of infantile acne.***Formoterol***Formoterol; Mometasone","***General Information***Viral infection***Macrolide hypersensitivity***Hepatic disease***Colitis, diarrhea, GI disease, inflammatory bowel disease, pseudomembranous colitis, ulcerative colitis***Pregnancy***Breast-feeding***Hearing impairment***Benzyl alcohol hypersensitivity, neonates***Alcoholism, bradycardia, cardiac arrhythmias, cardiac disease, coronary artery disease, diabetes mellitus, females, heart failure, hypertension, hypocalcemia, hypokalemia, hypomagnesemia, malnutrition, myocardial infarction, QT prolongation, thyroid disease***Seizure disorder***Myasthenia gravis***Sexually transmitted disease***Geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['3446'],succimer,***For the treatment of lead toxicity secondary to serum lead concentrations > 45 mcg/dl. <br />        NOTE: Succimer is not indicated for the prophylaxis of lead toxicity in a lead-containing environment. The use of succimer should always be accompanied by an identification and removal of the source of lead exposure. Identification of the lead source and its abatement are critical to a successful therapy outcome.<br />     ,"***General Information***Neutropenia***Dehydration, dialysis, hypovolemia, renal failure, renal impairment***Hepatic disease***Pregnancy***Breast-feeding***Infants, neonates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,quinapril hydrochloride,***For the treatment of hypertension.***For the treatment of heart failure.,"***ACE-inhibitor induced angioedema, angioedema, Angiotensin-converting enzyme inhibitors (ACE inhibitors) hypersensitivity, Black patients, hereditary angioedema***Geriatric***Autoimmune disease, bone marrow suppression, collagen-vascular disease, immunosuppression, renal artery stenosis, renal disease, renal failure, renal impairment, scleroderma, systemic lupus erythematosus (SLE)***Hepatic disease***Hyperkalemia***Dialysis, hymenoptera venom (insect sting) allergy desensitization, low-density lipoprotein apheresis***Aortic stenosis, cardiomyopathy, cerebrovascular disease, coronary artery disease, heart failure, hyponatremia, hypotension, hypovolemia***Pregnancy***Breast-feeding***Children",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['61381'],olanzapine,"***For the treatment of schizophrenia.***For use  in combination with fluoxetine for treatment-resistant depression.***For the treatment of bipolar disorder (bipolar I disorder), including mania or mixed episodes.***For the treatment of acute agitation associated with schizophrenia or bipolar mania.***For the adjunct treatment of depressive episodes associated with bipolar I disorder (bipolar depression) in combination with fluoxetine.***For the treatment of severe behavioral or psychological symptoms of dementia� (BPSD)�.***Formoterol***Formoterol; Mometasone","***Risk of serious hypersensitivity reactions or anaphylaxis, serious rash***Agranulocytosis, hematological disease, leukopenia, neutropenia***CNS depression, coadministration with other CNS depressants, coma, driving or operating machinery, ethanol ingestion, post-injection delirium/sedation syndrome***Seizure disorder, seizures***Suicidal ideation***Tardive dyskinesia***Alcoholism, bradycardia, cardiac arrhythmias, cardiac disease, cerebrovascular disease, coronary artery disease, females, heart failure, hypertension, hypocalcemia, hypokalemia, hypomagnesemia, hypovolemia, long QT syndrome, malnutrition, myocardial infarction, orthostatic hypotension, QT prolongation, thyroid disease***Hepatic disease***Anticholinergic medications, closed-angle glaucoma, ileus, prostatic hypertrophy, urinary retention***Ambient temperature increase, dehydration, hyperthermia, hypothermia, strenuous exercise***Hypercholesterolemia, hyperlipidemia, hypertriglyceridemia, obesity***Diabetes mellitus, diabetic ketoacidosis, hyperglycemia***Dysphagia***Neurological disease, Parkinson's disease***Dementia, geriatric, stroke***Breast cancer, hyperprolactinemia, infertility***Neonates, pregnancy, pregnancy testing***Breast-feeding***Tobacco smoking***Asian patients***Abrupt discontinuation***Children, infants***Phenylketonuria***Intravenous administration, subcutaneous administration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,influenza vaccine,***For annual seasonal influenza prophylaxis.,"***General Information***Intravenous administration, subcutaneous administration***Fever, respiratory infection***Egg hypersensitivity, kanamycin hypersensitivity, latex hypersensitivity, neomycin hypersensitivity***Guillain-Barre syndrome***Geriatric***Children, infants***Pregnancy***Breast-feeding***Anticoagulant therapy, coagulopathy, hemophilia, thrombocytopenia, vitamin K deficiency***Acquired immunodeficiency syndrome (AIDS), agammaglobulinemia, human immunodeficiency virus (HIV) infection, hypogammaglobulinemia, immunosuppression, neoplastic disease, radiation therapy, severe combined immunodeficiency (SCID)***Syncope",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['28889']['8896'],loratadine/pseudoephedrine sulfate,"***For the temporary relief of symptoms due to seasonal allergic rhinitis or the common cold, including sneezing, rhinorrhea, itching of the nose or throat, nasal congestion, and itchy, watery eyes.***Formoterol***Formoterol; Mometasone","***MAOI therapy***Hepatic disease***Driving or operating machinery***Renal disease, renal failure, renal impairment***Dysphagia, GI obstruction***Closed-angle glaucoma, diabetes mellitus, hyperthyroidism, prostatic hypertrophy, urinary retention***Acute myocardial infarction, angina, cardiac arrhythmias, cardiac disease, cardiomyopathy, coronary artery disease, heart failure, hypertension, tachycardia***Children, infants***Pregnancy***Breast-feeding***Geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,metoprolol tartrate,"***For the treatment of angina pectoris.***For chronic stable angina.***For unstable angina�.***For the treatment of heart failure, including idiopathic dilated cardiomyopathy.***For the treatment of heart failure in pediatric patients� (ischemic origin or cardiomyopathy) usually in conjunction with digoxin, diuretics, or ACE inhibitor therapy.***For the treatment of hypertension, either alone or in combination with other antihypertensive agents.***For the treatment of an evolving acute myocardial infarction, STEMI and for reduction of cardiovascular mortality in stable patients who have sustained a definite or suspected acute myocardial infarction.***For heart rate control in patients with atrial fibrillation� or atrial flutter� without accessory pathway.***For heart rate control in an acute setting�.***For heart rate control in a non-acute setting and chronic maintenance therapy� (metoprolol tartrate).***For heart rate control in a non-acute setting and chronic maintenance therapy� (metoprolol succinate).***For the treatment of tremor�.***For the treatment of essential tremor�.***For the treatment of lithium-induced tremor�.***For migraine prophylaxis�.","***Abrupt discontinuation***Hyperthyroidism, thyroid disease, thyrotoxicosis***Acute heart failure, AV block, bradycardia, cardiogenic shock, hypotension, pulmonary edema, sick sinus syndrome, ventricular dysfunction***Cerebrovascular disease***Diabetes mellitus***Acute bronchospasm, asthma, bronchitis, chronic obstructive pulmonary disease (COPD), emphysema, pulmonary disease***Driving or operating machinery***Surgery***Hepatic disease***Pregnancy***Breast-feeding***Peripheral vascular disease, Raynaud's phenomenon, vasospastic angina***Pheochromocytoma***Depression***Psoriasis***Myasthenia gravis***Geriatric***Beta-blocker hypersensitivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ethinyl estradiol/norgestrel,"***For routine contraception.***For use as postcoital contraception� within 72 hours of unprotected intercourse, or known or suspected contraceptive failure, in females who have no known contraindications to oral contraceptives, have achieved menarche, and are not known or suspected to be pregnant.***For the treatment of severe acne vulgaris� related to sebum overproduction in females who have no known contraindications to oral contraceptives, desire contraception, have achieved menarche, and are unresponsive to topical anti-acne medications.***For the treatment or adjuvant treatment of amenorrhea�, abnormal uterine bleeding� (dysfunctional uterine bleeding�), hirsutism�, hypermenorrhea�, or polycystic ovary syndrome� related to hypoestrogenic or hyperandrogenic conditions in females who have no known contraindications to oral contraceptives, desire contraception, have achieved menarche, and have been evaluated for causes of the condition.***For the treatment of endometriosis� to induce endometrial involution to a 'resting' phase and reduce the size and growth of endometrial tissue in females with no contraindications to hormonal contraceptives, have achieved menarche and who desire contraception.***Formoterol; Mometasone","***Acquired immunodeficiency syndrome (AIDS), human immunodeficiency virus (HIV) infection***Pregnancy***Cholestasis, gallbladder disease, hepatic disease, hepatitis, hepatocellular cancer, jaundice, porphyria***Breast-feeding, obstetric delivery***Obesity***Diabetes mellitus***Hyperlipidemia, hypertriglyceridemia***Atrial fibrillation, cerebrovascular disease, coronary artery disease, coronary thrombosis, endocarditis, hypercholesterolemia, myocardial infarction, protein C deficiency, protein S deficiency, renal disease, stroke, thromboembolic disease, thromboembolism, thrombophlebitis, tobacco smoking, valvular heart disease***Systemic lupus erythematosus (SLE)***Surgery***Hypertension***Headache, migraine***Depression***Contact lenses, glaucoma, visual disturbance***Children***Breast cancer***Hypercalcemia***Cervical cancer***Endometrial cancer, ovarian cancer, uterine cancer, vaginal bleeding, vaginal cancer***Hypothyroidism, thyroid disease***Chloasma***Angioedema, hereditary angioedema",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,terbinafine hydrochloride,"***For the treatment of tinea pedis.***For the treatment of tinea cruris or tinea corporis.***For the treatment of tinea capitis.***For the treatment of tinea versicolor due to <em>Malassezia furfur</em>.***For the treatment of onychomycosis.***For the routine treatment of onychomycosis (tinea unguium).***For the treatment of onychomycosis due to <em>Candida parapsilosis�</em>.***For the treatment of refractory bronchopulmonary aspergillosis� due to various <em>Aspergillus</em> sp.�, including <em>Aspergillus fumigatus�</em>, in non-immunocompromised patients.","***General Information***Onychomycosis***Human immunodeficiency virus (HIV) infection, immunosuppression, neutropenia***Pregnancy***Breast-feeding***Anxiety, children, depression, insomnia, suicidal ideation***Hepatic disease, hepatitis, jaundice***Renal failure, renal impairment***Serious rash***Hemolytic-uremic syndrome, thrombotic thrombocytopenic purpura (TTP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['83947'],tazarotene,"***For the treatment of stable plaque psoriasis. <br />  NOTE: According to the American Academy of Dermatology (AAD), tazarotene is best used in combination with a topical corticosteroid for the treatment of psoriasis. Combination therapy may produce a synergistic effect, increase duration of treatment benefit and length of remission, and potentially decrease steroid-induced atrophy.<br /***For the topical treatment of acne vulgaris.***For adjunctive treatment of fine facial wrinkles and facial mottled hyperpigmentation (i.e., 'liver spots') and hypopigmentation associated with photoaging.","***General Information***Pregnancy***Breast-feeding***Children, infants, neonates***Eczema***Retinoid hypersensitivity***Benzyl alcohol hypersensitivity***Skin cancer, skin photosensitivity disorder, sunburn, sunlight (UV) exposure***Accidental exposure, occlusive dressing, ocular exposure***Contraception requirements, females, pregnancy testing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,benzyl alcohol,***For the topical treatment of pediculosis capitis (head lice infestation) due to <em>Pediculus capitis</em>.,"***Benzyl alcohol hypersensitivity, ocular exposure***Geriatric***Infants, neonates, premature neonates***Pregnancy***Breast-feeding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deferoxamine mesylate,"***For the treatment iron toxicity.***For adjunctive therapy in acute iron toxicity. <br />          NOTE: The most reliable indication for deferoxamine discontinuation is resolution of the signs and symptoms of iron toxicity. In addition, serum iron concentrations should no longer be elevated, usually &lt; 100 mcg/dL. However, it may be difficult to assess accurate iron concentrations in the presence of deferoxamine as they may be falsely low.  In those patients that develop a vin-rose colored urine after the initiation of deferoxamine treatment, the urine should return to a normal color before the drug is discontinued. However, not all patients exhibit a change in urine color, or the urine may be dark and concentrated before deferoxamine initiation secondary to dehydration. If the urine does not change color with deferoxamine treatment, absence of color should not be used to determine length of therapy. <br />       ***For the treatment of chronic iron overload secondary to transfusional iron overload (e.g., in patients with chronic anemias requiring multiple RBC transfusions such as thalassemia and sickle cell anemia). <br />          NOTE: Deferoxamine is not approved for chronic iron overload in patients with primary hemochromatosis; phlebotomy is the treatment of choice for this condition.<br />NOTE: In general, the subcutaneous route of administration appears to be preferred for chronic iron overload.***For the treatment of aluminum toxicity�.","***Intravenous administration, shock***Hemochromatosis***Anuria, renal disease, renal failure***Pyelonephritis***Infection***Geriatric, hearing impairment, ocular disease, visual disturbance***Driving or operating machinery***Heart failure***Children, growth inhibition, infants***Radiographic contrast administration***Pregnancy***Breast-feeding***Hepatic disease",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,flurazepam hydrochloride,"***For the short-term treatment of insomnia characterized by difficulty in falling asleep, frequent nocturnal awakenings, and/or early morning awakenings.***For the short-term treatment of anxiety�.","***General Information***Benzodiazepine hypersensitivity***Bipolar disorder, depression, mania, myasthenia gravis, Parkinson's disease, psychosis, suicidal ideation***Pain***Alcoholism, driving or operating machinery, ethanol ingestion, ethanol intoxication***Asthma, bronchitis, chronic obstructive pulmonary disease (COPD), CNS depression, coadministration with other CNS depressants, coma, pulmonary disease, respiratory depression, shock, sleep apnea***Abrupt discontinuation, benzodiazepine dependence, seizure disorder, seizures, status epilepticus, substance abuse***Closed-angle glaucoma***Porphyria***Neonates, obstetric delivery, pregnancy***Breast-feeding***Hepatic disease***Renal failure, renal impairment***Dementia, geriatric***Children, infants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,vincristine sulfate liposome,***For the treatment of Philadelphia chromosome-negative acute lymphocytic leukemia (ALL) in second or greater relapse or that has progressed after 2 or more anti-leukemia therapies. <br />  NOTE: Vincristine sulfate liposome (Marqibo) has a different dosage than vincristine sulfate; verify drug name and dose prior to administration.<br />NOTE: FDA approval of vincristine sulfate liposome was based on response rate***Formoterol; Mometasone,"***General Information***Intrathecal administration***Neurological disease, peripheral neuropathy***Hepatic disease***Vaccination***Anemia, neutropenia, thrombocytopenia***Tumor lysis syndrome (TLS)***Constipation, GI obstruction, ileus***Ensure correct formulation selection***Pregnancy***Breast-feeding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['10323'],sterile talc,"***For the treatment of recurrent malignant pleural effusion in symptomatic patients. <br />  NOTE: Talc, magnesium silicate is not an antineoplastic agent and should not be used for potentially curable malignancies in which systemic therapy would be more appropriate.<br />NOTE: Administer talc, magnesium silicate after adequate drainage of the effusion. Pleurodesis success is related to complete drainage of pleural fluid and full reexpansion of the lung, both of which promote symphysis of the pleural surfaces.","***General Information***Children, infants, neonates***Pregnancy***Breast-feeding***Intravenous administration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Isordil Oral Tit,***For the prevention or treatment of angina pectoris due to coronary artery disease.***For long-term prevention of angina pectoris.***For the prevention of effort-induced or stress-induced angina.***For the treatment of acute episodes of angina.***For the treatment of congestive heart failure� due to systolic dysfunction.***For the treatment of diffuse esophageal spasm� without gastroesophageal reflux.***For the treatment of achalasia�.,"***General Information***Hypotension, hypovolemia, orthostatic hypotension, syncope***Geriatric***Cardiomyopathy, myocardial infarction***Head trauma, increased intracranial pressure, intracranial bleeding***Nitrate hypersensitivity***Closed-angle glaucoma***Anemia***Hepatic disease***GI disease***Abrupt discontinuation***Pregnancy***Breast-feeding***Children",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['28889'],loratadine,"***For the relief of symptoms associated with seasonal or perennial allergic rhinitis, and for management of chronic idiopathic urticaria or other histamine-mediated allergic symptoms (e.g., hives, pruritus).***For adjunctive exercise-induced bronchospasm prophylaxis� in patients with allergies.","***General Information***Asthma***Phenylketonuria***Driving or operating machinery***Hepatic disease***Renal failure, renal impairment***Pregnancy***Breast-feeding***Children, infants, neonates***Geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['81864'],alitretinoin,***For the treatment of cutaneous lesions in patients with AIDS-related Kaposi's sarcoma. <br />        NOTE: Alitretinoin has been designated an orphan drug by the FDA for this indication.<br />     ,"***Pregnancy***Breast-feeding***Children, geriatric***Sunlight (UV) exposure***Occlusive dressing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['1895'],fenoprofen calcium,"***For the treatment of rheumatoid arthritis.***For the treatment of osteoarthritis or ankylosing spondylitis�.***For migraine prophylaxis�.***For the treatment of arthralgia, myalgia, mild pain to moderate pain associated with nonrheumatic inflammatory conditions, bone pain�, dental pain�, or migraine� or other vascular headache�.***For the treatment of acute gouty arthritis�.***For the management of fever�.***Formoterol; Mometasone","***Acute bronchospasm, asthma, nasal polyps, NSAID hypersensitivity, salicylate hypersensitivity, urticaria***Alcoholism, anticoagulant therapy, chemotherapy, corticosteroid therapy, GI bleeding, GI disease, GI perforation, peptic ulcer disease, tobacco smoking, ulcerative colitis***Hepatic disease, jaundice***Diabetes mellitus, edema, heart failure, hypertension, renal disease, renal failure, renal impairment, rheumatoid arthritis, systemic lupus erythematosus (SLE)***Acute myocardial infarction, angina, cardiac arrhythmias, cardiac disease, cardiomyopathy, cerebrovascular disease, coronary artery disease, myocardial infarction, peripheral vascular disease, stroke, tachycardia, thromboembolism***Bone marrow suppression, coagulopathy, hematological disease, hemophilia, immunosuppression, neutropenia, surgery, thrombocytopenia***Anemia***Intramuscular injections***Dental disease, dental work***Labor, obstetric delivery, pregnancy***Breast-feeding***Coronary artery bypass graft surgery (CABG)***Geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
