"DrugClass_DrugClass_name","DrugClass_DrugClass_drugNames_name","DrugClass_DrugClass_drugNames_generic"
"ophthalmic lubricants and irrigations","Artificial Tears","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Balanced Salt Solution","generic name: ophthalmic irrigation, intraocular"
"ophthalmic lubricants and irrigations","Bion Tears","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","BSS","generic name: ophthalmic irrigation, intraocular"
"ophthalmic lubricants and irrigations","BSS Plus","generic name: ophthalmic irrigation, intraocular"
"ophthalmic lubricants and irrigations","Celluvisc","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Endosol Extra","generic name: ophthalmic irrigation, intraocular"
"ophthalmic lubricants and irrigations","GenTeal PM","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Gonak Hypromellose","generic name: hydroxypropyl methylcellulose"
"ophthalmic lubricants and irrigations","Goniosoft","generic name: hydroxypropyl methylcellulose"
"ophthalmic lubricants and irrigations","Goniosol","generic name: hydroxypropyl methylcellulose"
"ophthalmic lubricants and irrigations","Goniotaire","generic name: hydroxypropyl methylcellulose"
"ophthalmic lubricants and irrigations","Goniovisc","generic name: hydroxypropyl methylcellulose"
"ophthalmic lubricants and irrigations","ImproVue","generic name: hydroxypropyl methylcellulose"
"ophthalmic lubricants and irrigations","Isopto Tears","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Liquitears","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Lubrifresh PM","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Moisture Drops","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Moisture Eyes","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Murine Tears","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Navstel","generic name: ophthalmic irrigation, intraocular"
"ophthalmic lubricants and irrigations","OcuCoat","generic name: hydroxypropyl methylcellulose"
"ophthalmic lubricants and irrigations","Opti-Free Rewetting Drops","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Puralube","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Refresh","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Refresh Celluvisc","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Refresh Lacri-Lube","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Refresh Optive","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Refresh Optive Advanced","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Refresh Optive Mega-3","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Refresh Plus","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Soothe","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Soothe XP","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Sterilube","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Tears Again Night & Day","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Tears Naturale Forte","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Tears Naturale II","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Tears Naturale PM","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Ultra Fresh","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Ultra Fresh PM","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Visine Tears","generic name: ocular lubricant"
"ophthalmic lubricants and irrigations","Viva-Drops","generic name: ocular lubricant"
"ophthalmic preparations","",""
"ophthalmic steroids","Iluvien","generic name: fluocinolone"
"ophthalmic steroids","Retisert","generic name: fluocinolone"
"ophthalmic steroids","Ozurdex","generic name: dexamethasone"
"ophthalmic steroids","FML Forte Liquifilm","generic name: fluorometholone"
"ophthalmic steroids","Lotemax","generic name: loteprednol"
"ophthalmic steroids","Alrex","generic name: loteprednol"
"ophthalmic steroids","Maxidex","generic name: dexamethasone"
"ophthalmic steroids","Durezol","generic name: difluprednate"
"ophthalmic steroids","AK-Pred","generic name: prednisolone"
"ophthalmic steroids","Econopred","generic name: prednisolone"
"ophthalmic steroids","Econopred Plus","generic name: prednisolone"
"ophthalmic steroids","Flarex","generic name: fluorometholone"
"ophthalmic steroids","Fluor-Op","generic name: fluorometholone"
"ophthalmic steroids","FML","generic name: fluorometholone"
"ophthalmic steroids","FML Liquifilm","generic name: fluorometholone"
"ophthalmic steroids","FML S.O.P.","generic name: fluorometholone"
"ophthalmic steroids","HMS","generic name: medrysone"
"ophthalmic steroids","Inflamase Forte","generic name: prednisolone"
"ophthalmic steroids","Ocu-Dex","generic name: dexamethasone"
"ophthalmic steroids","Ocu-Pred","generic name: prednisolone"
"ophthalmic steroids","Ocu-Pred-A","generic name: prednisolone"
"ophthalmic steroids","Omnipred","generic name: prednisolone"
"ophthalmic steroids","Pred Forte","generic name: prednisolone"
"ophthalmic steroids","Pred Mild","generic name: prednisolone"
"ophthalmic steroids","Prednisol","generic name: prednisolone"
"ophthalmic steroids","Triesence","generic name: triamcinolone"
"ophthalmic steroids","Trivaris","generic name: triamcinolone"
"ophthalmic steroids","Vexol","generic name: rimexolone"
"ophthalmic steroids with anti-infectives","Zylet","generic name: loteprednol/tobramycin"
"ophthalmic steroids with anti-infectives","TobraDex","generic name: dexamethasone/tobramycin"
"ophthalmic steroids with anti-infectives","Blephamide","generic name: prednisolone/sulfacetamide sodium"
"ophthalmic steroids with anti-infectives","Neo-Poly-Dex","generic name: dexamethasone/neomycin/polymyxin b"
"ophthalmic steroids with anti-infectives","Maxitrol","generic name: dexamethasone/neomycin/polymyxin b"
"ophthalmic steroids with anti-infectives","Blephamide S.O.P.","generic name: prednisolone/sulfacetamide sodium"
"ophthalmic steroids with anti-infectives","Cortisporin Ophthalmic Suspension","generic name: hydrocortisone/neomycin/polymyxin b"
"ophthalmic steroids with anti-infectives","Cortomycin Eye Ointment","generic name: bacitracin/hydrocortisone/neomycin/polymyxin b"
"ophthalmic steroids with anti-infectives","FML-S","generic name: fluorometholone/sulfacetamide sodium"
"ophthalmic steroids with anti-infectives","Neo-Poly-Bac","generic name: bacitracin/hydrocortisone/neomycin/polymyxin b"
"ophthalmic steroids with anti-infectives","Neo-Polycin HC","generic name: bacitracin/hydrocortisone/neomycin/polymyxin b"
"ophthalmic steroids with anti-infectives","NPD Ophthalmic Ointment","generic name: dexamethasone/neomycin/polymyxin b"
"ophthalmic steroids with anti-infectives","Ocu-Cort","generic name: bacitracin/hydrocortisone/neomycin/polymyxin b"
"ophthalmic steroids with anti-infectives","Ocu-Lone C","generic name: prednisolone/sulfacetamide sodium"
"ophthalmic steroids with anti-infectives","Ocu-Trol","generic name: dexamethasone/neomycin/polymyxin b"
"ophthalmic steroids with anti-infectives","Poly-Dex","generic name: dexamethasone/neomycin/polymyxin b"
"ophthalmic steroids with anti-infectives","Poly Pred","generic name: neomycin/polymyxin b/prednisolone"
"ophthalmic steroids with anti-infectives","Pred-G","generic name: gentamicin/prednisolone"
"ophthalmic steroids with anti-infectives","Pred-G S.O.P.","generic name: gentamicin/prednisolone"
"ophthalmic steroids with anti-infectives","Tobradex ST","generic name: dexamethasone/tobramycin"
"ophthalmic steroids with anti-infectives","Triple Antibiotic HC Ophthalmic Ointment","generic name: bacitracin/hydrocortisone/neomycin/polymyxin b"
"ophthalmic steroids with anti-infectives","Vasocidin","generic name: prednisolone/sulfacetamide sodium"
"ophthalmic surgical agents","Amvisc","generic name: sodium hyaluronate"
"ophthalmic surgical agents","Amvisc Plus","generic name: sodium hyaluronate"
"ophthalmic surgical agents","DisCoVisc","generic name: sodium chondroitin sulfate/sodium hyaluronate"
"ophthalmic surgical agents","Omidria","generic name: ketorolac/phenylephrine"
"ophthalmic surgical agents","Provisc","generic name: sodium hyaluronate"
"ophthalmic surgical agents","Viscoat","generic name: sodium chondroitin sulfate/sodium hyaluronate"
"oral nutritional supplements","Potaba","generic name: potassium aminobenzoate"
"oral nutritional supplements","L-Arginine","generic name: arginine"
"oral nutritional supplements","MCT","generic name: medium chain triglycerides"
"oral nutritional supplements","L-Tyrosine","generic name: tyrosine"
"oral nutritional supplements","Microlipid","generic name: fat supplement"
"oral nutritional supplements","R-Gene 10","generic name: arginine"
"other immunostimulants","Copaxone","generic name: glatiramer"
"other immunostimulants","Adagen","generic name: pegademase bovine"
"other immunostimulants","Mozobil","generic name: plerixafor"
"other immunosuppressants","Pomalyst","generic name: pomalidomide"
"other immunosuppressants","Otrexup","generic name: methotrexate"
"other immunosuppressants","Xolair","generic name: omalizumab"
"other immunosuppressants","Azasan","generic name: azathioprine"
"other immunosuppressants","Revlimid","generic name: lenalidomide"
"other immunosuppressants","Imuran","generic name: azathioprine"
"other immunosuppressants","Trexall","generic name: methotrexate"
"other immunosuppressants","Rheumatrex Dose Pack","generic name: methotrexate"
"other immunosuppressants","Rasuvo","generic name: methotrexate"
"other immunosuppressants","Thalomid","generic name: thalidomide"
"other immunosuppressants","Xatmep","generic name: methotrexate"
"otic anesthetics","A / B Otic","generic name: antipyrine/benzocaine"
"otic anesthetics","Americaine Otic","generic name: benzocaine"
"otic anesthetics","Aurax","generic name: antipyrine/benzocaine"
"otic anesthetics","Aurodex","generic name: antipyrine/benzocaine"
"otic anesthetics","Auroto","generic name: antipyrine/benzocaine"
"otic anesthetics","Benzotic","generic name: benzocaine"
"otic anesthetics","Chlorphenylcaine","generic name: antipyrine/benzocaine/phenylephrine"
"otic anesthetics","Dolotic","generic name: antipyrine/benzocaine"
"otic anesthetics","Neotic","generic name: antipyrine/benzocaine/zinc acetate"
"otic anesthetics","Otic Edge","generic name: acetic acid/antipyrine/benzocaine/polycosanol"
"otic anesthetics","Oticin","generic name: chloroxylenol/pramoxine"
"otic anesthetics","Otocain","generic name: benzocaine"
"otic anesthetics","Otozin","generic name: antipyrine/benzocaine/zinc acetate"
"otic anesthetics","Pinnacaine","generic name: benzocaine"
"otic anesthetics","Pramotic","generic name: chloroxylenol/pramoxine"
"otic anesthetics","Uni-Otic","generic name: chloroxylenol/pramoxine"
"otic anti-infectives","Borofair","generic name: acetic acid/aluminum acetate"
"otic anti-infectives","Cetraxal","generic name: ciprofloxacin"
"otic anti-infectives","Cresylate","generic name: m-cresyl acetate"
"otic anti-infectives","Floxin Otic","generic name: ofloxacin"
"otic anti-infectives","Otiprio","generic name: ciprofloxacin"
"otic anti-infectives","Star-Otic","generic name: acetic acid/aluminum acetate"
"otic anti-infectives","Vosol","generic name: acetic acid"
"otic preparations","",""
"otic steroids","DermOtic Oil","generic name: fluocinolone"
"otic steroids with anti-infectives","Vosol HC","generic name: acetic acid/hydrocortisone"
"otic steroids with anti-infectives","Exotic-HC","generic name: chloroxylenol/hydrocortisone/pramoxine"
"otic steroids with anti-infectives","Ciprodex","generic name: ciprofloxacin/dexamethasone"
"otic steroids with anti-infectives","Cortisporin Otic","generic name: hydrocortisone/neomycin/polymyxin b"
"otic steroids with anti-infectives","Acetasol HC","generic name: acetic acid/hydrocortisone"
"otic steroids with anti-infectives","Aero Otic HC","generic name: chloroxylenol/hydrocortisone/pramoxine"
"otic steroids with anti-infectives","Casporyn HC","generic name: hydrocortisone/neomycin/polymyxin b"
"otic steroids with anti-infectives","Cipro HC","generic name: ciprofloxacin/hydrocortisone"
"otic steroids with anti-infectives","Coly-Mycin S","generic name: colistin sulfate/hydrocortisone/neomycin/thonzonium bromide"
"otic steroids with anti-infectives","Cort-Biotic","generic name: hydrocortisone/neomycin/polymyxin b"
"otic steroids with anti-infectives","Cortane-B","generic name: chloroxylenol/hydrocortisone/pramoxine"
"otic steroids with anti-infectives","Cortic-ND","generic name: chloroxylenol/hydrocortisone/pramoxine"
"otic steroids with anti-infectives","Cortisporin-TC","generic name: colistin sulfate/hydrocortisone/neomycin/thonzonium bromide"
"otic steroids with anti-infectives","Cortomycin","generic name: hydrocortisone/neomycin/polymyxin b"
"otic steroids with anti-infectives","Cyotic","generic name: chloroxylenol/hydrocortisone/pramoxine"
"otic steroids with anti-infectives","MyOxin","generic name: benzocaine/chloroxylenol/hydrocortisone"
"otic steroids with anti-infectives","Oti-Sone","generic name: hydrocortisone/neomycin/polymyxin b"
"otic steroids with anti-infectives","Otirx","generic name: chloroxylenol/hydrocortisone/pramoxine"
"otic steroids with anti-infectives","Oto-End","generic name: chloroxylenol/hydrocortisone/pramoxine"
"otic steroids with anti-infectives","Otovel","generic name: ciprofloxacin/fluocinolone"
"otic steroids with anti-infectives","Pediotic","generic name: hydrocortisone/neomycin/polymyxin b"
"otic steroids with anti-infectives","Pramox-HC","generic name: chloroxylenol/hydrocortisone/pramoxine"
"otic steroids with anti-infectives","Trioxin","generic name: benzocaine/chloroxylenol/hydrocortisone"
"oxazolidinedione anticonvulsants","Tridione","generic name: trimethadione"
"oxazolidinone antibiotics","Zyvox","generic name: linezolid"
"oxazolidinone antibiotics","Sivextro","generic name: tedizolid"
"parathyroid hormone and analogs","Natpara","generic name: parathyroid hormone"
"parathyroid hormone and analogs","Forteo","generic name: teriparatide"
"parathyroid hormone and analogs","Tymlos","generic name: abaloparatide"
"PARP inhibitors","Zejula","generic name: niraparib"
"PARP inhibitors","Lynparza","generic name: olaparib"
"PARP inhibitors","Rubraca","generic name: rucaparib"
"PCSK9 inhibitors","Praluent","generic name: alirocumab"
"PCSK9 inhibitors","Repatha Pushtronex","generic name: evolocumab"
"PCSK9 inhibitors","Repatha","generic name: evolocumab"
"penicillinase resistant penicillins","Bactocill","generic name: oxacillin"
"penicillinase resistant penicillins","Dycill","generic name: dicloxacillin"
"penicillinase resistant penicillins","Dynapen","generic name: dicloxacillin"
"penicillinase resistant penicillins","Unipen","generic name: nafcillin"
"penicillins","",""
"peripheral opioid receptor antagonists","Relistor","generic name: methylnaltrexone"
"peripheral opioid receptor antagonists","Symproic","generic name: naldemedine"
"peripheral opioid receptor antagonists","Movantik","generic name: naloxegol"
"peripheral opioid receptor antagonists","Entereg","generic name: alvimopan"
"peripheral opioid receptor mixed agonists/antagonists","Viberzi","generic name: eluxadoline"
"peripheral vasodilators","Vasodilan","generic name: isoxsuprine"
"peripheral vasodilators","Papacon","generic name: papaverine"
"peripheral vasodilators","Para-Time S. R.","generic name: papaverine"
"peripheral vasodilators","Pavacot","generic name: papaverine"
"peripherally acting antiobesity agents","Xenical","generic name: orlistat"
"peripherally acting antiobesity agents","Alli","generic name: orlistat"
"phenothiazine antiemetics","Compro","generic name: prochlorperazine"
"phenothiazine antiemetics","Promethegan","generic name: promethazine"
"phenothiazine antiemetics","Phenergan","generic name: promethazine"
"phenothiazine antiemetics","Antinaus 50","generic name: promethazine"
"phenothiazine antiemetics","Thorazine","generic name: chlorpromazine"
"phenothiazine antiemetics","Phenadoz","generic name: promethazine"
"phenothiazine antiemetics","Trilafon","generic name: perphenazine"
"phenothiazine antiemetics","Compazine","generic name: prochlorperazine"
"phenothiazine antiemetics","Torecan","generic name: thiethylperazine"
"phenothiazine antipsychotics","Compro","generic name: prochlorperazine"
"phenothiazine antipsychotics","Thorazine","generic name: chlorpromazine"
"phenothiazine antipsychotics","Prolixin","generic name: fluphenazine"
"phenothiazine antipsychotics","Stelazine","generic name: trifluoperazine"
"phenothiazine antipsychotics","Trilafon","generic name: perphenazine"
"phenothiazine antipsychotics","Mellaril","generic name: thioridazine"
"phenothiazine antipsychotics","Compazine","generic name: prochlorperazine"
"phenothiazine antipsychotics","Prolixin Decanoate","generic name: fluphenazine"
"phenothiazine antipsychotics","Permitil","generic name: fluphenazine"
"phenothiazine antipsychotics","Serentil","generic name: mesoridazine"
"phenylpiperazine antidepressants","Serzone","generic name: nefazodone"
"phenylpiperazine antidepressants","Desyrel Dividose","generic name: trazodone"
"phenylpiperazine antidepressants","Oleptro","generic name: trazodone"
"phenylpiperazine antidepressants","Desyrel","generic name: trazodone"
"phosphate binders","PhosLo","generic name: calcium acetate"
"phosphate binders","Renagel","generic name: sevelamer"
"phosphate binders","Auryxia","generic name: ferric citrate"
"phosphate binders","Fosrenol","generic name: lanthanum carbonate"
"phosphate binders","Renvela","generic name: sevelamer"
"phosphate binders","Velphoro","generic name: sucroferric oxyhydroxide"
"phosphate binders","Amphojel","generic name: aluminum hydroxide"
"phosphate binders","Calphron","generic name: calcium acetate"
"phosphate binders","Eliphos","generic name: calcium acetate"
"phosphate binders","PhosLo Gelcap","generic name: calcium acetate"
"phosphate binders","Phoslyra","generic name: calcium acetate"
"PI3K inhibitors","Aliqopa","generic name: copanlisib"
"PI3K inhibitors","Zydelig","generic name: idelalisib"
"plasma expanders","Albuked","generic name: albumin human"
"plasma expanders","Albuked 5","generic name: albumin human"
"plasma expanders","Albuked 25","generic name: albumin human"
"plasma expanders","Albumin-ZLB","generic name: albumin human"
"plasma expanders","Albuminar-5","generic name: albumin human"
"plasma expanders","Albuminar-20","generic name: albumin human"
"plasma expanders","Albuminar-25","generic name: albumin human"
"plasma expanders","Alburx","generic name: albumin human"
"plasma expanders","Albutein","generic name: albumin human"
"plasma expanders","Buminate","generic name: albumin human"
"plasma expanders","Dextran 40","generic name: dextran, low molecular weight"
"plasma expanders","Dextran 70 6% in 5% Dextrose","generic name: dextran, high molecular weight"
"plasma expanders","Flexbumin","generic name: albumin human"
"plasma expanders","Hespan","generic name: hetastarch"
"plasma expanders","Hextend","generic name: hetastarch"
"plasma expanders","Human Albumin Grifols","generic name: albumin human"
"plasma expanders","Hyskon","generic name: dextran, high molecular weight"
"plasma expanders","Kedbumin","generic name: albumin human"
"plasma expanders","Plasbumin","generic name: albumin human"
"plasma expanders","Plasbumin-5","generic name: albumin human"
"plasma expanders","Plasbumin-25","generic name: albumin human"
"plasma expanders","Plasmanate","generic name: plasma protein fraction"
"plasma expanders","Voluven","generic name: hydroxyethyl starch"
"platelet aggregation inhibitors","Arthritis Pain","generic name: aspirin"
"platelet aggregation inhibitors","Bayer Aspirin Regimen","generic name: aspirin"
"platelet aggregation inhibitors","Bayer Children's Aspirin","generic name: aspirin"
"platelet aggregation inhibitors","Aspergum","generic name: aspirin"
"platelet aggregation inhibitors","Aspir-Low","generic name: aspirin"
"platelet aggregation inhibitors","Pravigard Pac","generic name: aspirin/pravastatin"
"platelet aggregation inhibitors","Plavix","generic name: clopidogrel"
"platelet aggregation inhibitors","Pletal","generic name: cilostazol"
"platelet aggregation inhibitors","Effient","generic name: prasugrel"
"platelet aggregation inhibitors","Aggrenox","generic name: aspirin/dipyridamole"
"platelet aggregation inhibitors","Ecotrin","generic name: aspirin"
"platelet aggregation inhibitors","Brilinta","generic name: ticagrelor"
"platelet aggregation inhibitors","Bayer Aspirin","generic name: aspirin"
"platelet aggregation inhibitors","Halfprin","generic name: aspirin"
"platelet aggregation inhibitors","Ascriptin","generic name: aspirin"
"platelet aggregation inhibitors","Aspir 81","generic name: aspirin"
"platelet aggregation inhibitors","Aspiritab","generic name: aspirin"
"platelet aggregation inhibitors","Aspirtab","generic name: aspirin"
"platelet aggregation inhibitors","Durlaza","generic name: aspirin"
"platelet aggregation inhibitors","Easprin","generic name: aspirin"
"platelet aggregation inhibitors","Ecpirin","generic name: aspirin"
"platelet aggregation inhibitors","Entercote","generic name: aspirin"
"platelet aggregation inhibitors","Fasprin","generic name: aspirin"
"platelet aggregation inhibitors","Genacote","generic name: aspirin"
"platelet aggregation inhibitors","Kengreal","generic name: cangrelor"
"platelet aggregation inhibitors","Miniprin","generic name: aspirin"
"platelet aggregation inhibitors","Norwich Aspirin","generic name: aspirin"
"platelet aggregation inhibitors","Persantine","generic name: dipyridamole"
"platelet aggregation inhibitors","St. Joseph Aspirin","generic name: aspirin"
"platelet aggregation inhibitors","Ticlid","generic name: ticlopidine"
"platelet aggregation inhibitors","Yosprala","generic name: aspirin/omeprazole"
"platelet-stimulating agents","Nplate","generic name: romiplostim"
"platelet-stimulating agents","Promacta","generic name: eltrombopag"
"platelet-stimulating agents","Doptelet","generic name: avatrombopag"
"platelet-stimulating agents","Neumega","generic name: oprelvekin"
"polyenes","Nilstat","generic name: nystatin"
"polyenes","Abelcet","generic name: amphotericin b lipid complex"
"polyenes","AmBisome","generic name: amphotericin b liposomal"
"polyenes","Amphocin","generic name: amphotericin b"
"polyenes","Amphotec","generic name: amphotericin b cholesteryl sulfate"
"polyenes","Bio-Statin","generic name: nystatin"
"polyenes","Fungizone","generic name: amphotericin b"
"polyenes","Mycostatin","generic name: nystatin"
"potassium sparing diuretics with thiazides","Maxzide","generic name: hydrochlorothiazide/triamterene"
"potassium sparing diuretics with thiazides","Aldactazide","generic name: hydrochlorothiazide/spironolactone"
"potassium sparing diuretics with thiazides","Moduretic 5-50","generic name: amiloride/hydrochlorothiazide"
"potassium sparing diuretics with thiazides","Dyazide","generic name: hydrochlorothiazide/triamterene"
"potassium sparing diuretics with thiazides","Maxzide-25","generic name: hydrochlorothiazide/triamterene"
"potassium-sparing diuretics","Inspra","generic name: eplerenone"
"potassium-sparing diuretics","Dyrenium","generic name: triamterene"
"potassium-sparing diuretics","Aldactone","generic name: spironolactone"
"potassium-sparing diuretics","Midamor","generic name: amiloride"
"potassium-sparing diuretics","CaroSpir","generic name: spironolactone"
"probiotics","Florastor Kids","generic name: saccharomyces boulardii lyo"
"probiotics","Florastor","generic name: saccharomyces boulardii lyo"
"probiotics","VSL#3","generic name: bifidobacterium infantis/lactobacillus acidophilus/streptococcus thermophilus"
"probiotics","Acidophilus","generic name: lactobacillus acidophilus"
"probiotics","Phillips Colon Health","generic name: bifidobacterium infantis/lactobacillus acidophilus"
"probiotics","Bacid (LAC)","generic name: lactobacillus acidophilus"
"probiotics","BD Lactinex","generic name: lactobacillus acidophilus/lactobacillus bulgaricus"
"probiotics","Culturelle Digestive Health","generic name: lactobacillus rhamnosus gg"
"probiotics","Culturelle Health and Wellness","generic name: lactobacillus rhamnosus gg"
"probiotics","Dofus","generic name: lactobacillus acidophilus"
"probiotics","Flora-Q","generic name: lactobacillus acidophilus"
"probiotics","Florajen","generic name: lactobacillus acidophilus"
"probiotics","Florajen3","generic name: bifidobacterium infantis/lactobacillus acidophilus"
"probiotics","Floranex","generic name: lactobacillus acidophilus/lactobacillus bulgaricus"
"probiotics","Intestinex","generic name: lactobacillus acidophilus"
"probiotics","Lacto-Key-600","generic name: lactobacillus acidophilus"
"probiotics","Novaflor","generic name: lactobacillus acidophilus"
"probiotics","Primadophilus Bifidus","generic name: bifidobacterium infantis/lactobacillus acidophilus"
"probiotics","Probiotic Formula","generic name: bifidobacterium infantis/lactobacillus acidophilus"
"probiotics","Provella","generic name: bifidobacterium infantis/lactobacillus acidophilus"
"probiotics","Rezyst","generic name: bifidobacterium infantis/lactobacillus acidophilus"
"probiotics","Risa-Bid","generic name: lactobacillus acidophilus"
"probiotics","RisaQuad","generic name: lactobacillus acidophilus"
"probiotics","Saccharomyces Boulardii+MOS","generic name: saccharomyces boulardii lyo"
"probiotics","Superdophilus","generic name: lactobacillus acidophilus"
"probiotics","Visbiome Extra Strength","generic name: bifidobacterium infantis/lactobacillus acidophilus"
"progesterone receptor modulators","Mifeprex","generic name: mifepristone"
"progesterone receptor modulators","ella","generic name: ulipristal"
"progesterone receptor modulators","Korlym","generic name: mifepristone"
"progestins","Option 2","generic name: levonorgestrel"
"progestins","Plan B","generic name: levonorgestrel"
"progestins","Plan B One-Step","generic name: levonorgestrel"
"progestins","Megace ES","generic name: megestrol"
"progestins","Fallback Solo","generic name: levonorgestrel"
"progestins","Next Choice","generic name: levonorgestrel"
"progestins","Prometrium","generic name: progesterone"
"progestins","Megace","generic name: megestrol"
"progestins","Opcicon One-Step","generic name: levonorgestrel"
"progestins","Kyleena","generic name: levonorgestrel"
"progestins","Skyla","generic name: levonorgestrel"
"progestins","Makena","generic name: hydroxyprogesterone"
"progestins","Heather","generic name: norethindrone"
"progestins","Jencycla","generic name: norethindrone"
"progestins","Aftera","generic name: levonorgestrel"
"progestins","Take Action","generic name: levonorgestrel"
"progestins","Mirena","generic name: levonorgestrel"
"progestins","My Way","generic name: levonorgestrel"
"progestins","Provera","generic name: medroxyprogesterone"
"progestins","Implanon","generic name: etonogestrel"
"progestins","Liletta","generic name: levonorgestrel"
"progestins","Ortho Micronor","generic name: norethindrone"
"progestins","Lyza","generic name: norethindrone"
"progestins","Nexplanon","generic name: etonogestrel"
"progestins","Aygestin","generic name: norethindrone"
"progestins","Jolivette","generic name: norethindrone"
"progestins","Nora-Be","generic name: norethindrone"
"progestins","Errin","generic name: norethindrone"
"progestins","Depo-Provera","generic name: medroxyprogesterone"
"progestins","Camila","generic name: norethindrone"
"progestins","Depo-Provera Contraceptive","generic name: medroxyprogesterone"
"progestins","EContra EZ","generic name: levonorgestrel"
"progestins","Crinone","generic name: progesterone"
"progestins","depo-subQ provera 104","generic name: medroxyprogesterone"
"progestins","Nor-QD","generic name: norethindrone"
"progestins","EContra One-Step","generic name: levonorgestrel"
"progestins","Endometrin","generic name: progesterone"
"progestins","First Progesterone MC10","generic name: progesterone"
"progestins","Hylutin","generic name: hydroxyprogesterone"
"progestins","Menopause Formula Progesterone","generic name: progesterone"
"progestins","My Choice","generic name: levonorgestrel"
"progestins","Prochieve","generic name: progesterone"
"progestins","Prodrox","generic name: hydroxyprogesterone"
"progestins","React","generic name: levonorgestrel"
"prolactin inhibitors","Cycloset","generic name: bromocriptine"
"prolactin inhibitors","Dostinex","generic name: cabergoline"
"prolactin inhibitors","Parlodel","generic name: bromocriptine"
"prostaglandin D2 antagonists","",""
"protease inhibitors","Victrelis","generic name: boceprevir"
"protease inhibitors","Olysio","generic name: simeprevir"
"protease inhibitors","Kaletra","generic name: lopinavir/ritonavir"
"protease inhibitors","Lexiva","generic name: fosamprenavir"
"protease inhibitors","Prezista","generic name: darunavir"
"protease inhibitors","Incivek","generic name: telaprevir"
"protease inhibitors","Aptivus","generic name: tipranavir"
"protease inhibitors","Norvir","generic name: ritonavir"
"protease inhibitors","Reyataz","generic name: atazanavir"
"protease inhibitors","Viracept","generic name: nelfinavir"
"protease inhibitors","Agenerase","generic name: amprenavir"
"protease inhibitors","Crixivan","generic name: indinavir"
"protease inhibitors","Fortovase","generic name: saquinavir"
"protease inhibitors","Invirase","generic name: saquinavir"
"protease-activated receptor-1 antagonists","Zontivity","generic name: vorapaxar"
"proteasome inhibitors","Velcade","generic name: bortezomib"
"proteasome inhibitors","Kyprolis","generic name: carfilzomib"
"proteasome inhibitors","Ninlaro","generic name: ixazomib"
"proton pump inhibitors","Nexium 24HR","generic name: esomeprazole"
"proton pump inhibitors","Aciphex","generic name: rabeprazole"
"proton pump inhibitors","Protonix IV","generic name: pantoprazole"
"proton pump inhibitors","Prevacid OTC","generic name: lansoprazole"
"proton pump inhibitors","Prevacid","generic name: lansoprazole"
"proton pump inhibitors","Nexium IV","generic name: esomeprazole"
"proton pump inhibitors","Zegerid","generic name: omeprazole/sodium bicarbonate"
"proton pump inhibitors","Kapidex","generic name: dexlansoprazole"
"proton pump inhibitors","Prilosec OTC","generic name: omeprazole"
"proton pump inhibitors","Nexium","generic name: esomeprazole"
"proton pump inhibitors","Protonix","generic name: pantoprazole"
"proton pump inhibitors","Zegerid OTC","generic name: omeprazole/sodium bicarbonate"
"proton pump inhibitors","Prilosec","generic name: omeprazole"
"proton pump inhibitors","Dexilant","generic name: dexlansoprazole"
"proton pump inhibitors","Prevacid SoluTab","generic name: lansoprazole"
"proton pump inhibitors","Dexilant SoluTab","generic name: dexlansoprazole"
"psoralens","8-MOP","generic name: methoxsalen"
"psoralens","Oxsoralen-Ultra","generic name: methoxsalen"
"psoralens","Uvadex","generic name: methoxsalen"
"psychotherapeutic agents","",""
"psychotherapeutic combinations","Triavil","generic name: amitriptyline/perphenazine"
"psychotherapeutic combinations","Etrafon","generic name: amitriptyline/perphenazine"
