['237057'],Lepirudin,For the treatment of heparin-induced thrombocytopenia
['1597582'],Olaparib,Olaparib is a poly (ADP-ribose) polymerase (PARP) inhibitor indicated as monotherapy in patients with deleterious or suspected deleterious germline BRCA mutated (as detected by an FDA-approved test) advanced ovarian cancer who have been treated with three or more prior lines of chemotherapy.
['1599538'],Edoxaban,"Edoxaban is indicated to reduce the risk of stroke and systemic embolism (SE) in patients with nonvalvular atrial fibrillation (NVAF). However, it should not be used in patients with creatinine clearance (CrCL) > 95 mL/min because of increased risk of ischemic stroke compared to warfarin at the highest dose studied (60 mg). It is also indicated for the treatment of deep vein thrombosis (DVT) and pulmonary embolism (PE) following 5-10 days of initial therapy with a parenteral anticoagulant."
['1487514'],Umeclidinium,"Indicated for the long-term, once-daily, maintenance treatment of airflow obstruction in patients with chronic obstructive pulmonary disease (COPD)."
['1606274'],Dinutuximab,"Dinutuximab is indicated, in combination with granulocyte-macrophage colony-stimulating factor (GM-CSF), interleukin-2 (IL-2), and 13-cis-retinoic acid (RA), for the treatment of pediatric patients with high-risk neuroblastoma who achieve at least a partial response to prior first-line multiagent, multimodality therapy. Despite a high clinical response seen after first-line treatment, the complete eradication of neuroblastoma is rarely achieved and the majority of patients with advanced disease suffer a relapse. Current strategies for treatment include immunotherapy with drugs such as dinutuximab to target surviving neuroblastoma cells and to prevent relapse."
"['1603296', '1604346']",Lenvatinib,"Lenvatinib is indicated for the treatment of patients with locally recurrent or metastatic, progressive, radioactive iodine-refractory differentiated thyroid cancer."
['1592737'],Nintedanib,Nintedanib is indicated for the treatment of idiopathic pulmonary fibrosis (IPF).
['1546059'],Olodaterol,"Olodaterol is indicated for use in chronic obstructive pulmonary disease (COPD), including chronic bronchitis and/or emphysema. It is not indicated for the treatment of acute exacerbations of COPD or for the treatment of asthma."
['51296'],Idebenone,"Idebenone is indicated for use by the European Medicines Agency (EMA) for the treatment of visual impairment in adolescent and adult patients with Leber’s Hereditary Optic Neuropathy (LHON). It is not currently approved for use by either the Food and Drug Administration (USA) or Health Canada [L885]."
['1424884'],Vilanterol,"Vilanterol is approved for use in several combination products such as with fluticasone furoate under the tradename Breo Ellipta and in combination with umeclidinium bromide as Anoro Ellipta. Approved by the FDA in 2013, use of Breo Ellipta is indicated for the long-term, once-daily maintenance treatment of airflow obstruction in patients with COPD, including chronic bronchitis and emphysema. It is also indicated for once-daily maintenance treatment of asthma in patients aged 18 or older with reversible obstructive airways disease."
['1649480'],Ivabradine,"Ivabradine's indication by the FDA is to reduce the risk of hospitalization for worsening heart failure in patients with stable, symptomatic chronic heart failure with left ventricular ejection fraction ≤35%, who are in sinus rhythm with resting heart rate ≥70 beats per minute and either are on maximally tolerated doses of beta-blockers or have a contraindication to beta-blocker use. "
['1425'],Benzydamine,"Available predominantly as a liquid oral rinse, benzydamine is most frequently employed to relieve local pains and/or swelling in the mouth and throat that may arise from conditions like sore throats, dental pain, or even mouth sores from radiation therapy."
"['10391', '91189']",Tetracaine,"The combination lidocaine and tetracaine patch is indicated for local dermal analgesia for superficial dermatological procedures and superficial venous access.  The combination lidocaine and tetracaine cream is intended to provide topical local analgesia for superficial dermatological procedures."
['4186'],Eugenol,Eugenol is not currently available in any FDA-approved drug products. There are a number of unapproved OTC products that advertise it for the use of toothache.  Eugenol is is also commonly used in combination with zinc oxide in dental procedures for the cementation of temporary prostheses and the temporary restoration of teeth and cavities.
"['54989', '221456']",Potassium alum,"Potassium alum is considered safe by the FDA and its use is in homepathic or OTC products. Due to its presence in several different drugs, the main indications for the use of potassium alum are: -Constipation[L1071] -Cosmetic or drug astringent, helping the shrinkage of tissues and the dry of secretions[L1072] -Oral health care drug[L1072] -Part of formulation in cleansing products, skin-care products, mosturizers, face powders and deodorants[L1073] -Antiperspirant[L1074] -Antifungal[L1074]"
['40660'],Amylocaine,
['10819'],Trimebutine,Indicated for symptomatic treatment of irritable bowel syndrome (IBS) and treatment of postoperative paralytic ileus following abdominal surgery.
['33724'],Pinaverium,"Indicated for the treatment and relief of symptoms associated with irritable bowel syndrome (IBS) associated with abdominal pain, bowel disturbances and intestinal discomfort, as well as the treatment of symptoms related to functional disorders of the biliary tract. "
['57257'],Tixocortol,Tixocortol is indicated for the treatment of rhinitis as a nasal suspension or aerosol. It is also used in the form of lozenges for the treatment of pharyngitis and in the form of enemas or rectal solution for the treatment of ulcerative colitis. Tixocortol can be used orally in a suspension or powder for the treatment of inflammatory conditions.[L1077] It is also the substance used for the screening of contact allergies to class A steroids.[A31435]
['89795'],Xanthinol,"Xanthinol is primarily used in diet supplements to increase the brain metabolism of glucose and obtain ATP. Xanthinol is also used as an agent to reduced cholesterol as it is a vasodilator.[L1080] Its action allows having an elevated rate of blood flow in the brain which helps improve memory function, concentration and awareness.[L1079] Thus, due to his actions, xanthinol is indicated to improve cerebrovascular and peripheral vascular disorders as well as hyperlipidaemias.[L1081]"
['2408'],Chlortetracycline,Used in the manufacuring of medicated animal feeds [FDA Label].
['8462'],Podophyllin,25% podophyllin (in benzoin tincture) is indicated for the removal of soft genital (venereal) warts (condylomata acuminata).
['3392'],Difluocortolone,"Difluocortolone is used as a topical treatment of the symptoms of inflammatory skin disorders like eczema, seborrheic eczema, lichen planus and psoriasis. All these disorders present as a common characteristic the occurrence of symptoms as itching, swelling, redness and scaling.[L1083]"
['1418'],Benzoyl peroxide,"Benzoyl peroxide is indicated for the treatment of mild to moderate acne vulgaris and rosacea. Combined with other agents, it may be used in the treatment of more severe acne."
['76887'],Quinagolide,Indicated for the treatment of hyperprolactinemia (idiopathic or originating from a prolactin-secreting pituitary microadenoma or macroadenoma).
['56570'],Somatrem,
['9939'],Somatostatin,"For the symptomatic treatment of acute bleeding from esophageal varices. Other treatment options for long-term management of the condition may be considered if necessary, once initial control has been established."
['235479'],"Thyroid, porcine","Replacement or supplemental therapy in hypothyroidism; TSH suppression (in thyroid cancer, nodules, goiters, and enlargement in chronic thyroiditis); diagnostic agent to differentiate suspected hyperthyroidism from euthyroidism."
['1306286'],Elvitegravir,Elvitegravir in combination with an HIV protease inhibitor coadministered with ritonavir and with other antiretroviral drug(s) is indicated for the treatment of HIV-1 infection in antiretroviral treatment-experienced adults.
['1606218'],Daclatasvir,"Indicated for use with sofosbuvir, with or without ribavirin, for the treatment of chronic HCV genotype 1a/b or 3 infection. The dosing regimen of 60mg daclatasvir 60 mg with 400mg sofosbuvir once a day is recommended for both genontypes. Resistance: Reduced susceptibility to daclatasvir was associated with the polymorphisms at NS5A amino acid positions M28, Q30, L31, and Y93 in genotypes 1a, 1b, and 3a patients. NS5A Resistance Testing is recommended for HCV genotype 1a-infected patients with cirrhosis prior to the initiaition of the treatment, as the risk of resistance development is higher in genotype 1a patients. "
['140502'],Ancestim,"Ancestim, in combination with filgrastim, is indicated for the setting of autologous peripheral blood progenitor cell transplantation in patients at risk of poor peripheral blood progenitor cell mobilisation.[L1090] The use of ancestim with filgrastim will generate a sustained increase in the number of peripheral blood progenitor cells capable of engraftment. It is used for mobilization of progenitor cells from the bone marrow to the peripheral blood with or withouth mobilizing chemotherapy. The harvested progenitor cells can be used for transplant following myelosuppressive or myeloablative therapies.[L1089]"
['6581'],Magnesium Hydroxide,"Magnesium hydroxide can be used as an antacid or a laxative depending on the administered dose. As an antacid, it is used for the temporary relief of heartburn, upset stomach, sour stomach or acid indigestion. As a laxative, it is used for the relief of occasional constipation by promoting bowel movements for 30 minutes and up to 6 hours."
['1720259'],Asfotase Alfa,Indicated for the treatment of patients with perinatal/infantile and juvenile onset hypophosphatasia (HPP).
['5531'],Hydroxyethyl Starch,"An intravenous solution of hydroxyethyl starch is used to prevent shock following severe blood loss caused by trauma, surgery, or other issues."
['729596'],Methoxy polyethylene glycol-epoetin beta,For the treatment of patients with anaemia associated with chronic kidney disease. Not a substitute for RBC transfusion if immediate correction of anemia is required.
['1729084'],Simoctocog Alfa,
['1737557'],Turoctocog alfa,
['1546354'],Coenzyme M,Mesna is a uroprotective agent and is used prophylactically to reduce ifosfamide and cyclophosphamide induced hemorrhagic cystitis. (2)
['816249'],Pentastarch,The primary intended use of pentastarch is as a substitute for older colloids such as albumin or hetastarch for use in plasma volume expansion.
['9894'],Sodium Nitrite,For sequential use with sodium thiosulfate for the treatment of acute cyanide poisoning that is judged to be life-threatening [FDA Label].
['236381'],Poractant alfa,Poractant alfa is indicated for the treatment of Respiratory Distress Syndrome (RDS) in premature infants.
['69782'],Colfosceril palmitate,
['3435'],Diiodohydroxyquinoline,Used in the treatment of amoebiasis.
['1902'],Calcium carbimide,
['7909'],Paraldehyde,Paraldehyde was used historically as a sedative and hypnotic [A19735]. It has been used in the treatment of seizures as an anticonvulsant [A19736].
['1482501'],Eslicarbazepine acetate,Eslicarbazepine acetate is indicated as adjunctive therapy in the treatment of partial-onset seizures that are not adequately controlled with conventional therapy in epileptic patients.
['4980'],Aurothioglucose,
['1546168'],Peginterferon beta-1a,For the treatment of patients with relapsing forms of multiple sclerosis.
['22968'],Dienogest,Indicated for use as the treatment of endometriosis alone and as a contraceptive in combination with ethinylestradiol.
['6690'],Medrogestone,
['54993'],Potassium Citrate,"For the management of renal tubular acidosis, hypocitraturic calcium oxalate nephrolithiasis, and uric acid lithiasis with or without calcium stones."
['340705'],Chorionic Gonadotropin (Human),"For the treatment of prepubertal cryptorchidism (not due to anatomical obstruction), for the treatment of selected cases of hypogonadotropic hypogonadism (hypogonadism secondary to a pituitary deficiency) in males and for the induction of ovulation and pregnancy in the anovulatory, infertile woman in whom the cause of anovulation is secondary and not due to primary ovarian failure, and who has been appropriately pretreated with human menotropins."
['1658314'],Brexpiprazole,As an adjunctive treatment of major depressive disorder (MDD) and for treatment of schizophrenia.
['21009'],Chromic chloride,For use as a supplement to intravenous solutions given for total parenteral nutrition (TPN).
['2837'],Copper,For use in the supplementation of total parenteral nutrition and in contraception with intrauterine devices [FDA Label] [L801].
"['21833', '150596']",Cupric Chloride,For use as a supplement to intravenous solutions given for total parenteral nutrition (TPN).
"['5970', '1546451']",Iothalamic acid,"Conray is indicated for use in excretory urography, cerebral angiography, peripheral arteriography, venography, arthrography, direct cholangiography, endoscopic retrograde cholangiopancreatography, contrast enhancement of computed tomographic brain images, cranial computerized angiotomography, intravenous digital subtraction angiography and arterial digital subtraction angiography. Conray may also be used for enhancement of computed tomographic scans performed for detection and evaluation of lesions in the liver, pancreas, kidneys, abdominal aorta, mediastinum, abdominal cavity and retroperitoneal space."
['27792'],Ioversol,"Optiray 350 is indicated in adults for peripheral and coronary arteriography and left ventriculography. Optiray 350 is also indicated for contrast enhanced computed tomographic imaging of the head and body, intravenous excretory urography, intravenous digital subtraction angiography and venography. Optiray 350 is indicated in children for angiocardiography. Optiray 320 is indicated in adults for angiography throughout the cardiovascular system. The uses include cerebral, coronary, peripheral, visceral and renal arteriography, venography, aortography, and left ventriculography. Optiray 320 is also indicated for contrast enhanced computed tomographic imaging of the head and body, and intravenous excretory urography. Optiray 320 is indicated in children for angiocardiography, contrast enhanced computed tomographic imaging of the head and body, and intravenous excretory urography. Optiray 300 is indicated for cerebral angiography and peripheral arteriography. Optiray 300 is also indicated for contrast enhanced computed tomographic imaging of the head and body, venography, and intravenous excretory urography. Optiray 240 is indicated for cerebral angiography and venography. Optiray 240 is also indicated for contrast enhanced computed tomographic imaging of the head and body and intravenous excretory urography."
['27793'],Ioxilan,"When administered  intra-arterially, Ioxilan is indicated for the following diagnostic tests: cerebral arteriography (300 mgI/mL),  coronary arteriography and left ventriculography (350 mgI/mL), visceral angiography(350 mgI/mL), aortography(350 mgI/mL), and peripheral arteriography(350 mgI/mL). When administered intravenously, Ioxilan is indicated for excretory urography and contrast enhanced computed tomographic (CECT) imaging of the head and body (300 and 350 mgI/mL)."
['27863'],Isosulfan blue,"Isosulfan Blue is a synthetic visual lymphatic imaging agent. Isosulfan blue upon subcutaneous administration, delineates the lymphatic vessels draining the region of injection. It is an adjunct to lymphography in: primary and secondary lymphedema of the extremities; chyluria, chylous ascites or chylothorax; lymph node involvement by primary or secondary neoplasm; lymph node response to therapeutic modalities. "
"['1358207', '1488818']",Technetium Tc-99m medronate,Technetium Tc 99m Medronate is indicated for use as a bone imaging agent to delineate areas of altered osteogenesis.
['7806'],Oxygen,"Oxygen therapy in clinical settings is used across diverse specialties, including various types of anoxia, hypoxia or dyspnea and any other disease states and conditions that reduce the efficiency of gas exchange and oxygen consumption such as respiratory illnesses, trauma, poisonings and drug overdoses. Oxygen therapy tries to achieve hyperoxia [L745] to reduce the extent of hypoxia-induced tissue damage and malfunction. "
['8825'],Protamine sulfate,"Protamine sulfate is usually administered to reverse the large dose of heparin administered during certain surgeries, especially heart surgery. "
['9800'],Sincalide,"As the product Kinevac (FDA), sincalide is used for the following indications: 1) to stimulate gallbladder contraction, as may be assessed by various methods of diagnostic imaging, or to obtain by duodenal aspiration a sample of concentrated bile for analysis of cholesterol, bile salts, phospholipids, and crystals; (2) to stimulate pancreatic secretion (especially in conjunction with secretin) prior to obtaining a duodenal aspirate for analysis of enzyme activity, composition, and cytology; (3) to accelerate the transit of a barium meal through the small bowel, thereby decreasing the time and extent of radiation associated with fluoroscopy and x-ray examination of the intestinal tract."
['1659191'],Sonidegib,Sonidegib is approved for use in the US and EU for treatment of adults with locally advanced basal cell carcinoma (BCC) that has recurred post surgery or radiation therapy.  It is also approved for adult patients with BCC who are not eligible for surgery or radiation therapy. (2)
['1665222'],Uridine triacetate,"Marketed as the product Xuriden (FDA), uridine triacetate is indicated for the treatment of hereditary orotic aciduria. Marketed as the product Vistogard (FDA), uridine triacetate is indicated for the emergency treatment of adult and pediatric patients in the following situations: following a fluorouracil or capecitabine overdose regardless of the presence of symptoms; or who exhibit early-onset, severe or life-threatening toxicity affecting the cardiac or central nervous system, and/or early-onset, unusually severe adverse reactions (e.g., gastrointestinal toxicity and/or neutropenia) within 96 hours following the end of fluorouracil or capecitabine administration. "
"['11295', '107129']",Water,"For diluting or dissolving drugs for intravenous, intramuscular or subcutaneous injection, according to instructions of the manufacturer of the drug to be administered [FDA Label]."
"['24909', '1484283']",Iron saccharate,Iron sucrose is elemental iron as an injection. It replenishes body iron stores in patients with iron deficiency.
['1607976'],Ferric pyrophosphate,For the replacement of iron to maintain hemoglobin in adult patients with hemodialysis-dependent chronic kidney disease (HDD- CKD).
['1492940'],Florbetaben (18F),Florbetaben is a radioactive diagnostic agent indicated for Positron Emission Tomography (PET) imaging of the brain to estimate β-amyloid neuritic plaque density in adult patients with cognitive impairment who are being evaluated for Alzheimer’s Disease (AD) and other causes of cognitive decline.
['1427224'],Florbetapir (18F),Florbetapir 18F is indicated for Positron Emission Tomography (PET) imaging of the brain to estimate β-amyloid neuritic plaque density in adult patients with cognitive impairment who are being evaluated for Alzheimer's Disease (AD) and other causes of cognitive decline.
['1486025'],Flutemetamol (18F),Flutemetamol F18 is indicated for Positron Emission Tomography (PET) imaging of the brain to estimate β amyloid neuritic plaque density in adult patients with cognitive impairment who are being evaluated for Alzheimer's disease (AD) or other causes of cognitive decline.
['7456'],Nitrogen,Liquid nitrogen is used mainly as a cryogenic agent for the treatment of various benign and malignant skin lesions.
['9863'],Sodium Chloride,"This intravenous solution is indicated for use in adults and pediatric patients as a source of electrolytes and water for hydration. Also, designed for use as a diluent and delivery system for intermittent intravenous administration of compatible drug additives. "
"['56466', '1310549']",Sodium Citrate,Used as an anticoagulant during plasmophoresis as well as a neutralizing agent in the treatment of upset stomach and acidic urine [FDA Label] [L788] [L789].
['5140'],Helium,"For use in patients who are not getting enough oxygen into their blood due to blockages in the lungs from pathological conditions or injuries. Suggested potential benefit in upper airway obstruction, in severe asthma, and in exacerbations of COPD/COLD. Helium may be used in place of carbon monoxide during laparoscopic surgeries as it lowers the risk of developing respiratory acidosis in selected patients. "
['27781'],Iopromide,"Iopromide, as the product Iovist, is indicated for use as an X-ray contrast agent in the following procedures: Intra-arterial digital subtraction angiography (IA-DSA) (150 mg I/mL) Cerebral arteriography and peripheral arteriography (300 mg I/mL) Coronary arteriography and left ventriculography, visceral angiography and aortography (370 mg I/mL) Peripheral venography (240 mg I/mL) Excretory urography (300 mg I/mL) Contrast computed tomography (CT) imaging of head and body (300 mg I/mL and 370 mg I/mL) "
['2034'],Carbon dioxide,"Carbon dioxide is commonly used as an insufflation gas for minimal invasive surgery (laparoscopy, endoscopy, and arthroscopy) to enlarge and stabilize body cavities to provide better visibility of the surgical area. It has been used also in cryotherapy and as respiratory stimulant before and after anesthesia.  It could be used also in expansion of blood vessels if required, to increase carbon dioxide level after rapid breathing, and to stimulate breathing after a period of nonbreathing. "
['10878'],Trypan blue,"Trypan blue is indicated for use as an aid in ophthalmic surgery by staining the epiretinal membranes during ophthalmic surgical vitrectomy procedures, facilitating removal of the tissue. "
['1482913'],Technetium Tc-99m sestamibi,Technetium Tc 99m Sestamibi is indicated for: 1) detecting coronary artery disease by localizing myocardial ischemia (reversible defects) and infarction (non-reversible defects); and 2) evaluating myocardial function and developing information for use in patient management decisions.
['1431726'],Technetium Tc-99m exametazime,Technetium Tc99m exametazime scintigraphy (with or without methylene blue stabilization) may be useful as an adjunct in the detection of altered regional cerebral perfusion in stroke. Tc99m exametazime without methylene blue stabilization is indicated for leukocyte labeled scintigraphy as an adjunct in the localization of intra-abdominal infection and inflammatory bowel disease.
['37665'],Technetium Tc-99m disofenin,"Technetium Tc99m Disofenin is indicated as a hepatobiliary imaging agent. Hepatolite is indicated in the diagnosis of acute cholecystitis as well as to rule out the occurrence of acute cholecystitis in suspected patients with right upper quadrant pain, fever, jaundice, right upper quadrant tenderness and mass or rebound tenderness, but not limited to these signs and symptoms."
['1488368'],Technetium Tc-99m pyrophosphate,"For use as a skeletal imaging agent used to demonstrate areas of altered osteogenesis, and a cardiac imaging agent used as an adjunct in the diagnosis of acute myocardial infarction [FDA Label]. May also be used to image gated blood pools and detect gastrointetinal bleeding."
['3634'],Dosulepin,"Indicated in the treatment of symptoms of depressive illness, especially where an anti-anxiety effect is required."
['1597381'],Dasabuvir,"Dasabuvir, in combination with [DB09296], [DB09297], and [DB00503] (as Viekira Pak) is indicated for the treatment of patients with HCV genotype 1a with [DB00811] or genotype 1b without [DB00811] including those with compensated cirrhosis [FDA Label]."
['11196'],Viloxazine,Indicated for the treatment of clinical depression.
['10561'],Moxisylyte,For the treatment of erectile dysfunction.
['1011650'],Pegloticase,For the treatment of chronic gout in adult patients refractory to conventional therapy.
['33431'],Pholcodine,For use as a cough suppressant.
['8351'],Piracetam,"For the treatment of myoclonus (brief, involuntary twitching of a muscle or a group of muscles)."
['28908'],Loxoprofen,
['237162'],Dexketoprofen,"For short-term treatment of mild to moderate pain, including dysmenorrhoea."
['23687'],Droxicam,
['38377'],Tolfenamic Acid,For the treatment of migraine.
['2601'],Clonixin,Used primarily in the treatment of chronic arthritic conditions and certain soft tissue disorders associated with pain and inflammation.
['31748'],Nicorandil,Indicated for the prevention and treatment of chronic stable angina pectoris and reduction in the risk of acute coronary syndromes.
"['4385', '831503']",Fibrinogen Human,"For the treatment of acute bleeding episodes in patients with congenital fibrinogen deficiency, including afibrinogenemia and hypofibrinogenemia."
['29961'],Melperone,For the treatment of schizophrenia.
['40003'],Zotepine,For the treatment of acute and chronic schizophrenia.
['39879'],Barnidipine,For the treatment of hypertension and chronic stable angina.
['1599831'],Conestat alfa,For the treatment of acute attacks of hereditary angioedema (HAE) due to C1 esterase inhibitor deficiency in adults.
['28382'],Lacidipine,For the treatment of hypertension.
['29275'],Manidipine,For the treatment of hypertension.
['6878'],Methylene blue,"Methylene blue has several indications in medicine: 1. found to improve the hypotension associated with various clinical states. 2. Antiseptic in urinary tract infections. 3. Improves hypoxia and hyper dynamic circulation in cirrhosis of liver and severe hepatopulmonary syndrome. 4. Results in transient and reproducible improvement in blood pressure and cardiac function in septic shock. 5. Investigated for the treatment of Alzheimer's disease. 6. Treatment of ifofosamide induced neurotoxicity."
['30257'],Moxonidine,For the treatment of mild to moderate essential or primary hypertension [L1025]. Effective as most first-line antihypertensives when used as monotherapy [A27137].
['38382'],Toloxatone,For the treatment of depression.
['42635'],Dextran,"For use as an antithrombotic (antiplatelet), to reduce blood viscosity, and as a volume expander in hypovolaemia."
['4582'],Tegafur,Indicated for the treatment of cancer usually in combination with other biochemically modulating drugs.
['280611'],Bemiparin,Used in the prevention and treatment of venous thromboembolism (deep vein thrombosis and pulmonary embolism) and in the treatment of myocardial infarction.
"['75960', '75961']",Reviparin,Used in the prevention and treatment of venous thromboembolism (deep vein thrombosis and pulmonary embolism) and in the treatment of myocardial infarction.
['69528'],Parnaparin,Used in the prevention and treatment of venous thromboembolism (deep vein thrombosis and pulmonary embolism) and in the treatment of myocardial infarction.
['152610'],Certoparin,Used in the prevention and treatment of venous thromboembolism (deep vein thrombosis and pulmonary embolism) and in the treatment of myocardial infarction.
['1716203'],Patiromer,For the treatment of hyperkalemia.
['1716191'],Idarucizumab,For use in patients treated with Dabigatran when reversal of the anticoagulant effects of dabigatran is needed for emergency surgery/urgent procedures and in life-threatening or uncontrolled bleeding.
['1440051'],Lixisenatide,For use as an antihyperglycemic agent in the treatment of T2DM [FDA Label].
['1373391'],Technetium Tc-99m tilmanocept,Used diagnostically for the imaging of lymph nodes.
['1546457'],Picosulfuric acid,For cleansing of the colon as a preparation for colonoscopy in adults.
['33332'],Phenylacetic acid,For use as adjunctive therapy for the treatment of acute hyperammonemia and associated encephalopathy in patients with deficiencies in enzymes of the urea cycle.
['21406'],Ubidecarenone,"The diet supplements containing ubidecarenone are indicated, as stated in the product label, to assist individuals with cardiovascular complaints including congestive heart failure and systolic hypertension. In the product, ubidecarenone is used to increase the cardiac input as well as for the prevention of several other diseases like Parkinson, fibromyalgia, migraine, periodontal disease and diabetes, based on preclinical studies.[L1064] It is important to highlight that these products are not FDA approved and it is recommended to use under discretion."
['1653781'],Eluxadoline,For the treatment of irritable bowel syndrome with diarrhea (IBS-D).
['18346'],Artesunate,For the treatment of severe malaria caused by *Plasmodium falciparum* in adults and children [L891]
['47181'],Bismuth Subcitrate,"For the treatment of peptic ulcer and gastro-oesophageal reflux disease (GORD). Treatment of inflammatory and erosive-ulcerous diseases of gastric and duodenal mucosa:  gastritis, ulcer disease of the stomach and duodenum, functional non-ulcerous dyspepsia, erosive duodenitis, post-operative inflammatory and erosive changes – anastomositis, peptic ulcer of anastomosis"
['4981'],Sodium aurothiomalate,"As anti-inflammatory agent for the treatment of arthritis. Disease-modifying antirheumatic drug, DMARD."
['1425419'],Choline C 11,"For positron emission tomography (PET) imaging of patients with suspected prostate cancer recurrence and non-informative bone scintigraphy, computerized tomography (CT) or magnetic resonance imaging (MRI)."
['272'],Activated charcoal,Used as a antidote to treat poisonings following excessive oral ingestion of certain medications or poisons.
['1655922'],Lumacaftor,"When given in combination with [DB08820] as the fixed dose combination product Orkambi, lumacaftor is indicated for the treatment of cystic fibrosis (CF) in patients age 6 years and older who are homozygous for the F508del mutation in the CFTR gene [FDA Label]."
['29170'],Magnesium Trisilicate,"For the treatment of peptic ulcers. Relieving indigestion and heartburn."
['7023'],Molsidomine,
['10735'],Trapidil,Used in the treatment of chronic stable angina [A19770].
['30225'],Morniflumate,
['33739'],Pipamperone,Used in the treatment of schizophrenia.
"['8516', '221147', '1310594', '1314384']",Polyethylene glycol,Used to treat and prevent constipation.
['38252'],Tianeptine,"Used primarily in the treatment of major depressive disorder, although it may also be used to treat asthma or irritable bowel syndrome."
['1665496'],Rolapitant,"Rolapitant is indicated in combination with other antiemetic agents in adults for the prevention of delayed nausea and vomiting associated with initial and repeat courses of emetogenic cancer chemotherapy, including, but not limited to, highly emetogenic chemotherapy."
['1656328'],Sacubitril,"Used in combination with valsartan to reduce the risk of cardiovascular events in patients with chronic heart failure (NYHA Class II-IV) and reduced ejection fraction.  It is usually administered in conjunction with other heart failure therapies, in place of an ACE inhibitor or other ARB."
"['1546394', '1546415']",Iodide I-131,Therapeutic solutions of Sodium Iodide-131 are indicated for the treatment of hyperthyroidism and thyroid carcinomas that take up iodine.  Palliative effects may be observed in patients with advanced thyroid malignancy if the metastatic lesions take up iodine.  It is also indicated for use in performance of the radioactive iodide (RAI) uptake test to evaluate thyroid function.
['236770'],Talniflumate,For the treatment of cystic fibrosis.
['1597371'],Ombitasvir,"When used in combination with [DB09297] and [DB00503] (as the fixed dose product Technivie), Ombitasvir is indicated in combination with [DB00811] for the treatment of patients with genotype 4 chronic hepatitis C virus (HCV) infection without cirrhosis [L866]. When used in combination with [DB09297], [DB00503], and [DB09183] (as the fixed dose product Viekira Pak), Ombitasvir is indicated for the treatment of HCV genotype 1b and ,when combined with [DB00811], for the treatment of HCV genotype 1a [FDA Label]"
['1597373'],Paritaprevir,"When used within the fixed-dose combination product with [DB09296], [DB09183], and [DB00503] as the FDA-approved product Viekira Pak, paritaprevir is indicated for the treatment of HCV genotype 1b without cirrhosis or with compensated cirrhosis, and when combined with [DB00811] for the treatment of HCV genotype 1a without cirrhosis or with compensated cirrhosis. When used within the fixed-dose combination product with [DB09296] and [DB00503] as the FDA- and Health Canada-approved product Technivie, paritaprevir is indicated in combination with [DB00811] for the treatment of patients with genotype 4 chronic hepatitis C virus (HCV) infection without cirrhosis or with compensated cirrhosis. When used within the fixed-dose combination product with [DB09296], [DB09183], and [DB00503] as the Health Canada-approved, commercially available product Holkira Pak, paritaprevir is indicated for the treatment of HCV genotype 1b with or without cirrhosis, and when combined with [DB00811] for the treatment of HCV genotype 1a with or without cirrhosis."
['1721603'],Tenofovir alafenamide,For use in the treatment of HIV infection and chronic hepatitis B.
['1085787'],Butylscopolamine,Used to treat abdmoninal cramping and pain [FDA Label].
['2473'],Chondroitin sulfate,For the treatment of osteoarthritis.
['1659152'],Alirocumab,Alirocumab is indicated as an adjunct to diet and maximally tolerated statin therapy in adults who require additional LDL-cholesterol (LDL-C) lowering due to heterozygous familial hypercholesterolemia or clinical atherosclerotic cardiovascular disease.
['1665684'],Evolocumab,For the treatment of heterozygous/homozygous familial hypercholesterolemia or clinical atherosclerotic cardiovascular disease in patients on maximum tolerated statin therapy requiring additional LDL-cholesterol lowering.
['1488293'],Coagulation Factor XIII A-Subunit (Recombinant),For routine prophylaxis of bleeding in patients with congenital factor XIII A-Subunit deficiency.
['20063'],Polycarbophil calcium,Polycarbophil is used to treat constipation and to help maintain regular bowel movements.
['1427177'],Antilymphocyte immunoglobulin (horse),For prevention of renal transplant rejection and for the treatment of aplastic anemia.
['1426458'],Ioxaglic acid,For use as  a low-osmolality contrast medium.
['1489762'],Technetium Tc-99m pertechnetate,"Sodium Pertechnetate Tc99m Injection is indicated for use in adults for imaging in the following tissues: thyroid, salivary gland,  urinary bladder (for detection of vesico-ureteral reflux), and nasolacrimal drainage system (dacryoscintigraphy). It is indicated for use in children for imaging the following tissues: thyroid and urinary bladder."
['259282'],Xenon-133,Inhalation of Xenon Xe 133 Gas has proved valuable for the evaluation of pulmonary function and for imaging the lungs. It may also be applied to assessment of cerebral flow.
['91588'],Thallous Chloride,"For use as a diagnostic radiopharmaceutical. It is indicated to help diagnose heart disease (eg, coronary artery disease, heart attack). It is also used for the diagnosis of parathyroid problems. "
['253166'],"Synthetic Conjugated Estrogens, A",For the treatment of moderate to severe vasomotor symptoms due to menopause and for treatment of moderate to severe symptoms of vulvar and vaginal atrophy due to menopause.
['618365'],"Synthetic Conjugated Estrogens, B","For the treatment of moderate to severe vasomotor symptoms due to menopause and for the treatment of moderate to severe vaginal dryness, pain with intercourse, and symptoms of vulvar and vaginal atrophy due to menopause."
['7983'],Procaine benzylpenicillin,"For the treatment of a number of bacterial infections such as syphilis, anthrax, mouth infections, pneumonia and diphtheria. "
